,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8214177407126612,0.3130408390119683,10.0,0.0037284970553065912,0.0033211004445590302,0.0016946923403909425
48,qwen3-14b,0.8120451099317666,0.3059873109746379,10.0,0.0038032029487545674,0.0035119711715063595,0.001459592806204419
51,qwen3-8b,0.7887414708112206,0.2910384265059137,10.0,0.003973809764939873,0.003565903780287573,0.0017537087208719345
16,llama-3.1-70B-instruct,0.7830742987111448,0.290073260983054,12.0,0.004012264903506866,0.004012264903506866,0.0
0,deepseek_r1_distill_llama_70b,0.7811473338402768,0.29083590440617885,9.0,0.004025084545499353,0.003373704505534722,0.0021953185435723103
35,qwen2-72b-instruct,0.765163002272119,0.2772076753744653,7.0,0.004126604522020907,0.0034741648016978753,0.002226891064198462
13,google_gemma_3_27b_it,0.751014025777104,0.2649782158013379,10.0,0.004209631439884459,0.003960891252688745,0.00142560069586034
4,deepseek_r1_distill_qwen_32b,0.7509855951478394,0.2855461505821617,10.0,0.004209792086922368,0.003186471632762748,0.002751135756140088
38,qwen2-math-72b-instruct,0.7485121304018196,0.266154165052995,10.0,0.004223675564839612,0.0035561865319922886,0.0022788094757350543
43,qwen2.5-coder-32b-instruct,0.7472232752084913,0.26306883593373115,10.0,0.004230837504882513,0.003750591200753285,0.001957818080811523
3,deepseek_r1_distill_qwen_14b,0.7448193075588704,0.27473865962619,12.0,0.004244064519691956,0.0032885923542963088,0.002682767968828459
8,google_gemma_2_27b_it,0.7434609552694654,0.26335137105172335,9.0,0.0042514632371536245,0.003711361404098159,0.002073821637711236
11,google_gemma_3_12b_it,0.7421341925703657,0.2590326482778506,11.0,0.0042586378437189714,0.003900581350495667,0.0017092283089513683
50,qwen3-4b,0.7355635582514595,0.25713205508800413,12.0,0.004293419886724532,0.003925755642748335,0.0017383604221079387
5,deepseek_r1_distill_qwen_7b,0.7326178291659117,0.26451104713524953,12.0,0.004308613848281925,0.003371475485616273,0.002682779592790897
42,qwen2.5-coder-14b-instruct,0.7092210007581502,0.24244923491446935,10.0,0.004420841261182421,0.003615416302674365,0.002544130974405486
9,google_gemma_2_9b_it,0.7061220621686979,0.2424951230084652,11.0,0.004434615708163082,0.0038014637466418496,0.002283569543949662
25,mistralai_mixtral_8x22b_instruct_v0.1,0.6962092494313874,0.24175724901384796,10.0,0.004477027649760731,0.0034256625741454793,0.002882466392661164
30,qwen1.5-32b-chat,0.6711050037907506,0.22715281500702256,10.0,0.0045735821087330335,0.003569424857228949,0.0028595208504081575
31,qwen1.5-72b-chat,0.6690539369639595,0.22461441228384874,7.0,0.004580804776788702,0.0037494062050386595,0.0026316773192524546
1,deepseek_r1_distill_llama_8b,0.6684356836009666,0.23533734936748718,12.0,0.004582962610973582,0.0033379490379522865,0.0031403252241790497
39,qwen2-math-7b-instruct,0.6554602602994978,0.21359475869841826,12.0,0.004626211165181044,0.0037361464124748235,0.00272819349192781
21,mistralai_ministral_8b_instruct_2410,0.6463660486608226,0.21013467666001523,11.0,0.004654240851488001,0.003684721118536783,0.00284337619429241
14,google_gemma_3_4b_it,0.6433341109234932,0.20448302261128407,13.0,0.004663174703724248,0.004144802636943331,0.0021367754721171193
36,qwen2-7b-instruct,0.6415134571662054,0.2091110169481882,12.0,0.004668441520687203,0.0036066439850450187,0.002964197260172614
17,llama-3.1-8B-instruct,0.6413949962092494,0.21216226347706002,16.0,0.004668781669248673,0.004668781669248673,0.0
37,qwen2-math-1.5b-instruct,0.6153177912567949,0.19201025466773766,12.0,0.004736236664144278,0.0038764681599213623,0.002721200533569771
45,qwen2.5-coder-7b-instruct,0.6141568738953658,0.19609628858928135,12.0,0.004738901164191575,0.003593769920092981,0.0030890131118872176
47,qwen3-1.7b,0.5879612079856614,0.18433333120131215,12.0,0.004791549710154023,0.0041664548325260125,0.0023663479780872748
20,mistralai_mathstral_7b_v0.1,0.5765494692961809,0.1776458919675434,12.0,0.004810079316964362,0.0036084888907921826,0.0031805142603858498
2,deepseek_r1_distill_qwen_1.5b,0.5702473464752938,0.19176584501817553,12.0,0.004819184226653166,0.0033508498105178446,0.0034635736108498097
29,qwen1.5-14b-chat,0.5572213798332069,0.16946541322694103,10.0,0.004835482497801156,0.003793604084801901,0.0029984094173937676
19,llama-3.2-3B-instruct,0.5526914329037149,0.16900244826531946,18.0,0.004840359106434275,0.004840359106434275,0.0
6,deepseek_v2_lite_chat,0.4993081880212283,0.1453268260311323,10.0,0.004867457826949984,0.003761144037793021,0.003089650663766159
44,qwen2.5-coder-3b-instruct,0.4929002400807525,0.14093276074313063,12.0,0.00486697175700658,0.003631398060418576,0.003240426238982755
26,mistralai_mixtral_8x7b_instruct_v0.1,0.49235216072782406,0.14816120082982528,10.0,0.004866893062453278,0.003553958576562255,0.0033250603780135245
32,qwen1.5-7b-chat,0.4297418843460293,0.12226754248469897,11.0,0.004819169348872435,0.0034953611867338144,0.0033176563094127675
7,google_codegemma_1.1_7b_it,0.3745698956069087,0.09582179650337927,13.0,0.004711817214860575,0.0035690323750543406,0.003076236234763259
24,mistralai_mistral_7b_instruct_v0.3,0.3626010866809515,0.0999318855258646,12.0,0.004680075063333978,0.003294553285926249,0.0033240068057440995
41,qwen2.5-coder-1.5b-instruct,0.34885961586943703,0.08956070277391417,12.0,0.004639757404870291,0.003314402176155915,0.003246858018260366
46,qwen3-0.6b,0.30048988160923046,0.07672742598975157,13.0,0.004463181368947182,0.0033915493763374094,0.002901272265745248
23,mistralai_mistral_7b_instruct_v0.2,0.29812673742564444,0.08213585114033425,12.0,0.0044530997315640275,0.003186348554984145,0.003110832702895813
12,google_gemma_3_1b_it,0.29582859489417174,0.07248841758828824,12.0,0.004443159223698943,0.003600604057544751,0.0026033275452645725
34,qwen2-1.5b-instruct,0.2582448824845716,0.06559086891039428,12.0,0.004260678320776749,0.0027454185966979804,0.0032582290407584718
18,llama-3.2-1B-instruct,0.24270280515542078,0.05752001965922416,22.0,0.0041735265513269965,0.0041735265513269965,0.0
22,mistralai_mistral_7b_instruct_v0.1,0.23711144806419637,0.05774457285125051,12.0,0.004140372535058316,0.002799196591093009,0.0030507676367561164
15,google_gemma_7b_it,0.1914723906982752,0.04544334364274411,12.0,0.003830302870709428,0.0028658958765219278,0.0025412321630066577
28,qwen1.5-1.8b-chat,0.15093218001991093,0.0430104453136334,11.0,0.0034849353180777085,0.0020549534571243718,0.0028145941910403304
33,qwen2-0.5b-instruct,0.11613912054196363,0.027641025470012032,12.0,0.0031189889150080403,0.0017922515221904282,0.0025526312567915334
40,qwen2.5-coder-0.5b-instruct,0.09038753133961334,0.021902096668421165,13.0,0.002791355005557883,0.001610288766160117,0.002280051064478946
10,google_gemma_2b_it,0.06255528177684799,0.01447017839401222,12.0,0.002357422554631801,0.0016006018181146256,0.0017307555924898472
27,qwen1.5-0.5b-chat,0.042937540088864676,0.012162948867138285,13.0,0.001973428198160812,0.0009679465546124933,0.001719737863951955
