,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
11,google_gemma_3_12b_it,0.2755516328316505,0.22888784948660412,11.0,0.019687999916930415,0.014757854726112176,0.013031617881599372
32,qwen2-72b-instruct,0.2535922330097088,0.20986597868229329,10.0,0.019171338455832302,0.01391040292463227,0.013192456505990702
46,qwen3-32b,0.24854368932038834,0.20633264638614524,10.0,0.019043625125005608,0.013587573093991487,0.013343069936007363
45,qwen3-14b,0.2459546925547573,0.2013683723897422,12.0,0.018976786113414357,0.014180322096181924,0.012610982374216952
40,qwen2.5-coder-32b-instruct,0.23650485436893204,0.19170759216585193,10.0,0.01872490207520312,0.013836052926735926,0.01261687747164521
47,qwen3-4b,0.21650485436582526,0.17541756994369567,12.0,0.018148818592797922,0.013343185768850128,0.012301992109095293
48,qwen3-8b,0.17378640776504853,0.13959997700603963,12.0,0.016697461712869864,0.012063690952334463,0.011544374745273934
39,qwen2.5-coder-14b-instruct,0.16796116504504854,0.13321759494736496,12.0,0.0164729971501913,0.010945828406412365,0.012310502654546111
27,qwen1.5-32b-chat,0.1353927625724272,0.10852892681613077,11.0,0.015076604547780719,0.009955448812376826,0.011322236688671857
28,qwen1.5-72b-chat,0.13359223300970877,0.10727537888259385,10.0,0.01499160595484087,0.009929310783068407,0.011231964942896756
14,google_gemma_7b_it,0.1299477221768932,0.10905815493637608,13.0,0.01481676508317391,0.011217606058425129,0.009679971169788953
8,google_gemma_2_27b_it,0.12737864077669905,0.10445100651813592,10.0,0.014691211470370478,0.010518459535873971,0.0102563981718402
35,qwen2-math-72b-instruct,0.11436893203883496,0.09045385332065939,10.0,0.014024159419500191,0.011502895233283801,0.0080224964116946
42,qwen2.5-coder-7b-instruct,0.11203883495145633,0.08761134590905138,10.0,0.013898811460967714,0.008393507768407239,0.011078176175220125
13,google_gemma_3_4b_it,0.11097834204116505,0.08849450658866823,13.0,0.013841133970531896,0.009152882143929461,0.010382761581079925
15,llama-3.1-8B-instruct,0.10485436893203884,0.08591609711786811,15.0,0.013500084879122073,0.013500084879122074,0.0
9,google_gemma_2_9b_it,0.09285083847883496,0.07507840686827633,11.0,0.012788766329035204,0.009136237857636854,0.008948838026657302
26,qwen1.5-14b-chat,0.09174757281203882,0.07418635178370901,12.0,0.01272028848783946,0.00754598862495476,0.010240302480196299
23,mistralai_mixtral_8x22b_instruct_v0.1,0.08932038834446601,0.07073366866379519,11.0,0.012567662044430886,0.007288568593008663,0.010238305383608972
31,qwen2-1.5b-instruct,0.07572815533281553,0.064966974922416,13.0,0.011658023764872794,0.006493308581414326,0.009682275650324665
