,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.8007444168734491,0.3374162680009553,10.0,0.019897553730675893,0.01588278847929842,0.011985394219090145
41,qwen3-14b,0.7701330927136476,0.3157313188555314,11.0,0.020958905331793846,0.017639243988211116,0.011319575267272815
9,llama-3.1-70B-instruct,0.7518610421836228,0.30247604818351004,13.0,0.02151610946077354,0.021516109460773536,0.0
0,deepseek_r1_distill_llama_70b,0.749103942651861,0.299036889857422,9.0,0.021595608054277866,0.01865715479585902,0.010875700536395144
28,qwen2-72b-instruct,0.7360421836228288,0.2935850136284944,8.0,0.021956650702031812,0.02057921298450618,0.007654443349412572
44,qwen3-8b,0.7223099481168734,0.2888895556089483,11.0,0.02230947939529327,0.017817746095211456,0.013425378764697552
4,deepseek_r1_distill_qwen_32b,0.7132616487466501,0.28025968923889094,9.0,0.02252759373167947,0.018487229288188512,0.01287302732792675
36,qwen2.5-coder-32b-instruct,0.7042183622828785,0.2733015727760399,10.0,0.02273457050497993,0.018483076097197248,0.013237695948733638
43,qwen3-4b,0.6997518610429281,0.27851303920577314,12.0,0.02283282615877284,0.01849342466122843,0.013391459767187794
24,qwen1.5-72b-chat,0.674937965260546,0.2520940674551263,1.0,0.023332567485922155,0.023332567485922155,0.0
7,google_gemma_3_12b_it,0.6704714640198511,0.25467839973007556,10.0,0.023414459698337765,0.020106699969566186,0.011998230673683953
18,mistralai_mixtral_8x22b_instruct_v0.1,0.6683961200084367,0.25018823596178663,11.0,0.023451695075217972,0.020454557440372126,0.01147140278342279
3,deepseek_r1_distill_qwen_14b,0.6670426347875931,0.2546554357636674,11.0,0.02347570192880653,0.01871655810936305,0.014170357567436571
31,qwen2-math-72b-instruct,0.6667848280759305,0.2510250963868018,7.0,0.023480249930171754,0.020050914349499998,0.012218141042414997
23,qwen1.5-32b-chat,0.6650124069478908,0.24544202601712156,1.0,0.02351130373581981,0.02351130373581981,0.0
35,qwen2.5-coder-14b-instruct,0.631626438076675,0.2279473550561256,11.0,0.024028234054127216,0.020595799978201077,0.012376148634282448
29,qwen2-7b-instruct,0.5833333333327544,0.2062349325580237,12.0,0.024558410422309516,0.021572872383432973,0.011735701921858592
22,qwen1.5-14b-chat,0.5750056395208437,0.1998388370311503,11.0,0.0246249361218992,0.022306762469899245,0.010430523818059687
19,mistralai_mixtral_8x7b_instruct_v0.1,0.5738777351672457,0.2000347118624926,11.0,0.02463339540839424,0.02274969991574549,0.009447503537434
38,qwen2.5-coder-7b-instruct,0.5618279569898262,0.19678924493621539,12.0,0.02471561846013886,0.020997495552896928,0.013037138350620913
10,llama-3.1-8B-instruct,0.5359801488833746,0.18200145406913487,15.0,0.024842203188753024,0.024842203188753024,0.0
40,qwen3-1.7b,0.5115798180305211,0.18173304541262786,12.0,0.02490009356586903,0.019758514500790313,0.015153077717450378
14,mistralai_ministral_8b_instruct_2410,0.5099255583133996,0.17418830070691554,12.0,0.024901866119005054,0.018839100139906667,0.016284693491970318
25,qwen1.5-7b-chat,0.5053763440856079,0.16781998649221236,12.0,0.024905334163332928,0.021993259486981245,0.011686411208133476
13,mistralai_mathstral_7b_v0.1,0.4944732686645162,0.16729672060772421,11.0,0.024905252480022382,0.01944091038102515,0.015566714638953507
8,google_gemma_3_4b_it,0.4863523573198511,0.16986281572992085,13.0,0.024897494161197943,0.020238328373945395,0.01450156129991673
17,mistralai_mistral_7b_instruct_v0.3,0.47958493119478907,0.15195395894963862,11.0,0.024886004366196247,0.022306773791107067,0.011032726605273853
16,mistralai_mistral_7b_instruct_v0.2,0.47575005639478907,0.16111924091097696,11.0,0.024877463479404248,0.023913779528745002,0.00685706481081144
6,deepseek_v2_lite_chat,0.4746221520387097,0.16391968279302374,11.0,0.024874671704149483,0.02039897881141195,0.014234850046304714
12,llama-3.2-3B-instruct,0.46898263027295284,0.15990845899363862,15.0,0.024858803393204072,0.024858803393204076,0.0
1,deepseek_r1_distill_llama_8b,0.4509925558317618,0.15425897481544212,12.0,0.024786846668785414,0.01702866194359731,0.018011453028352796
5,deepseek_r1_distill_qwen_7b,0.44101060230074446,0.1531105746497594,11.0,0.024732828013314133,0.01765747432062024,0.01731838278110323
32,qwen2-math-7b-instruct,0.43755169561513646,0.1531175827643707,12.0,0.024711748106719684,0.019900260699323977,0.014650942583632818
37,qwen2.5-coder-3b-instruct,0.4019851116610422,0.14007902216788873,12.0,0.024423531429821486,0.016116423295737238,0.018351288446757517
15,mistralai_mistral_7b_instruct_v0.1,0.37401308368461533,0.12699858891391827,11.0,0.024103133292880056,0.0164360850668425,0.017629978508491156
39,qwen3-0.6b,0.37049055163126543,0.13706755871587173,13.0,0.02405676201132529,0.020026909594463217,0.013328566710818565
27,qwen2-1.5b-instruct,0.3463606286181141,0.11661557849183286,12.0,0.02370177321430152,0.017373605465405853,0.016122403252449704
21,qwen1.5-1.8b-chat,0.27605459057047144,0.10345500026119142,12.0,0.022268854257996146,0.01472460379117911,0.01670592449272613
34,qwen2.5-coder-1.5b-instruct,0.2739867659213399,0.10318876363887387,12.0,0.022216955165527498,0.011940877951038164,0.018735221658295633
11,llama-3.2-1B-instruct,0.2630272952853598,0.09645808173349313,11.0,0.021931765218707454,0.02193176521870745,0.0
30,qwen2-math-1.5b-instruct,0.2431761786511166,0.10478144394806309,11.0,0.021370042619464034,0.012290363124445569,0.017482153638124158
2,deepseek_r1_distill_qwen_1.5b,0.24193548386873454,0.09213954896158212,12.0,0.021332922023701295,0.011252511632514619,0.018123866696415608
26,qwen2-0.5b-instruct,0.22676083221017374,0.10011609822054751,13.0,0.020858756793051457,0.009947385421017925,0.01833404642290922
20,qwen1.5-0.5b-chat,0.21664439777568237,0.09623353408621985,13.0,0.020521102295553026,0.008781156150717133,0.018547423974268618
33,qwen2.5-coder-0.5b-instruct,0.20461920212655085,0.09334542033412903,13.0,0.020095935186906305,0.0063891538434337905,0.01905322345959534
