,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.8534545454558,0.42159736554470356,11.0,0.015815807554256205,0.013172382830149652,0.008753747721361765
4,deepseek_r1_distill_qwen_32b,0.839,0.4134940001113808,10.0,0.016436483808892947,0.012420869534778958,0.010764757312638311
48,qwen3-32b,0.8191111111124,0.3943547522117166,9.0,0.017214418303539016,0.013957268118695356,0.010076252487510878
0,deepseek_r1_distill_llama_70b,0.8114,0.3936513794874964,10.0,0.01749457287275114,0.013479617205247336,0.011151681487560518
47,qwen3-14b,0.8096363636375999,0.3870482177024476,11.0,0.017557068224124662,0.0143332036641072,0.010139522540523875
38,qwen2-math-72b-instruct,0.803714285712,0.38110604728528974,7.0,0.017762749373587957,0.015045677391083341,0.009441549510135656
50,qwen3-8b,0.7921818181824001,0.3729626821464012,11.0,0.01814551102193746,0.014986607795904498,0.010230403560905524
11,google_gemma_3_12b_it,0.7895000000027999,0.3728290418490235,12.0,0.01823127806811025,0.015274035703374454,0.009954061147531695
3,deepseek_r1_distill_qwen_14b,0.7885000000024,0.3789171786377899,12.0,0.018262954306388395,0.013691317199927493,0.01208649383933157
49,qwen3-4b,0.7723333333337999,0.36019771998380345,12.0,0.018752842747450392,0.015356945587605284,0.010762589527150673
5,deepseek_r1_distill_qwen_7b,0.7706666666701999,0.364526058629028,12.0,0.018801040160248736,0.014404135208699122,0.012083045973462155
42,qwen2.5-coder-32b-instruct,0.7607999999999999,0.3496623622824492,10.0,0.01907791183541847,0.015575837698178548,0.01101635148313633
41,qwen2.5-coder-14b-instruct,0.7134545454558,0.31657351672621237,11.0,0.02022064079223296,0.01658082931680444,0.011573694881735654
1,deepseek_r1_distill_llama_8b,0.7041666666690001,0.3268737623496965,12.0,0.020411563988154822,0.015099438915388914,0.013734587321174881
37,qwen2-math-1.5b-instruct,0.68,0.296912724164964,1.0,0.020861447696648473,0.020861447696648473,0.0
2,deepseek_r1_distill_qwen_1.5b,0.6758333333356,0.3005485460841975,12.0,0.02093239780283624,0.015842058999325014,0.013681902076761437
46,qwen3-1.7b,0.6668333333345999,0.29094189714061913,12.0,0.021079214353882655,0.016884409310945186,0.012619429464020946
16,llama-3.1-70B-instruct,0.6556666666674,0.28674692921950484,12.0,0.021249371232517,0.021149788546374247,0.0020548046673535126
14,google_gemma_3_4b_it,0.650833333335,0.29105778247739633,12.0,0.02131897303131897,0.017594940876518233,0.012038133852966305
35,qwen2-72b-instruct,0.6447999999999999,0.2723961422800964,10.0,0.02140247462327663,0.017620043132750843,0.012149074038789953
44,qwen2.5-coder-7b-instruct,0.6103333333345999,0.25749850821431497,12.0,0.021809472967280804,0.016609495276439415,0.014134276697889032
8,google_gemma_2_27b_it,0.523,0.20384426850921522,10.0,0.022337009647667702,0.018980569011491727,0.011776247280012423
36,qwen2-7b-instruct,0.5166666666672,0.2014069739332791,12.0,0.022348253722481518,0.01729964675308744,0.014148026952999488
21,mistralai_ministral_8b_instruct_2410,0.4934999999986,0.18893084842832533,12.0,0.022358790217718926,0.017256205003224754,0.0142175556579408
25,mistralai_mixtral_8x22b_instruct_v0.1,0.48133333333299994,0.18401682223824595,9.0,0.022345091432148724,0.017248922671979566,0.014204850501401117
17,llama-3.1-8B-instruct,0.4764615384622,0.1799020162233423,13.0,0.022335887751707275,0.019845666064415353,0.010248971661419496
20,mistralai_mathstral_7b_v0.1,0.470499999999,0.17710471163927743,12.0,0.022321727083715586,0.01724524250028182,0.014172547798697154
43,qwen2.5-coder-3b-instruct,0.4689090909108,0.18372654545400466,11.0,0.022317408244328332,0.016128121326846535,0.01542564141974434
9,google_gemma_2_9b_it,0.4638181818178,0.16949574958311425,11.0,0.02230205712632941,0.019327365090185383,0.011128104543755141
19,llama-3.2-3B-instruct,0.4412222222206,0.16621427657440055,18.0,0.02220563770033707,0.019496539104084477,0.010628984365476121
31,qwen1.5-72b-chat,0.4034,0.147213266644382,10.0,0.02193939105809457,0.016676236985603197,0.01425622670975739
30,qwen1.5-32b-chat,0.389111111111,0.14057489039232265,9.0,0.021803837016496113,0.016580515115409745,0.014159584285903137
45,qwen3-0.6b,0.3369230769196,0.12212326792606498,13.0,0.021137924077762667,0.015427478750579836,0.01445007729106202
40,qwen2.5-coder-1.5b-instruct,0.32766666666519995,0.11342662812989453,12.0,0.020990532257268595,0.015495239412384053,0.01415980225837682
29,qwen1.5-14b-chat,0.30545454545200007,0.10307541183862738,11.0,0.020598643941517707,0.015580449712084037,0.01347418713684223
18,llama-3.2-1B-instruct,0.27890909090939997,0.09667000199802538,11.0,0.020055862480456533,0.019933515943051122,0.0022119136472997184
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2523636363584,0.08436072583665952,11.0,0.019425562097523212,0.013655637288591243,0.013815789266168145
6,deepseek_v2_lite_chat,0.2253333333292,0.07245619873689124,9.0,0.018684657996332267,0.013198593266060809,0.013225489791950902
7,google_codegemma_1.1_7b_it,0.2084999999968,0.06550883697582732,12.0,0.018167429647483673,0.01341329978471707,0.01225311751684353
32,qwen1.5-7b-chat,0.16490909090540004,0.05190688119769383,11.0,0.01659602859976775,0.011417982048181572,0.012043996480890901
