,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.861225,0.46630806208186054,8.0,0.00488910010891575,0.004225094658702926,0.002460055893673963
45,qwen3-14b,0.8284799999999999,0.44000319999143733,10.0,0.0053310578612504305,0.004400292935703259,0.003009584688956269
11,google_gemma_3_12b_it,0.80130909091086,0.4188534746673521,11.0,0.005642921791669119,0.004716973507951744,0.0030972128231969527
47,qwen3-4b,0.78568333333422,0.406884753269142,12.0,0.0058031893481955065,0.0047916079358970715,0.003273759306921937
48,qwen3-8b,0.78188,0.4050823304318167,10.0,0.005840268240414989,0.004714311521314646,0.003447317797940886
46,qwen3-32b,0.7685800000000002,0.40179863350878103,10.0,0.005964306893512438,0.004333284749471237,0.004098243526195094
0,deepseek_r1_distill_llama_70b,0.73562222222496,0.39396171161917853,9.0,0.006236700544258504,0.004775207484409369,0.004011711250775043
14,google_gemma_3_4b_it,0.72024615384762,0.35957196865630636,13.0,0.0063480962770791445,0.0053644993215589895,0.0033941822832693064
5,deepseek_r1_distill_qwen_7b,0.7184166666695,0.3881392595043473,12.0,0.006360725740369326,0.003973201724656607,0.0049671420353542
1,deepseek_r1_distill_llama_8b,0.69103333333562,0.3620027942149997,12.0,0.006534619584255565,0.00422914856158596,0.004981521409667109
44,qwen3-1.7b,0.63866666666738,0.3053432874895833,12.0,0.006793696424706622,0.005475843922816463,0.004021124773496286
16,llama-3.1-70B-instruct,0.6292166666664001,0.29837673394464487,12.0,0.0068308572383797405,0.006806353204501334,0.0005780715065624091
2,deepseek_r1_distill_qwen_1.5b,0.625833333334,0.3160753693008179,12.0,0.006843478241684625,0.00420474269265531,0.005399382680730517
3,deepseek_r1_distill_qwen_14b,0.61338181818698,0.3274013568398524,11.0,0.006886865227440052,0.004428027219776236,0.005274607814979581
35,qwen2-72b-instruct,0.59312,0.27417391645475314,10.0,0.006947354397178828,0.005342221740062836,0.004441441207536131
4,deepseek_r1_distill_qwen_32b,0.58017777778104,0.30635210019687326,9.0,0.006979563366717064,0.004738727609737103,0.005124330730030423
40,qwen2.5-coder-32b-instruct,0.55148,0.26069724817441875,10.0,0.007033488602393552,0.0051988038932046675,0.0047373410263564526
8,google_gemma_2_27b_it,0.5194285714285999,0.22497349079388126,7.0,0.007065727572051498,0.006014779077064673,0.003707686445285496
39,qwen2.5-coder-14b-instruct,0.49413333333428,0.21707131745292194,9.0,0.007070581054230739,0.005080685323785166,0.004917291234523403
42,qwen2.5-coder-7b-instruct,0.458981818183,0.2011169083560452,11.0,0.00704723362406026,0.004752314540201758,0.005203749442764559
9,google_gemma_2_9b_it,0.44878,0.1823829278302137,10.0,0.007033868233056404,0.005998575024120312,0.0036732002395731163
31,qwen1.5-72b-chat,0.4346400000000001,0.17808024867746863,10.0,0.007010393289965977,0.005522899064802833,0.004317777205924363
30,qwen1.5-32b-chat,0.4224,0.17139965244455072,10.0,0.006985388178190243,0.005429958379214337,0.004394451046490335
25,mistralai_mixtral_8x22b_instruct_v0.1,0.41762,0.17094962947249823,10.0,0.0069744323869401735,0.005240296472529011,0.004602390683112419
20,mistralai_mathstral_7b_v0.1,0.39727272727088003,0.15936285528118185,11.0,0.006920218312129134,0.005108007002570082,0.0046687991977833465
21,mistralai_ministral_8b_instruct_2410,0.38301818181658,0.15233882881239788,11.0,0.006874812786025541,0.005034319532783185,0.004681738745886827
19,llama-3.2-3B-instruct,0.3777789473692,0.1509440136941711,19.0,0.006856559112176008,0.0068277982872739906,0.0006273542914989943
17,llama-3.1-8B-instruct,0.374575,0.1496652337998067,16.0,0.0068449772735196136,0.006816933979070063,0.0006189709201569974
43,qwen3-0.6b,0.37046153845998003,0.1477884388628279,13.0,0.006829638159988343,0.005192455154698517,0.004436481360584507
41,qwen2.5-coder-3b-instruct,0.36666666666598,0.14857069595165326,12.0,0.006815016100084271,0.004645726829914399,0.004986147477383851
36,qwen2-7b-instruct,0.36239999999986006,0.15028768678105844,11.0,0.00679803265658472,0.00470284159584759,0.004908821541302758
12,google_gemma_3_1b_it,0.33293333333248,0.12966500199843137,12.0,0.006664663965851598,0.005415817492451416,0.0038841558498827
29,qwen1.5-14b-chat,0.31522,0.11822258919817628,10.0,0.006570484785767333,0.004939521264252236,0.0043327127760792086
38,qwen2.5-coder-1.5b-instruct,0.27171666666426,0.10140112575740613,12.0,0.006291052689671633,0.004277636880109626,0.004612934712972932
6,deepseek_v2_lite_chat,0.2573,0.09095660016261133,10.0,0.006182179389179839,0.004582285674202341,0.004149939758598912
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2559,0.09156431185662617,10.0,0.006171145598671287,0.004486183010087752,0.0042375936567821135
7,google_codegemma_1.1_7b_it,0.20543076922684,0.07118606772636493,13.0,0.005713649766685194,0.004158700246492479,0.003918035976884996
32,qwen1.5-7b-chat,0.20542000000000002,0.07018690660470633,10.0,0.0057135387213179895,0.004025633455743332,0.004054479004755112
18,llama-3.2-1B-instruct,0.187123809524,0.06378674968762459,21.0,0.005515586812538187,0.005493176300514964,0.0004967011355995542
34,qwen2-1.5b-instruct,0.15144999999737999,0.0505804436940246,12.0,0.0050697711486451455,0.0031977546897324427,0.00393407478880726
24,mistralai_mistral_7b_instruct_v0.3,0.13181818181426003,0.04256526694046473,11.0,0.004784185380134066,0.003211317795492507,0.0035462469975795097
15,google_gemma_7b_it,0.11879999999796001,0.03907230776498888,12.0,0.004575730761276165,0.0035190088251147032,0.002924703213738751
23,mistralai_mistral_7b_instruct_v0.2,0.10336363636038001,0.031981943607547574,11.0,0.004305336108568973,0.0029542604058419397,0.00313181488313445
33,qwen2-0.5b-instruct,0.07618461537936,0.02409800038374085,13.0,0.003751813421769771,0.0022092617953692294,0.0030323697451487886
37,qwen2.5-coder-0.5b-instruct,0.0721692307639,0.022915039376405585,13.0,0.0036595309233519793,0.0020558995094287764,0.003027448395282718
22,mistralai_mistral_7b_instruct_v0.1,0.07058181817852001,0.02208048590762231,11.0,0.003622154748796201,0.002269307623671687,0.002823162753610289
10,google_gemma_2b_it,0.06334999999799999,0.021128097185922304,12.0,0.0034449028287675517,0.002431590688790139,0.0024402299526560564
28,qwen1.5-1.8b-chat,0.0522,0.01672466137735425,10.0,0.0031456369784194746,0.00170147935632496,0.0026457513110645908
27,qwen1.5-0.5b-chat,0.01298461538208,0.004857965451557884,13.0,0.0016010006336950307,0.0006464345177342074,0.0014646929519095916
