,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
32,qwen3-14b,0.7218333333338,0.31398462509702074,12.0,0.02003945968443337,0.018885530910716552,0.0067019897541252624
27,qwen2.5-coder-14b-instruct,0.7213333333352,0.32865523504352134,12.0,0.0200505139861665,0.016620629751497674,0.011215069227298105
6,google_gemma_3_12b_it,0.6930909090903999,0.2931969079932844,11.0,0.020625998197742718,0.01942249866903648,0.006942502942351697
0,deepseek_r1_distill_llama_70b,0.663272727273,0.26744177854177226,11.0,0.021134900829142142,0.018570564106813587,0.010090499581903762
34,qwen3-8b,0.6611666666674,0.2705070907034118,12.0,0.021167206029862287,0.019431376402370314,0.008394773506178975
29,qwen2.5-coder-7b-instruct,0.6484000000000001,0.27877304538576353,10.0,0.021353100009132164,0.016971590379219033,0.01295839496234005
33,qwen3-4b,0.641333333333,0.2546569478716549,12.0,0.021448771008567513,0.01993028962277517,0.007926747966869305
16,mistralai_mixtral_8x22b_instruct_v0.1,0.638727272729,0.2516631103299492,11.0,0.021482771878934697,0.01830021632007043,0.011252180688247732
7,google_gemma_3_4b_it,0.5995384615394,0.2260346971278314,13.0,0.021913105424579575,0.02049319817894865,0.007759704746127557
3,deepseek_r1_distill_qwen_14b,0.570545454547,0.2112776921827276,11.0,0.022136997937514342,0.018303151514968433,0.012451559031126309
8,llama-3.1-8B-instruct,0.562,0.19916284108008825,15.0,0.02218810492133116,0.02218810492133116,0.0
28,qwen2.5-coder-3b-instruct,0.5503333333356,0.20632947860946038,12.0,0.022247092194501616,0.01734422093969148,0.013932376362481106
17,mistralai_mixtral_8x7b_instruct_v0.1,0.5209999999993999,0.17698184846058562,12.0,0.022340948950303127,0.019173366944910425,0.011467344940999493
12,mistralai_ministral_8b_instruct_2410,0.5201818181818001,0.1734620601309014,11.0,0.02234245708130047,0.01862936276509121,0.012334189531395518
24,qwen2-7b-instruct,0.510727272727,0.17200568789366938,11.0,0.022355532899926166,0.01878986714817584,0.012112421054173416
10,llama-3.2-3B-instruct,0.488,0.1568633209923294,15.0,0.022354238971613417,0.022354238971613417,0.0
11,mistralai_mathstral_7b_v0.1,0.4870909090912,0.15737978447399695,11.0,0.022353225958322363,0.018098826956449397,0.013118657459676176
31,qwen3-1.7b,0.4811666666666,0.15653529640226282,12.0,0.02234481172691115,0.02021376181388356,0.009523363084682265
5,deepseek_v2_lite_chat,0.44509090909180005,0.13641245964254534,11.0,0.022225435506897723,0.018283888043648028,0.012636036620658191
26,qwen2.5-coder-1.5b-instruct,0.4370909090908,0.1375447228329763,11.0,0.022182986556412015,0.017213840290043733,0.013991733096040073
20,qwen1.5-14b-chat,0.40183333333320004,0.11398769653454868,12.0,0.021925478583398328,0.01873585244048168,0.011388346870356362
1,deepseek_r1_distill_llama_8b,0.39499999999979996,0.1170269504993319,12.0,0.02186206760578505,0.01778435642184209,0.012714820748276397
15,mistralai_mistral_7b_instruct_v0.3,0.39236363636320004,0.10670258030614214,11.0,0.02183641056689705,0.018591806602227465,0.011453102361869664
4,deepseek_r1_distill_qwen_7b,0.39163636363660004,0.12001382708048904,11.0,0.021829215391951255,0.017015858427560746,0.013673887764692657
14,mistralai_mistral_7b_instruct_v0.2,0.36379999999999996,0.09979840874770705,10.0,0.021515090518052674,0.01800164214731534,0.011783038657324349
21,qwen1.5-7b-chat,0.3483333333338,0.09057799887956472,12.0,0.02130714538469965,0.01791786817688715,0.011530153704110896
9,llama-3.2-1B-instruct,0.32,0.08183722747801177,11.0,0.020861447696648477,0.020861447696648473,0.0
25,qwen2.5-coder-0.5b-instruct,0.318615384614,0.08369044868938369,13.0,0.02083744808277985,0.016322865220411074,0.012952347802573873
13,mistralai_mistral_7b_instruct_v0.1,0.3052727272702,0.07536152786374692,11.0,0.020595207658832385,0.016029846129931948,0.012930839553607255
30,qwen3-0.6b,0.2758461538444,0.06973817253420465,13.0,0.019987748910452702,0.016270859711365406,0.011609015064180475
23,qwen2-1.5b-instruct,0.23492307692079997,0.05265854032614002,13.0,0.018959653206262177,0.013579955643191319,0.013230769230497675
2,deepseek_r1_distill_qwen_1.5b,0.14616666666420003,0.03197578728327312,12.0,0.015798858960094343,0.01170795313737907,0.010607911093796406
22,qwen2-0.5b-instruct,0.1298461538432,0.02303375681450247,13.0,0.01503237374304724,0.010241264714923471,0.011004033687222133
19,qwen1.5-1.8b-chat,0.12636363636140002,0.02310379753820525,11.0,0.014859062404265207,0.010702513800768311,0.010307663841929052
18,qwen1.5-0.5b-chat,0.0416923076902,0.005771887161881193,13.0,0.008939134093374558,0.005740168853150619,0.006852633061579388
