,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8944207792210181,0.4064475846110345,11.0,0.005859948771686873,0.004898045702991038,0.0032168537265790473
13,google_gemma_3_27b_it,0.8922545454545454,0.4054006998412087,10.0,0.005912586622705772,0.005267144653643396,0.0026862367298127396
0,deepseek_r1_distill_llama_70b,0.866909090909091,0.38982999407619073,10.909090909090908,0.0064773091778008735,0.005131445462238772,0.0039526954920525515
11,google_gemma_3_12b_it,0.8627768595051636,0.3829251162989794,12.0,0.006561400909383766,0.005649339580548487,0.0033372060465770383
16,llama-3.1-70B-instruct,0.8607272727272727,0.38622642635217824,12.0,0.0066023641691509765,0.006602364169150976,0.0
48,qwen3-14b,0.8438347107446544,0.3673968025361995,11.0,0.0069223666916384445,0.005929349947794519,0.0035723899297381437
8,google_gemma_2_27b_it,0.8393818181818182,0.3680911483886446,10.0,0.0070018174650353406,0.005924985047548553,0.0037309516212355263
35,qwen2-72b-instruct,0.8059636363636364,0.33988088038405395,10.909090909090908,0.007541069449672131,0.006347170347484379,0.004071996687718862
51,qwen3-8b,0.8045950413231636,0.33917335117447395,11.0,0.007561189439892503,0.0064764350199431305,0.003902226951164696
4,deepseek_r1_distill_qwen_32b,0.8031454545454546,0.339000247091957,10.909090909090908,0.007582343926120368,0.006249260894539773,0.004294028142193576
43,qwen2.5-coder-32b-instruct,0.7943272727272725,0.3321633878027368,10.909090909090908,0.0077076457089149345,0.006483204038556841,0.004168437089437123
38,qwen2-math-72b-instruct,0.7904,0.3322826353488992,10.909090909090908,0.007761626821040219,0.0064205410034404034,0.004361135647079944
9,google_gemma_2_9b_it,0.7903140495884001,0.3342909118286892,11.0,0.007762795949248369,0.006514207256176551,0.00422209720082848
3,deepseek_r1_distill_qwen_14b,0.7462252964438182,0.3014641943946322,13.0,0.008298370122360914,0.006904684217107527,0.004603073163628679
50,qwen3-4b,0.7443030303029091,0.298052380771338,12.0,0.008319004079047308,0.00726471450242094,0.004053363056218955
14,google_gemma_3_4b_it,0.7180979020994909,0.2905293414970463,13.0,0.008579750051451507,0.006939593410963265,0.005045211019957182
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7168323232342546,0.2853956276984709,10.0,0.008591406776558999,0.006830434648440529,0.005211279393170838
42,qwen2.5-coder-14b-instruct,0.6879008264479636,0.26737531216855503,11.0,0.00883573898581874,0.007059781703473528,0.005313169084907574
31,qwen1.5-72b-chat,0.6529090909090909,0.2463046213743589,10.909090909090908,0.009077821322869679,0.007254902951070506,0.005456484503826238
21,mistralai_ministral_8b_instruct_2410,0.6457355371908,0.24172268161066227,12.0,0.009120629029338013,0.007151470272469165,0.0056605959785868
17,llama-3.1-8B-instruct,0.6421818181818182,0.2505234754621269,15.0,0.009141003139272314,0.009141003139272316,0.0
5,deepseek_r1_distill_qwen_7b,0.6167957839274181,0.2263552374068375,13.0,0.009270848639330408,0.007417743654422329,0.005561089243183548
20,mistralai_mathstral_7b_v0.1,0.600963109354691,0.22617695788709094,13.0,0.009338219619089025,0.006843532269338387,0.006353614068611924
30,qwen1.5-32b-chat,0.5915252525270546,0.21680297864154335,10.0,0.00937352418735119,0.007377277057846187,0.005782623876981288
45,qwen2.5-coder-7b-instruct,0.5730645586309454,0.20080608884714418,13.0,0.00943227669946638,0.007405578103360485,0.0058416826933961555
36,qwen2-7b-instruct,0.5698708827418182,0.20314006378187568,13.0,0.009441071968120397,0.007310197057911428,0.0059745174601579226
47,qwen3-1.7b,0.5464545454547637,0.18886404964085968,12.0,0.009493384782077395,0.007949358896849104,0.005189609595110661
