,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.6999205821521277,0.3644840351516118,9.0,0.0041780494424567575,0.003575190191658315,0.0021619695273253537
41,qwen3-14b,0.6733377659574469,0.3439100412308616,10.0,0.004275599712321859,0.00376468191529306,0.002026801168509663
9,llama-3.1-70B-instruct,0.6387134308510638,0.32278062504540184,12.0,0.004379353685790474,0.004379353685790473,0.0
44,qwen3-8b,0.6261552526595744,0.31019145384147995,10.0,0.004410803839532844,0.0038732897272847843,0.0021101699456081346
28,qwen2-72b-instruct,0.6222365359042553,0.30976486551354815,4.0,0.004419964879432437,0.003744441021795642,0.002348457146662507
36,qwen2.5-coder-32b-instruct,0.6049077460106383,0.29472716029972373,8.0,0.004456818199084198,0.0037393502801606085,0.002424971740443772
7,google_gemma_3_12b_it,0.5867761726301447,0.28177613950484887,11.0,0.00448910745693901,0.003894380710937045,0.0022329094558953574
0,deepseek_r1_distill_llama_70b,0.5770260786062167,0.2755850972016614,9.0,0.004503867494512253,0.0038343164881776233,0.002362803308913651
43,qwen3-4b,0.5757676499033993,0.2777852216602772,11.0,0.004505641255952005,0.0039615625335585,0.0021463516533975317
18,mistralai_mixtral_8x22b_instruct_v0.1,0.5180075354597324,0.23976492094975851,9.0,0.0045553237853582194,0.003508455545522067,0.0029054628675214207
4,deepseek_r1_distill_qwen_32b,0.5151574966755319,0.23644987075404172,8.0,0.004556185975443721,0.0037486464519864843,0.0025896873210561923
31,qwen2-math-72b-instruct,0.5106486868351063,0.23803658558839424,8.0,0.004557247098787334,0.0035311422825545003,0.002880891407144907
3,deepseek_r1_distill_qwen_14b,0.4814453124999501,0.2148656472593593,12.0,0.004555141285620319,0.00361667569280188,0.002769290354054404
24,qwen1.5-72b-chat,0.4748171542553192,0.21726572928620308,1.0,0.00455249581091452,0.00455249581091452,0.0
35,qwen2.5-coder-14b-instruct,0.4737616356382979,0.21277273636086605,10.0,0.0045520003442382,0.0034250760490283647,0.0029982596939419617
23,qwen1.5-32b-chat,0.46051155252659576,0.20638512764818842,8.0,0.0045440429508797385,0.0035227352821898586,0.002870307034283019
10,llama-3.1-8B-instruct,0.4496343085106383,0.19947442067141202,15.0,0.004535096011975085,0.004535096011975085,0.0
29,qwen2-7b-instruct,0.4422373670207779,0.19543270060545173,12.0,0.004527761204892864,0.0034685593176964078,0.002910277957198301
40,qwen3-1.7b,0.42934812721583276,0.19187756701652575,12.0,0.004512544505955099,0.003750019759088455,0.002510061697383496
19,mistralai_mixtral_8x7b_instruct_v0.1,0.4228474069148937,0.18783795218481755,10.0,0.004503687516361851,0.0034370776314067075,0.0029102746607008135
8,google_gemma_3_4b_it,0.4153667144009641,0.17899974143405184,13.0,0.004492506384090779,0.0038252391368455603,0.0023558775768365904
14,mistralai_ministral_8b_instruct_2410,0.39209078819743187,0.16682469604142683,11.0,0.0044508583211061905,0.0032737788654776615,0.003015379202440716
22,qwen1.5-14b-chat,0.3791805186170213,0.16039454079962853,10.0,0.0044232019137057915,0.003437344382991004,0.00278377060156378
38,qwen2.5-coder-7b-instruct,0.37676612366938167,0.1598209308211875,12.0,0.004417662541529017,0.0031735223030768724,0.0030731902841676225
13,mistralai_mathstral_7b_v0.1,0.36654338430688166,0.15655685440023828,12.0,0.004392909124461398,0.0030840590065068247,0.003128295161930911
1,deepseek_r1_distill_llama_8b,0.3612103834209026,0.14702633642444748,12.0,0.004379153066132151,0.0033228266457047784,0.0028523331956854126
5,deepseek_r1_distill_qwen_7b,0.36107878989280257,0.15103331508241066,12.0,0.004378806260138235,0.0033804025347995816,0.002783311510870882
12,llama-3.2-3B-instruct,0.3503158244680851,0.1496119490882429,19.0,0.004349227351702001,0.004349227351702001,0.0
