,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,30.0,0.2575757575766667,0.21538461538666667,4.00699300683986,1.2657342657,0.06672491627603806,1.0,0.052308024711720455,0.04070317661836447,0.06627879024294069,0.8213160029798278,aime2025_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,30.0,0.2575757575766667,0.17179487179666666,3.5524475523384615,2.5734265734000004,0.06282645897265526,0.25,0.04946560505085014,0.035426532220300615,0.06084312013862117,0.8569876600782879,aime2025_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.2575757575766667,0.24545454545333334,3.735537189999173,0.36363636369999996,0.06442512613706596,1.0,0.04942274675691511,0.041268529430233736,0.06438710599438548,0.834656262604266,aime2025_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.2575757575766667,0.2545454545433333,3.3801652890528926,0.09090909099999989,0.06128408610772269,1.0,0.05781449705363472,0.020320360461326393,0.06128158874281063,0.9559689093102681,aime2025_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,30.0,0.2575757575766667,0.18787878787666668,3.6115702478479337,2.0909090910000003,0.06334710593975187,1.0,0.04923659639009187,0.037771565416539414,0.06205589076064194,0.8422916412614212,aime2025_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,30.0,0.2575757575766667,0.20909090909000003,4.347107437928925,1.4545454545999998,0.06949906024887376,1.0,0.0576554472420229,0.037783719082514856,0.0689330111367847,0.8357596685198697,aime2025_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.2575757575766667,0.24444444444333335,3.954545454551515,0.3939393940000002,0.06628679652801248,1.0,0.05960879847995431,0.028896069367686256,0.06624342745605742,0.907329771246203,aime2025_cot
7,deepseek_r1_distill_llama_70b,qwen3-14b,30.0,0.2575757575766667,0.18055555555666664,5.098484848231817,2.3106060605999996,0.07526608243227503,1.0,0.060699107864081565,0.0422239791891593,0.07394082846480667,0.783559188047663,aime2025_cot
8,deepseek_r1_distill_llama_70b,qwen3-32b,30.0,0.2575757575766667,0.19090909091000002,5.371900826317355,2.0,0.07725787141714541,1.0,0.062250419950361194,0.04410800113090251,0.07629305700887877,0.7619396365396752,aime2025_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,30.0,0.2575757575766667,0.16388888888333333,5.280303030231819,2.8106060608,0.07659636653865666,0.375,0.05579779602578327,0.049608819915453864,0.07466209918518796,0.6967694651092139,aime2025_cot
