,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,6511.0,0.3559617058301183,0.2906875543937951,2052.518518487515,425.00000000189993,0.00695818300379929,7.174531120336931e-21,0.006254698870075801,0.002939500908627099,0.0069110001842820875,0.6993086153811138,bbh_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,6511.0,0.3559617058301183,0.3312599191092766,2025.8148147801242,160.83333333940004,0.006912771093074613,0.00037473916864221013,0.0061548512772744085,0.0031321709651457403,0.006905989371572217,0.6876017882646053,bbh_cot
2,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,6511.0,0.3559617058301183,0.34864076178774384,2476.5555555427,47.6666666599001,0.007643219677627977,0.3448931057817562,0.004350104087586502,0.00628388174821496,0.007642681165558714,0.24497809271596155,bbh_cot
3,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,6511.0,0.3559617058301183,0.42172221368924895,2406.3703703459796,-428.16666667080005,0.007534137473307186,2.5913946832060623e-18,0.00609569487073316,0.004352189835106087,0.007489930060947385,0.46815810937308433,bbh_cot
4,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,6511.0,0.3559617058301183,0.40521169303173094,2365.7592592306573,-320.66666666970013,0.007470292017153502,4.39822236192255e-11,0.005864054088159578,0.004587548326204539,0.007445315976781853,0.44818213529566264,bbh_cot
5,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,6511.0,0.3559617058301183,0.42250178020225776,2488.090909057012,-433.24242423700025,0.007660999374183554,3.2402723905043945e-18,0.006275387663647468,0.004316295343644874,0.007616488418072285,0.44069710188580347,bbh_cot
6,deepseek_r1_distill_llama_70b,qwen1.5-7b-chat,6511.0,0.3559617058301183,0.2663743873941176,2351.86868684256,583.3030303368,0.0074483287939174254,1.6078633228455076e-33,0.006102838503825466,0.004123141778578237,0.007365116151835758,0.397793306864062,bbh_cot
7,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,6511.0,0.3559617058301183,0.38475912558080166,2431.111111084239,-187.4999999966999,0.007572768990732978,0.00013631488081080245,0.00622100633685626,0.004303317627055095,0.007564354727439006,0.4365621558171707,bbh_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-1.5b-instruct,6511.0,0.3559617058301183,0.4150412123071572,2545.9259259082296,-384.6666666719998,0.007749526834911057,2.4194587963334745e-14,0.005933259019934833,0.004931077771623222,0.0077148616700129305,0.35083571029789606,bbh_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-0.5b-instruct,6511.0,0.3559617058301183,0.2697102339614959,2505.083333319433,561.5833333366002,0.007687115269413962,2.71728916639479e-29,0.006000478590946203,0.004684380558916549,0.007612434862851639,0.2564776956633513,bbh_cot
10,deepseek_r1_distill_llama_70b,qwen2.5-coder-1.5b-instruct,6511.0,0.3559617058301183,0.3589694363375057,2540.9166666484557,-19.583333333599967,0.007741899255819211,0.7061844679416845,0.0062543976776664005,0.004562688282989688,0.007741809522206695,0.33794984961525026,bbh_cot
11,deepseek_r1_distill_llama_70b,qwen3-0.6b,6511.0,0.3559617058301183,0.33113193057799106,2511.0370370227906,161.66666666660012,0.007696244635570564,0.0014033607673360374,0.005812257861784218,0.005035389895336517,0.007690090561880891,0.28559237009961297,bbh_cot
12,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,6511.0,0.2906875543937951,0.3559617058301183,2052.518518487515,-425.00000000189993,0.00695818300379929,4.6956210564884405e-21,0.006254698870075801,0.002939500908627099,0.0069110001842820875,0.6993086153811139,bbh_cot
13,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,6511.0,0.2906875543937951,0.23359187016659505,1848.0555555400945,371.7500000032999,0.006602521376895067,7.163328992837213e-18,0.006073470555208384,0.0024910972547828574,0.006564496181564121,0.7217519195677903,bbh_cot
14,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,6511.0,0.2906875543937951,0.21534984751747813,1891.9285714469,490.5238094716999,0.006680433921367043,9.088655982712483e-30,0.006053231045951841,0.0026673715722257936,0.006614867889836767,0.6637523311742183,bbh_cot
15,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,6511.0,0.2906875543937951,0.3312599191092766,2013.5555555376775,-264.1666666624999,0.006891822966077894,3.8069908668240945e-09,0.0062575267522416815,0.0028438990587388514,0.006873456402081565,0.7016675039223049,bbh_cot
16,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,6511.0,0.2906875543937951,0.34864076178774384,2425.8333333274,-377.33333334200006,0.007564544540036734,2.0009124371557722e-14,0.004494202085186057,0.006042238900421788,0.0075303720566955385,0.24596485498626353,bbh_cot
17,deepseek_r1_distill_llama_8b,qwen1.5-0.5b-chat,6511.0,0.2906875543937951,0.21654379767313775,2255.444444431322,482.7500000082,0.007294043881230979,2.2182163297892312e-24,0.006043973011195719,0.003978587345312599,0.007235935808473138,0.2540062372536491,bbh_cot
18,deepseek_r1_distill_llama_8b,qwen1.5-1.8b-chat,6511.0,0.2906875543937951,0.19826587173644605,2146.7575757349878,601.7575757819999,0.00711612890879503,5.5480625599088546e-39,0.0058877948593284305,0.0038290030570104646,0.0070233462620128435,0.31617921478824673,bbh_cot
19,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,6511.0,0.2906875543937951,0.2663743873941176,2167.6666666381925,158.30303033489986,0.0071506999379856075,0.0008009083198890717,0.006206374514435023,0.003538733607190251,0.0071443488265961865,0.4593734548647982,bbh_cot
20,deepseek_r1_distill_llama_8b,qwen2-1.5b-instruct,6511.0,0.2906875543937951,0.22351917267994165,2200.6666666508,437.33333333890005,0.007204924550807293,1.345939814351156e-20,0.006229847558051636,0.003522359836392857,0.007156676562036002,0.3699109348763832,bbh_cot
21,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,6511.0,0.2906875543937951,0.38475912558080166,2369.24999998715,-612.4999999986,0.0074758012929860024,1.1910346378074454e-36,0.00632260758333614,0.0038148503202632,0.007384338130047397,0.48934594048972396,bbh_cot
22,deepseek_r1_distill_llama_8b,qwen2.5-coder-0.5b-instruct,6511.0,0.2906875543937951,0.2697102339614959,2375.8472222100945,136.5833333347,0.007486202313847447,0.005249248713091643,0.00610575057876242,0.00432382349788498,0.007481686960232962,0.24179662162478918,bbh_cot
23,deepseek_r1_distill_llama_8b,qwen2.5-coder-1.5b-instruct,6511.0,0.2906875543937951,0.3589694363375057,2463.9444444318056,-444.5833333354999,0.0076237344465368145,2.947439372271974e-19,0.006355465137977925,0.004124719014256545,0.0075766248466333785,0.3643179575638374,bbh_cot
24,deepseek_r1_distill_llama_8b,qwen3-0.6b,6511.0,0.2906875543937951,0.33113193057799106,2365.66666665305,-263.3333333352998,0.007470145827223405,6.935872816948072e-08,0.005920877321945318,0.004527147236675756,0.007453311369053844,0.34177574283519835,bbh_cot
25,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_14b,6511.0,0.13975067833629243,0.23359187016659505,1728.7777777577053,-611.0000000070999,0.006385896719650082,6.162952900282719e-50,0.005444374011470784,0.0031282522468291433,0.00627910586760329,0.4232295133035266,bbh_cot
26,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,6511.0,0.13975067833629243,0.21534984751747813,1696.916666688612,-492.22619053870017,0.00632677751159261,3.2324547898785346e-33,0.005421786595530154,0.003123229489171203,0.006257022640961041,0.36369348312659144,bbh_cot
27,deepseek_r1_distill_qwen_1.5b,qwen1.5-0.5b-chat,6511.0,0.13975067833629243,0.21654379767313775,1853.9583333112168,-500.0000000022002,0.006613057354918695,1.4818411011589846e-31,0.005411448378378703,0.0036800853039829604,0.006544218929440614,0.11566735303380268,bbh_cot
28,deepseek_r1_distill_qwen_1.5b,qwen1.5-1.8b-chat,6511.0,0.13975067833629243,0.19826587173644605,1752.3106060271136,-380.99242422839984,0.006429213521884974,6.332497526055921e-20,0.005236438875546008,0.003659045073886935,0.006388184636504003,0.13970937939099984,bbh_cot
29,deepseek_r1_distill_qwen_1.5b,qwen2-0.5b-instruct,6511.0,0.13975067833629243,0.1820124916780218,1693.1388888643612,-275.16666666800006,0.006319731061513695,1.786638147507487e-11,0.005329519938348248,0.003355726977275785,0.006297990657286496,0.1303003033991641,bbh_cot
