,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,75.0,0.18181818181333337,0.11282051281466667,15.524475523915386,5.174825174900002,0.052534814740390776,0.30175781249999994,0.04643805971318149,0.02323655867059871,0.051927170621719664,0.5583325260105422,gre_physics_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,75.0,0.18181818181333337,0.14666666666133335,16.190082643971902,2.6363636364000014,0.053649202365775146,0.803619384765625,0.04923659639045294,0.020916965286606772,0.05349543775797593,0.6592115104359446,gre_physics_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,75.0,0.18181818181333337,0.12848484847466668,16.082644627482647,4.000000000400001,0.05347089696894546,0.454498291015625,0.04872666967680502,0.02114054301425581,0.05311507221806321,0.6357668685798636,gre_physics_cot
3,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,75.0,0.18181818181333337,0.23384615384533333,24.06993006960979,-3.9020979023999978,0.0654148200260594,0.5412561893463135,0.049209573736331697,0.04267814897673173,0.06513836463553237,0.06818541736421006,gre_physics_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2b_it,75.0,0.18181818181333337,0.171282051276,21.559440558681818,0.7902097903000005,0.06190952618664228,1.0,0.04508175381801255,0.04241396905962304,0.06189757102422154,0.024726802614669134,gre_physics_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,75.0,0.18181818181333337,0.17948717948266665,21.321678321513286,0.17482517480000226,0.06156720385474113,1.0,0.04591409557317451,0.041016386610277775,0.061566615489779666,0.08673024955501507,gre_physics_cot
6,deepseek_r1_distill_llama_70b,google_gemma_7b_it,75.0,0.18181818181333337,0.244102564104,20.643356642716086,-4.6713286717999996,0.060579947753495074,0.26317596435546875,0.04449457890225276,0.04047762255571587,0.06015152100696868,0.3645413727790477,gre_physics_cot
7,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,75.0,0.18181818181333337,0.18666666666666668,21.636363636000002,-0.36363636399999777,0.06201987299567777,1.0,0.035172407583458035,0.051078889511990466,0.062017346033146466,0.06574153566485018,gre_physics_cot
8,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,75.0,0.18181818181333337,0.19999999998800003,21.90909090860909,-1.3636363630999995,0.06240953048103982,1.0,0.052078911656601,0.03432679335493824,0.06237420766124957,0.16140606952122352,gre_physics_cot
9,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,75.0,0.18181818181333337,0.24,20.636363636139997,-4.363636363999998,0.0605696860537275,0.5034446716308594,0.047849166133396105,0.03652409044387488,0.06019594573070261,0.3902144678892023,gre_physics_cot
10,deepseek_r1_distill_llama_70b,qwen1.5-0.5b-chat,75.0,0.18181818181333337,0.19487179486533332,22.82517482439091,-0.9790209788999995,0.06370093294190828,0.8318119049072266,0.05515638186352834,0.03183253744014112,0.06368309744471719,0.021495230538962018,gre_physics_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-1.8b-chat,75.0,0.18181818181333337,0.18303030302133336,20.81818181738182,-0.09090909060000207,0.060835927714368576,1.0,0.05325062457189628,0.029417027275596648,0.06083576670865783,0.25429078409537004,gre_physics_cot
12,deepseek_r1_distill_llama_70b,qwen2-0.5b-instruct,75.0,0.18181818181333337,0.181538461532,21.01398601336154,0.02097902110000227,0.06112135253500791,1.0,0.05415556066435757,0.028337147732120014,0.06112134400079,0.247826123005256,gre_physics_cot
13,deepseek_r1_distill_llama_70b,qwen2-1.5b-instruct,75.0,0.18181818181333337,0.24307692306800002,24.608391607890205,-4.594405594099998,0.06614246120863691,0.5412561893463135,0.05219713332328331,0.04000311657649533,0.06576313604901525,0.06589316895204364,gre_physics_cot
14,deepseek_r1_distill_llama_70b,qwen2.5-coder-0.5b-instruct,75.0,0.18181818181333337,0.182564102552,22.99300699225315,-0.05594405539999947,0.0639346986190728,1.0,0.05446546442701612,0.033483599770999344,0.06393464060175068,-0.12971716072744743,gre_physics_cot
15,deepseek_r1_distill_llama_70b,qwen2.5-coder-1.5b-instruct,75.0,0.18181818181333337,0.25575757574133334,24.421487602294217,-5.545454544600002,0.06589080205888692,0.30745625495910645,0.058307944099341535,0.02947690052474331,0.06533531977144942,0.2387632519062636,gre_physics_cot
16,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,75.0,0.11282051281466667,0.18181818181333337,15.524475523915386,-5.174825174900002,0.052534814740390776,0.30175781249999994,0.04643805971318149,0.02323655867059871,0.051927170621719664,0.5583325260105421,gre_physics_cot
17,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,75.0,0.11282051281466667,0.039999999992,9.556213017010059,5.461538461700001,0.041217500095652594,0.1796875,0.03700844831102482,0.016079574203791695,0.04035068714365394,0.6818504103670556,gre_physics_cot
18,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,75.0,0.11282051281466667,0.14666666666133335,13.363636362884616,-2.538461538500001,0.048741743666224455,0.5810546875,0.045897051142830304,0.015935623937586758,0.048584806409903175,0.7187960467963563,gre_physics_cot
19,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,75.0,0.11282051281466667,0.12848484847466668,13.468531467736364,-1.1748251745000005,0.04893266387868376,1.0,0.04534958894283042,0.018290674076105018,0.04889922264660234,0.5677658425145198,gre_physics_cot
20,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,75.0,0.11282051281466667,0.06787878787200001,10.923076922453847,3.3706293707,0.044066771401698734,0.34375,0.04016061991275213,0.017380300192518707,0.043760144270313016,0.5271654010197571,gre_physics_cot
21,deepseek_r1_distill_llama_8b,google_gemma_2b_it,75.0,0.11282051281466667,0.171282051276,17.02366863826982,-4.3846153846,0.05501299828346804,0.332305908203125,0.041408470230124485,0.03558368381174447,0.0545972523156002,0.18245061911111352,gre_physics_cot
22,deepseek_r1_distill_llama_8b,google_gemma_3_1b_it,75.0,0.11282051281466667,0.17948717948266665,18.917159762832547,-5.0000000001,0.05799181515096388,0.237884521484375,0.042313130961839966,0.038902317584536196,0.05747861659123272,-0.004165003897457054,gre_physics_cot
23,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,75.0,0.11282051281466667,0.18666666666666668,19.076923076699998,-5.5384615389,0.05823618283690418,0.1670684814453125,0.030321529227730466,0.048983137889707616,0.05760853176596522,0.021878517678633153,gre_physics_cot
24,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.1,75.0,0.11282051281466667,0.19999999998800003,19.125874125113285,-6.538461538000002,0.05831085147740633,0.1670684814453125,0.04893372986833589,0.03007172494900816,0.05743534243160798,0.16171662972149992,gre_physics_cot
25,deepseek_r1_distill_llama_8b,qwen1.5-0.5b-chat,75.0,0.11282051281466667,0.19487179486533332,19.621301774298225,-6.153846153799997,0.05906125148133847,0.1670684814453125,0.0521969667678743,0.02596040411138775,0.058296362848750116,0.04064503378176761,gre_physics_cot
26,deepseek_r1_distill_llama_8b,qwen1.5-1.8b-chat,75.0,0.11282051281466667,0.18303030302133336,17.797202796293007,-5.2657342655,0.05624897477986087,0.332305908203125,0.05017893877702337,0.024089328310525977,0.055661671150267926,0.2839995204426353,gre_physics_cot
27,deepseek_r1_distill_llama_8b,qwen2-0.5b-instruct,75.0,0.11282051281466667,0.181538461532,18.644970413568046,-5.153846153799999,0.05757309620696582,0.237884521484375,0.05113825994656184,0.025230491278388487,0.05702367333407212,0.09290722132091521,gre_physics_cot
28,deepseek_r1_distill_llama_8b,qwen2.5-coder-0.5b-instruct,75.0,0.11282051281466667,0.182564102552,19.088757395481064,-5.230769230299999,0.05825424336739553,0.1670684814453125,0.051466335548023774,0.026075229588761892,0.05769489832600815,-0.006611905986404879,gre_physics_cot
29,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_8b,75.0,0.039999999992,0.11282051281466667,9.556213017010059,-5.461538461700001,0.041217500095652594,0.1796875,0.03700844831102482,0.016079574203791695,0.04035068714365394,0.6818504103670556,gre_physics_cot
30,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,75.0,0.039999999992,0.12848484847466668,10.98601398496084,-6.6363636362000005,0.044193541981628115,0.109375,0.03984244212215483,0.01616337567294232,0.042996219687339035,0.5272837589356655,gre_physics_cot
31,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_7b,75.0,0.039999999992,0.06787878787200001,7.363636362727272,-2.090909091,0.03618136134709822,0.453125,0.03381878721583778,0.012450603037486694,0.03603786737235135,0.29536965810995536,gre_physics_cot
32,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_70b,75.0,0.14666666666133335,0.18181818181333337,16.190082643971902,-2.6363636364000014,0.053649202365775146,0.454498291015625,0.04923659639045294,0.020916965286606772,0.05349543775797593,0.6592115104359446,gre_physics_cot
33,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_8b,75.0,0.14666666666133335,0.11282051281466667,13.363636362884616,2.538461538500001,0.048741743666224455,1.0,0.045897051142830304,0.015935623937586758,0.048584806409903175,0.7187960467963563,gre_physics_cot
34,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_32b,75.0,0.14666666666133335,0.12848484847466668,14.71900826371901,1.3636363639999995,0.051153812958729804,0.79052734375,0.048211349820089476,0.01696969696961905,0.05111071185882407,0.6636511982200982,gre_physics_cot
35,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_7b,75.0,0.14666666666133335,0.06787878787200001,13.016528925052894,5.9090909092000015,0.04810456929103586,0.266845703125,0.0433661668350789,0.018725867032526697,0.04723645331825589,0.5226456627361105,gre_physics_cot
36,deepseek_r1_distill_qwen_14b,google_codegemma_1.1_7b_it,75.0,0.14666666666133335,0.23384615384533333,20.776223775909088,-6.538461538799998,0.0607745908541962,0.26317596435546875,0.04869936407176214,0.034936885847082065,0.05993508199448867,0.3055184276155024,gre_physics_cot
37,deepseek_r1_distill_qwen_14b,google_gemma_2b_it,75.0,0.14666666666133335,0.171282051276,19.328671327792307,-1.8461538460999982,0.05861917976270195,0.6476058959960938,0.044524268000613564,0.038022610373282716,0.058550229210387605,0.09161790147021912,gre_physics_cot
38,deepseek_r1_distill_qwen_14b,google_gemma_3_1b_it,75.0,0.14666666666133335,0.17948717948266665,19.1048951043986,-2.4615384615999982,0.05827886234594434,0.6476058959960938,0.04536683905657495,0.036385618443660096,0.058155509760578934,0.1725249654700318,gre_physics_cot
39,deepseek_r1_distill_qwen_14b,google_gemma_7b_it,75.0,0.14666666666133335,0.244102564104,20.692307691994404,-7.3076923081999965,0.060651731043530686,0.11531829833984375,0.043929642217657175,0.04027698629572448,0.059599069543385876,0.3171632475578101,gre_physics_cot
40,deepseek_r1_distill_qwen_14b,llama-3.2-1B-instruct,75.0,0.14666666666133335,0.18666666666666668,20.2727272724,-3.0000000004,0.06003366059122351,0.5034446716308594,0.034454958553152656,0.04894448796078812,0.059855718779772416,0.055870782816900076,gre_physics_cot
41,deepseek_r1_distill_qwen_14b,mistralai_mistral_7b_instruct_v0.1,75.0,0.14666666666133335,0.19999999998800003,19.999999999136364,-3.9999999995000035,0.05962847939870696,0.359283447265625,0.0515970827956254,0.029246720781430414,0.05930960823918479,0.25260428210900093,gre_physics_cot
42,deepseek_r1_distill_qwen_14b,mistralai_mistral_7b_instruct_v0.2,75.0,0.14666666666133335,0.24,20.6727272724,-7.0000000003999965,0.06062302792745784,0.11531829833984375,0.047324292000450595,0.03632374916756253,0.059657383172009075,0.33231313822769637,gre_physics_cot
43,deepseek_r1_distill_qwen_14b,qwen1.5-0.5b-chat,75.0,0.14666666666133335,0.19487179486533332,21.2097902091056,-3.6153846153,0.06140545065796408,0.38331031799316406,0.05470166701260511,0.027338139501696366,0.06115264708393366,0.02832049212640054,gre_physics_cot
44,deepseek_r1_distill_qwen_14b,qwen1.5-1.8b-chat,75.0,0.14666666666133335,0.18303030302133336,19.074380164256198,-2.727272727000001,0.05823230132915916,0.6476058959960938,0.052779493470282705,0.024242424241800002,0.058080720244320545,0.33134103808233,gre_physics_cot
45,deepseek_r1_distill_qwen_14b,qwen2-0.5b-instruct,75.0,0.14666666666133335,0.181538461532,20.25174825096014,-2.6153846153,0.06000258994552395,0.5034446716308594,0.053692370636371466,0.026480676752124666,0.05986732753183493,0.08866596002084852,gre_physics_cot
46,deepseek_r1_distill_qwen_14b,qwen2-1.5b-instruct,75.0,0.14666666666133335,0.24307692306800002,21.440559439652446,-7.230769230499998,0.06173860228004654,0.18924713134765625,0.051716405915832785,0.03182979531985603,0.06072662110602822,0.31835217220001044,gre_physics_cot
47,deepseek_r1_distill_qwen_14b,qwen2.5-coder-0.5b-instruct,75.0,0.14666666666133335,0.182564102552,20.958041957093705,-2.6923076918,0.06103993877540792,0.8238029479980469,0.05400493245003765,0.02814533208293621,0.060899034860922775,-0.0708196019190317,gre_physics_cot
48,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_llama_70b,75.0,0.12848484847466668,0.18181818181333337,16.082644627482647,-4.000000000400001,0.05347089696894546,0.454498291015625,0.04872666967680502,0.02114054301425581,0.05311507221806321,0.6357668685798636,gre_physics_cot
49,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_llama_8b,75.0,0.12848484847466668,0.11282051281466667,13.468531467736364,1.1748251745000005,0.04893266387868376,1.0,0.04534958894283042,0.018290674076105018,0.04889922264660234,0.5677658425145198,gre_physics_cot
50,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_1.5b,75.0,0.12848484847466668,0.039999999992,10.98601398496084,6.6363636362000005,0.044193541981628115,0.109375,0.03984244212215483,0.01616337567294232,0.042996219687339035,0.5272837589356655,gre_physics_cot
