,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,1319.0,0.9264594389689158,0.8474050589329795,173.16363635809998,104.27272726739997,0.0099766228117256,1.1489247664502865e-15,0.008093466514733364,0.005412085673766689,0.00973626579163187,0.6765658706782277,gsm8k_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,1319.0,0.9264594389689158,0.8592873388931009,167.88,88.60000000000001,0.009823238415008652,2.911947426864309e-12,0.008580169431869664,0.004410880088151938,0.009647547389448046,0.7256362486398767,gsm8k_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,1319.0,0.9264594389689158,0.8641532841718725,161.98181817749997,82.18181817729999,0.009649134034778238,3.749812622644553e-11,0.007941191568819084,0.005205773927939704,0.009495399187053704,0.6647630796767361,gsm8k_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,1319.0,0.9264594389689158,0.9020301575275209,130.71111111023998,32.2222222212,0.008667851407996282,0.006328684510754321,0.006196548549927491,0.006023452319975342,0.008641712317742637,0.563115985564619,gsm8k_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,1319.0,0.9264594389689158,0.8758701495630024,160.43636363544,66.7272727264,0.00960299293657877,1.8769115180394494e-07,0.006740826965956272,0.00669614886415868,0.009501429250167408,0.5186319780675542,gsm8k_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,1319.0,0.9264594389689158,0.9213419257017438,115.61666666624001,6.749999999399996,0.008152023566847768,0.5760121204363972,0.0057350686169209695,0.0057917718397968625,0.008150805670917185,0.5522221610819403,gsm8k_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,1319.0,0.9264594389689158,0.9416913639811221,89.9818181813,-20.090909091100002,0.007191716956874934,0.03341672160209761,0.005235116357231326,0.004913089653052942,0.007179477224191667,0.6348370228312956,gsm8k_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,1319.0,0.9264594389689158,0.8344899982506444,211.67692307626,121.3076923074,0.011030417772072764,1.718253057939229e-17,0.007061455741425504,0.008086608607815984,0.010735799735656157,0.4253961919084311,gsm8k_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,1319.0,0.9264594389689158,0.9378316906747536,92.80000000000001,-15.000000000000007,0.007303469039449459,0.11737015883134433,0.0045589981435550896,0.005697205088182943,0.007296753380083254,0.5768138741215563,gsm8k_cot
9,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,1319.0,0.9264594389689158,0.8480253635707354,192.4181818133,103.4545454502,0.010516670272450016,7.824674896926337e-14,0.008319222821732213,0.006060265539184085,0.010292535487577987,0.5566873135220544,gsm8k_cot
