,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,403.0,0.749103942651861,0.6670426347875931,76.50505050282526,33.0707070693,0.021704011304050714,0.0003129786008370502,0.017862807610965096,0.011630751866654868,0.02131558783449446,0.8063119376937864,lsat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,403.0,0.749103942651861,0.7132616487466501,64.567901232521,14.444444443799998,0.01993899611963382,0.10342187831608088,0.016852171810864458,0.010506193634524933,0.01985889723597529,0.8400331694251301,lsat_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,403.0,0.749103942651861,0.6704714640198511,90.06666666618,31.6888888887,0.02354924558781785,0.0020602656809630745,0.01619377662734287,0.016642895452384454,0.023221205190413253,0.6336176882207384,lsat_cot
3,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,403.0,0.749103942651861,0.7518610421836228,67.9999999991,-1.111111111300005,0.020462062658016752,1.0,0.010875700536395144,0.01733194402072745,0.02046160173825538,0.6360223331722761,lsat_cot
4,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,403.0,0.749103942651861,0.6683961200084367,89.0505050494697,32.5252525253,0.02341602360964136,0.0013352623656219375,0.015807401556766555,0.016800983893959887,0.023068311680354184,0.6344012466728631,lsat_cot
5,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,403.0,0.749103942651861,0.6650124069478908,97.8888888885,33.88888888870001,0.024550574159845077,0.0010496073324912287,0.010875700536395144,0.02160793754529851,0.024190573104390618,0.4946584672391919,lsat_cot
6,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,403.0,0.749103942651861,0.674937965260546,87.4444444435,29.888888888699995,0.023203904282927693,0.002479419793816073,0.010875700536395144,0.020161626909779323,0.022907903915602653,0.5582188807409065,lsat_cot
7,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,403.0,0.749103942651861,0.7360421836228288,89.347222221625,5.263888888699995,0.02345500237949024,0.6718086491746103,0.013299299423154288,0.019309127963699563,0.023445975941837793,0.5192752494689389,lsat_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,403.0,0.749103942651861,0.6667848280759305,97.01587301597937,33.174603174099985,0.024440852603294306,0.0010496073324912287,0.016357378539658837,0.017691140835711622,0.024094403847339217,0.5842826680544535,lsat_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,403.0,0.749103942651861,0.7042183622828785,85.35555555474001,18.088888888699998,0.022925079508071315,0.08205429958748713,0.017132351157633462,0.015067930204655017,0.02281578350267243,0.6708456731167372,lsat_cot
10,deepseek_r1_distill_llama_70b,qwen3-14b,403.0,0.749103942651861,0.7701330927136476,68.87878787745555,-8.474747474899996,0.020593857427907262,0.39612484029702977,0.01569756816799341,0.01328894218845125,0.020567197934497537,0.733271266068804,lsat_cot
11,deepseek_r1_distill_llama_70b,qwen3-32b,403.0,0.749103942651861,0.8007444168734491,67.29999999946,-20.811111111300004,0.020356470771127944,0.013933875024287785,0.016184268186864213,0.01207634664112973,0.020193283163989714,0.766911655247477,lsat_cot
12,deepseek_r1_distill_llama_70b,qwen3-4b,403.0,0.749103942651861,0.6997518610429281,93.72222222044445,19.888888888400004,0.02402239161508665,0.06138589870445953,0.017251436370736062,0.016535401423036243,0.023896266592807,0.603818538724328,lsat_cot
13,deepseek_r1_distill_llama_70b,qwen3-8b,403.0,0.749103942651861,0.7223099481168734,82.9191919180202,10.797979797599993,0.022595527492577677,0.3202933636380142,0.017277779288234284,0.014500164514119538,0.022556072975353426,0.684819145513064,lsat_cot
14,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,403.0,0.4509925558317618,0.44101060230074446,137.17424242251366,4.022727273000001,0.029062384151256008,0.8644049750099483,0.02498677294780925,0.01483361405896292,0.029058130160002284,0.634763881811209,lsat_cot
15,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,403.0,0.4509925558317618,0.4746221520387097,142.73484848273182,-9.522727271400015,0.029645580787243685,0.45020799234923226,0.02295742572749263,0.018719817331157407,0.02962220378272423,0.5119395071344492,lsat_cot
16,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,403.0,0.4509925558317618,0.4863523573198511,134.17307692073206,-14.249999999700009,0.028742705396359477,0.1948566595070752,0.023123747973194175,0.016980367286102544,0.028688684067045375,0.5966259732451148,lsat_cot
17,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,403.0,0.4509925558317618,0.5359801488833746,132.4166666658,-34.249999999799996,0.02855395557113876,0.003905121708027013,0.018011453028352796,0.021748405279057127,0.02823837056869038,0.5131052032616401,lsat_cot
18,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,403.0,0.4509925558317618,0.46898263027295284,133.7499999992,-7.2499999998000035,0.028697353613364243,0.6030463891288803,0.018011453028352796,0.022323140021075487,0.0286833579030263,0.4838189080170122,lsat_cot
19,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,403.0,0.4509925558317618,0.4944732686645162,138.8409090894197,-17.522727271600004,0.02923840504577869,0.1475918641688608,0.023806197614133353,0.01683621210832169,0.029158070632323507,0.5806723470515079,lsat_cot
20,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,403.0,0.4509925558317618,0.5099255583133996,136.31944444275555,-23.75000000010001,0.028971691871190888,0.04818269594614997,0.024281756162188507,0.015528590935397176,0.02882257481140224,0.6292768248156835,lsat_cot
21,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.1,403.0,0.4509925558317618,0.37401308368461533,146.62878787592882,31.0227272753,0.03004723932084707,0.01609891910209909,0.02520374143658872,0.015902946045864806,0.029801548203744487,0.5488272611627152,lsat_cot
22,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,403.0,0.4509925558317618,0.47575005639478907,137.71969696996365,-9.977272726900011,0.02912010811617325,0.3929875546202088,0.019272565423737124,0.021795136867138083,0.029093981664074606,0.47494782160437876,lsat_cot
23,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,403.0,0.4509925558317618,0.47958493119478907,131.2803030290697,-11.522727271299999,0.02843117045577178,0.294406156523514,0.021121872467640662,0.018978128505961818,0.028395472493481726,0.562581345992784,lsat_cot
24,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,403.0,0.4509925558317618,0.5053763440856079,136.88888888772777,-21.91666666629999,0.029032140239387615,0.07135326795326226,0.021470553023109275,0.01935307652070627,0.02890547038078535,0.5328710298104795,lsat_cot
25,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,403.0,0.4509925558317618,0.43755169561513646,152.23611111005556,5.416666667299992,0.030616376824304764,0.8078463096035285,0.023217720792133422,0.019946219976621722,0.03060905503502596,0.4251481696168025,lsat_cot
26,deepseek_r1_distill_llama_8b,qwen2.5-coder-3b-instruct,403.0,0.4509925558317618,0.4019851116610422,149.27777777692222,19.750000000800014,0.030317440542694352,0.14005540740614844,0.025713463941068986,0.015874676262887508,0.03021899360170916,0.5423915275513584,lsat_cot
27,deepseek_r1_distill_llama_8b,qwen3-0.6b,403.0,0.4509925558317618,0.37049055163126543,159.30128204965513,32.4423076928,0.03131876220684793,0.017077471627514162,0.022406765289914116,0.021510948605358276,0.03106097295095028,0.3347660604601756,lsat_cot
