,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.8114,0.7885000000024,83.84999999906,11.449999998800003,0.01831392912501957,0.272268945972048,0.016445161395626375,0.007994238341972288,0.018285272215541663,0.8269798312693022,math500_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,500.0,0.8114,0.839,73.66,-13.799999999999997,0.017165080832900265,0.10064367752023572,0.015499677415998048,0.007271621552308673,0.017120644847668565,0.8454399556928418,math500_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,500.0,0.8114,0.7706666666701999,86.23333333214,20.366666664900002,0.018572380927833674,0.03985362856053515,0.016442627527156358,0.008441263201881979,0.018482827825856276,0.8187078111305234,math500_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.8114,0.7895000000027999,93.31666666556,10.9499999986,0.019320110420549878,0.29973169689703033,0.014948021050587264,0.012200988211357525,0.019295270059330225,0.64630268320022,math500_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,500.0,0.8114,0.8534545454558,83.15454545392,-21.027272727899998,0.018237822836503267,0.027534178012294533,0.014177027162605221,0.011317813969996407,0.018140590184133814,0.6395599433011097,math500_cot
5,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,500.0,0.8114,0.803714285712,89.15714285822,3.842857143999993,0.018884612027597496,0.8322577540225792,0.014611736965615789,0.011958577418418279,0.018881483814166895,0.6534809701378628,math500_cot
6,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.8114,0.7134545454558,108.40909090794,48.9727272721,0.020823937274966998,4.314751521794875e-06,0.016072038240855267,0.012495572267187529,0.02035803869482569,0.672215456744635,math500_cot
7,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,500.0,0.8114,0.7607999999999999,95.96000000000001,25.300000000000004,0.019591835034013533,0.013378703026003939,0.01567545852598896,0.011532531378669646,0.019460711189470955,0.6937335974730182,math500_cot
8,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.8114,0.8096363636375999,85.46363636281998,0.8818181811999963,0.01848930895007382,1.0,0.015072157023790316,0.010708800459204136,0.018489140721646383,0.7051081767372102,math500_cot
9,deepseek_r1_distill_llama_70b,qwen3-32b,500.0,0.8114,0.8191111111124,83.34444444394,-3.855555556199988,0.018258635704119845,0.6608836477612154,0.015029666137079331,0.010361852687358343,0.018255378804795712,0.7152635801544469,math500_cot
10,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.8114,0.7723333333337999,94.4999999991,19.53333333310001,0.019442222095131,0.049450065253179916,0.01549817193510039,0.011608370160261547,0.019363563491970794,0.6830283767142789,math500_cot
