,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,5000.0,0.73562222222496,0.69103333333562,1304.1851851578872,222.9444444466999,0.007222700838766306,8.54615218810577e-10,0.00639604430211102,0.0032955107175173105,0.007195121514181557,0.7384952169687728,math_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,5000.0,0.73562222222496,0.7184166666695,1273.916666637739,86.02777777729989,0.007138393843541386,0.018521762234453537,0.006384851381119041,0.0031829441211145104,0.007134245610932887,0.7499607667760256,math_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,5000.0,0.73562222222496,0.80130909091086,1254.6161615976132,-328.43434342950013,0.007084112256585473,1.5837517520277927e-20,0.00506819044943762,0.004861598408813925,0.007022940518070247,0.4754218882408188,math_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,5000.0,0.73562222222496,0.72024615384762,1461.9401709233753,76.88034188670008,0.007647065243407762,0.04673815894264963,0.005254931068211485,0.005551218029363626,0.007643972929124363,0.4052926629757757,math_cot
4,deepseek_r1_distill_llama_70b,qwen3-1.7b,5000.0,0.73562222222496,0.63866666666738,1700.4074073977981,484.77777778790005,0.008247199300120734,4.1387683993245803e-32,0.005680076725152631,0.005820047142557826,0.008132417865875815,0.36167802570238256,math_cot
5,deepseek_r1_distill_llama_70b,qwen3-14b,5000.0,0.73562222222496,0.8284799999999999,1207.5999999868,-464.2888888752,0.006950107912793297,1.0604236275532249e-41,0.0050151198549581106,0.004629045199737543,0.006824916601747473,0.49345177281398606,math_cot
6,deepseek_r1_distill_llama_70b,qwen3-32b,5000.0,0.73562222222496,0.7685800000000002,1415.2555555446002,-164.7888888752001,0.007523976489980814,1.2745066544296682e-05,0.005734930440693685,0.004848046208424085,0.007509525897059693,0.4367900547862635,math_cot
7,deepseek_r1_distill_llama_70b,qwen3-4b,5000.0,0.73562222222496,0.78568333333422,1330.3240740590147,-250.30555554629996,0.007294721582237433,7.517694408509692e-12,0.005177965542493795,0.005089244819618015,0.007260285117904245,0.4340231619364797,math_cot
8,deepseek_r1_distill_llama_70b,qwen3-8b,5000.0,0.73562222222496,0.78188,1362.35555554438,-231.2888888752001,0.0073820201992256295,3.517948448578016e-10,0.00528940707070226,0.0051076842757988815,0.007352976663966655,0.42064356921718865,math_cot
9,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,5000.0,0.69103333333562,0.73562222222496,1304.1851851578872,-222.9444444466999,0.007222700838766306,6.007791505656001e-10,0.00639604430211102,0.0032955107175173105,0.007195121514181557,0.7384952169687728,math_cot
10,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,5000.0,0.69103333333562,0.625833333334,1655.4166666509332,326.0000000081001,0.008137362389990833,1.3531293717402304e-15,0.007346352080314722,0.003376028699233856,0.008084952607529316,0.6795448901523047,math_cot
11,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,5000.0,0.69103333333562,0.61338181818698,1657.9696969301485,388.25757574319994,0.008143634807455818,1.0121970341888078e-21,0.00725513908597316,0.003532108882723549,0.008069252525248547,0.6679558057133659,math_cot
12,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,5000.0,0.69103333333562,0.7184166666695,1440.7916666453666,-136.9166666694,0.007591552322536852,0.00030292065966647084,0.007034774733732023,0.0028273029060511623,0.007581668502178118,0.764089445441586,math_cot
13,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,5000.0,0.69103333333562,0.72024615384762,1426.5384615183962,-146.06410255999992,0.007553908819990869,0.00012159279611323291,0.006027937369202754,0.0045337436801446505,0.007542603044326446,0.575404731294015,math_cot
14,deepseek_r1_distill_llama_8b,llama-3.1-70B-instruct,5000.0,0.69103333333562,0.6292166666664001,1682.5277777692722,309.08333334610006,0.008203725440967103,6.085069903731283e-14,0.005014949872298936,0.0064332828970503925,0.008157012385374451,0.3964729916909866,math_cot
15,deepseek_r1_distill_llama_8b,qwen2-72b-instruct,5000.0,0.69103333333562,0.59312,1730.43333332468,489.56666667809986,0.008319695507227845,2.5204201109241766e-32,0.0066739759929873715,0.004770531795202394,0.008203653403454388,0.5237685418386734,math_cot
16,deepseek_r1_distill_llama_8b,qwen3-1.7b,5000.0,0.69103333333562,0.63866666666738,1606.3194444301057,261.83333334120005,0.008015783042049243,6.713077288187559e-11,0.006401952826989382,0.004766479227125445,0.007981498870614197,0.5430319759911211,math_cot
17,deepseek_r1_distill_llama_8b,qwen3-32b,5000.0,0.69103333333562,0.7685800000000002,1446.3833333211799,-387.7333333219001,0.007606269343958784,1.3268893616995839e-24,0.006450670938357635,0.0038783347812848916,0.007526794552177965,0.5899118672880936,math_cot
18,deepseek_r1_distill_llama_8b,qwen3-4b,5000.0,0.69103333333562,0.78568333333422,1352.9305555385945,-473.249999993,0.007356440866447836,1.2163986276249543e-38,0.005960960958992248,0.004097858241443572,0.007233636548901028,0.5934726938208892,math_cot
19,deepseek_r1_distill_llama_8b,qwen3-8b,5000.0,0.69103333333562,0.78188,1362.6666666535798,-454.2333333219,0.0073828630399150165,2.894496422022133e-35,0.006058015810062877,0.004019513371338081,0.0072702161795463426,0.6007251248154362,math_cot
20,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_8b,5000.0,0.625833333334,0.69103333333562,1655.4166666509332,-326.0000000081001,0.008137362389990833,9.035060791292325e-16,0.007346352080314722,0.003376028699233856,0.008084952607529316,0.6795448901523046,math_cot
21,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_14b,5000.0,0.625833333334,0.61338181818698,1958.7878787666195,62.25757573509998,0.008851639122256668,0.16801630071378992,0.007548166726750035,0.0046201391937859574,0.008849887406333115,0.42810687845591266,math_cot
22,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,5000.0,0.625833333334,0.58017777778104,2038.5185185046093,228.2777777647999,0.009029991181622735,4.819934240776882e-07,0.007443930330390444,0.005070676091598407,0.009006878193337273,0.36194605092236837,math_cot
23,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_7b,5000.0,0.625833333334,0.7184166666695,1721.611111097839,-462.9166666775001,0.008298460365869897,3.866761288894726e-29,0.0073366091167756334,0.003650243332882859,0.008194517052371732,0.6028243122792595,math_cot
24,deepseek_r1_distill_qwen_1.5b,google_gemma_3_4b_it,5000.0,0.625833333334,0.72024615384762,1455.7435897281193,-472.0641025681,0.00763084160424817,8.887628157736043e-36,0.006377601955675182,0.0039715463926064684,0.0075131210195003096,0.6801753798716746,math_cot
25,deepseek_r1_distill_qwen_1.5b,llama-3.1-70B-instruct,5000.0,0.625833333334,0.6292166666664001,1616.5833333288165,-16.91666666200001,0.008041351461859672,0.6723880115336357,0.005430239405373579,0.005930728786969866,0.008041209109596954,0.5037352367429836,math_cot
26,deepseek_r1_distill_qwen_1.5b,qwen2-72b-instruct,5000.0,0.625833333334,0.59312,1650.7833333265198,163.56666667000002,0.008125966609152465,5.9230872003626554e-05,0.00699140424614202,0.0041155276167854655,0.008112786259818296,0.6517842603613814,math_cot
27,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-32b-instruct,5000.0,0.625833333334,0.55148,1822.1666666613,371.76666666999984,0.00853736883743768,4.1596718347607575e-18,0.007183017007704539,0.004492799761607894,0.008472365846142187,0.5609008552876803,math_cot
28,deepseek_r1_distill_qwen_1.5b,qwen3-1.7b,5000.0,0.625833333334,0.63866666666738,1515.3333333204998,-64.16666666690003,0.00778545652693662,0.10008821703207686,0.0067322193797438165,0.0039060999304847094,0.007783340827943414,0.70375231584317,math_cot
29,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_8b,5000.0,0.61338181818698,0.69103333333562,1657.9696969301485,-388.25757574319994,0.008143634807455818,1.0121970341888078e-21,0.00725513908597316,0.003532108882723549,0.008069252525248547,0.6679558057133658,math_cot
30,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_1.5b,5000.0,0.61338181818698,0.625833333334,1958.7878787666195,-62.25757573509998,0.008851639122256668,0.16801630071378992,0.007548166726750035,0.0046201391937859574,0.008849887406333115,0.4281068784559127,math_cot
31,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_32b,5000.0,0.61338181818698,0.58017777778104,1587.393939337308,166.02020202970016,0.007968422527294365,3.7851207132439815e-05,0.007353927728267241,0.003032326315068791,0.00795457452750532,0.7831965164345902,math_cot
32,deepseek_r1_distill_qwen_14b,google_gemma_2_27b_it,5000.0,0.61338181818698,0.5194285714285999,2065.844155837017,469.76623379190005,0.00909031166866575,4.489280674017203e-25,0.006447358092924378,0.006268963019494931,0.008992681675573336,0.30947922317838056,math_cot
33,deepseek_r1_distill_qwen_14b,llama-3.1-70B-instruct,5000.0,0.61338181818698,0.6292166666664001,1971.6136363502394,-79.17424239709976,0.008880571234667824,0.07890549667834142,0.00530619018397786,0.007117495535663745,0.00887774729133108,0.2534136767183179,math_cot
34,deepseek_r1_distill_qwen_14b,qwen2-72b-instruct,5000.0,0.61338181818698,0.59312,1975.32727271228,101.30909093490004,0.00888893080794823,0.02441329856696686,0.006895497632647239,0.00560206167865002,0.008884311039874885,0.35432903138666877,math_cot
35,deepseek_r1_distill_qwen_14b,qwen2.5-coder-32b-instruct,5000.0,0.61338181818698,0.55148,1801.4909090689598,309.5090909349001,0.008488794753247271,3.460305559699507e-13,0.007089702927615774,0.00458578038527184,0.008443534173779816,0.5561492202033952,math_cot
36,deepseek_r1_distill_qwen_14b,qwen3-1.7b,5000.0,0.61338181818698,0.63866666666738,1979.3484848285984,-126.42424240199989,0.008897973892586106,0.004608548422339994,0.006632566022729757,0.0059207383521600885,0.008890785942795416,0.2997698191961827,math_cot
37,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_1.5b,5000.0,0.58017777778104,0.625833333334,2038.5185185046093,-228.2777777647999,0.009029991181622735,4.819934240776882e-07,0.007443930330390444,0.005070676091598407,0.009006878193337273,0.36194605092236837,math_cot
38,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_14b,5000.0,0.58017777778104,0.61338181818698,1587.393939337308,-166.02020202970016,0.007968422527294365,3.0385537302164923e-05,0.007353927728267241,0.003032326315068791,0.00795457452750532,0.7831965164345902,math_cot
39,deepseek_r1_distill_qwen_32b,google_gemma_2_27b_it,5000.0,0.58017777778104,0.5194285714285999,2031.8095238012002,303.7460317621999,0.009015119575027722,1.9019280170512078e-11,0.0063250062614425865,0.0063662063688094345,0.008974089799949505,0.31759647220646525,math_cot
40,deepseek_r1_distill_qwen_32b,llama-3.1-70B-instruct,5000.0,0.58017777778104,0.6292166666664001,1997.4722222100777,-245.19444442680003,0.008938617839934937,4.5848330342792825e-08,0.005156833534004511,0.007268080507695791,0.008911673600608416,0.2473686866325433,math_cot
