,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.663272727273,0.570545454547,102.69421487353058,46.363636363,0.020267630830813017,5.907834472853354e-06,0.016026836996676015,0.011692761058094671,0.019838854938723612,0.7989861539448314,mbpp
1,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.663272727273,0.6930909090903999,89.80165289155619,-14.909090908699994,0.0189527468079491,0.137367971355652,0.012248123485536958,0.014401799704046427,0.01890577593309605,0.7134826294454734,mbpp
2,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.663272727273,0.5995384615394,101.83916083775384,31.8671328668,0.020183078143608705,0.002653786057228506,0.012729147636800922,0.01540134184200645,0.019980804040223534,0.6932172070330602,mbpp
3,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,500.0,0.663272727273,0.638727272729,91.47933884084298,12.272727272000004,0.01912896639558374,0.29446978456853373,0.015113892683666084,0.011674015788598778,0.019097444768497923,0.7996006704546614,mbpp
4,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.663272727273,0.7213333333352,123.49999999883485,-29.030303031099983,0.022226110770788024,0.011275812317410648,0.015086283822913079,0.016114030298383784,0.022073919725384514,0.5855240194286102,mbpp
5,deepseek_r1_distill_llama_70b,qwen2.5-coder-7b-instruct,500.0,0.663272727273,0.6484000000000001,126.65454545431999,7.436363636499998,0.022508180331099182,0.5330527502675584,0.016423707919114978,0.015376527695543162,0.022498350734758445,0.6289631031660533,mbpp
6,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.663272727273,0.7218333333338,84.93181818015758,-29.280303030399992,0.018431692074267904,0.0014044946311139559,0.01211341605315363,0.013643083781880618,0.018244686447188234,0.7347781661746584,mbpp
7,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.663272727273,0.641333333333,96.8030303021894,10.969696970000001,0.019677706197846274,0.3583976321916263,0.012831660654126833,0.014886165794225921,0.01965322994308693,0.7031354353336103,mbpp
8,deepseek_r1_distill_llama_70b,qwen3-8b,500.0,0.663272727273,0.6611666666674,95.9621212104,1.0530303028000034,0.019592051573064012,1.0,0.013125943929197794,0.014544731342537979,0.019591825179371396,0.7079018083131914,mbpp
9,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,500.0,0.39499999999979996,0.39163636363660004,125.80303030092878,1.6818181816000006,0.02243239000204203,1.0,0.018671954189698827,0.012431718298060647,0.022431885634171454,0.745623191886748,mbpp
10,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,500.0,0.39499999999979996,0.44509090909180005,128.42424242203182,-25.04545454600001,0.022664884065181697,0.02673517285597541,0.01792584971875573,0.013687318334918144,0.02255390811679433,0.7123123705842579,mbpp
11,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,500.0,0.39499999999979996,0.32,132.6666666661,37.4999999999,0.023036203390845465,0.001195106352671871,0.012714820748276397,0.01891428031947449,0.022790714483413195,0.5306273011227461,mbpp
12,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,500.0,0.39499999999979996,0.488,124.6666666661,-46.5000000001,0.022330845632541552,4.410029455394906e-05,0.012714820748276397,0.017880212526799718,0.02194011546606639,0.624180796125351,mbpp
13,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,500.0,0.39499999999979996,0.4870909090912,128.28787878587877,-46.0454545457,0.022652847837380516,5.877404617853744e-05,0.0182692594323119,0.012744575468168283,0.02227532365800673,0.7478449504048585,mbpp
14,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.1,500.0,0.39499999999979996,0.3052727272702,125.86363636175152,44.8636363648,0.022437792793566086,7.028919966641757e-05,0.018134863611892257,0.012588856194352531,0.02207606347390816,0.7274436596439859,mbpp
15,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,500.0,0.39499999999979996,0.36379999999999996,120.84999999940001,15.599999999900007,0.021986359407541758,0.1706452131303514,0.01733512811203886,0.01345163385380471,0.021942040014493295,0.7174752694101555,mbpp
16,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,500.0,0.39499999999979996,0.39236363636320004,112.28787878602878,1.3181818182999976,0.021193195019725438,1.0,0.01711257491940545,0.012501895614081967,0.021192867062237386,0.7646324437472626,mbpp
17,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,500.0,0.39499999999979996,0.40183333333320004,120.02777777600556,-3.416666666699996,0.021911437905897967,0.7843281773322767,0.017069303181452822,0.013735232473998245,0.021909306748848344,0.7182646978926861,mbpp
18,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,500.0,0.39499999999979996,0.3483333333338,119.83333333195,23.333333333000013,0.021893682498104333,0.04326826257460883,0.017164239310299256,0.01343006577315043,0.02179398489887448,0.7170179620119415,mbpp
19,deepseek_r1_distill_llama_8b,qwen2.5-coder-0.5b-instruct,500.0,0.39499999999979996,0.318615384614,126.08974358744487,38.19230769290001,0.02245793789175176,0.0009052774630786406,0.01815020606658889,0.012777314864824538,0.02219661585500155,0.7224794150807581,mbpp
20,deepseek_r1_distill_llama_8b,qwen2.5-coder-1.5b-instruct,500.0,0.39499999999979996,0.4370909090908,131.72727272402273,-21.045454545500007,0.02295450044971772,0.08016994071057776,0.018905958364801904,0.01288140287190235,0.02287718954854108,0.7295246689777113,mbpp
21,deepseek_r1_distill_llama_8b,qwen3-1.7b,500.0,0.39499999999979996,0.4811666666666,128.79166666585002,-43.083333333400006,0.02269728324411096,0.00012535822987511485,0.01588587772530964,0.01574662397693475,0.022367773196598384,0.6633355568646304,mbpp
