,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,2750.0,0.866909090909091,0.8031454545454546,429.26,175.34999999999994,0.007534032976604362,1.5724568729119092e-17,0.005836306994910649,0.004606593138709431,0.007435265945778117,0.6886093610606345,mgsm_cot
1,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,2750.0,0.866909090909091,0.8393818181818182,418.32000000000005,75.70000000000002,0.007437408239589518,0.00023545043113567488,0.005435421018917722,0.00504932608814312,0.007418860801854638,0.5910701972141015,mgsm_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,2750.0,0.866909090909091,0.7903140495884001,504.19999999474,210.63636363189997,0.008165235720998492,3.3744007034888054e-21,0.0057835894067729465,0.005575642205709622,0.008033535487705688,0.5635938818119215,mgsm_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,2750.0,0.866909090909091,0.8627768595051636,363.98181817911,11.363636360800001,0.006937566374258172,0.5997388497769723,0.005173078952635742,0.0046219987163355295,0.00693711885324233,0.6361644838379565,mgsm_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,2750.0,0.866909090909091,0.8922545454545454,317.53000000000003,-69.7,0.006479771447862102,7.920152118934873e-05,0.004779086672313822,0.004349042593501489,0.006461721202711996,0.6504419232807294,mgsm_cot
5,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,2750.0,0.866909090909091,0.8607272727272727,383.9,17.0,0.007124860445204268,0.4136415139402001,0.0039526954920525515,0.005926713962406682,0.007123885179105491,0.5135381345385259,mgsm_cot
6,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,2750.0,0.866909090909091,0.8059636363636364,440.72499999999997,167.59999999999997,0.007633982312686689,7.582604472917025e-16,0.005674941292884531,0.004972127825836117,0.00754499925739822,0.6431692505304347,mgsm_cot
7,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,2750.0,0.866909090909091,0.7904,493.4599999999999,210.39999999999995,0.008077803481820356,1.8184486566045333e-21,0.005885856419003437,0.005336572550009759,0.00794495515195911,0.5930203163951937,mgsm_cot
8,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,2750.0,0.866909090909091,0.7943272727272725,469.07000000000005,199.60000000000002,0.007875645060816729,1.5952404883108484e-20,0.005744533873299695,0.00520676824741307,0.007753070682236593,0.6200098247573341,mgsm_cot
9,deepseek_r1_distill_llama_70b,qwen3-14b,2750.0,0.866909090909091,0.8438347107446544,380.07272727039003,63.454545452199994,0.00708925600563557,0.0017166469908999429,0.005327829901844377,0.004655982111757758,0.007075587670857828,0.654219682423503,mgsm_cot
10,deepseek_r1_distill_llama_70b,qwen3-32b,2750.0,0.866909090909091,0.8944207792210181,314.95333333271,-75.65714285780001,0.00645342713315979,2.1196734371428843e-05,0.005096268198505458,0.003924224559831864,0.006432067159715114,0.6947356223089651,mgsm_cot
11,deepseek_r1_distill_llama_70b,qwen3-8b,2750.0,0.866909090909091,0.8045950413231636,441.25454545147,171.3636363613,0.007638567175161227,2.410290926836059e-16,0.00555438356897403,0.0051073003466214125,0.007545574442140762,0.6347730516881971,mgsm_cot
12,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,2750.0,0.4476363636366546,0.4023115364163272,830.1033138242217,124.64327485590007,0.010476914023119163,1.8956812054241968e-05,0.008872557613476975,0.0055042180307203715,0.010441201785914084,0.6946791921907033,mgsm_cot
13,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,2750.0,0.4476363636366546,0.41474125874087275,885.8076922943447,90.46153846339996,0.010822735129129108,0.002464650928372163,0.008683431411448499,0.006429317854902754,0.01080454113586976,0.5980677344623433,mgsm_cot
14,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,2750.0,0.4476363636366546,0.5105454545454545,882.3333333276,-172.9999999992001,0.010801489541159674,5.1086009159801515e-09,0.0060823851103714195,0.008845205324561518,0.01073466654649875,0.4726327153651367,mgsm_cot
15,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,2750.0,0.4476363636366546,0.4525090909090909,871.0333333291001,-13.399999999200134,0.01073209958171965,0.635259856950845,0.008818446314840696,0.0061159081120254815,0.010731697323465033,0.6345301782857098,mgsm_cot
16,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,2750.0,0.4476363636366546,0.46750413223160003,778.6515151351364,-54.63636363610004,0.01014702832456489,0.057344725059968744,0.008693844765298548,0.005218784291251746,0.01013995297236259,0.7402838298021078,mgsm_cot
17,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,2750.0,0.4476363636366546,0.5075454545451636,734.6388888785777,-164.74999999840003,0.009856080986563383,9.61440273434856e-10,0.008348966053233752,0.005111943982818145,0.009789647871170863,0.7656378063172297,mgsm_cot
18,deepseek_r1_distill_llama_8b,qwen2.5-coder-3b-instruct,2750.0,0.4476363636366546,0.4020303030291636,742.4861111001389,125.41666667060002,0.009908581211913046,6.028024092580686e-06,0.008805468290057496,0.004459526646589023,0.009870341925123243,0.8021868997398528,mgsm_cot
19,deepseek_r1_distill_llama_8b,qwen3-1.7b,2750.0,0.4476363636366546,0.5464545454547637,770.2222222152946,-271.74999999979997,0.010091955537650927,5.57946612115819e-23,0.007995464738245838,0.005862524122035658,0.009914466473894728,0.7067650719453735,mgsm_cot
20,deepseek_r1_distill_qwen_1.5b,deepseek_v2_lite_chat,2750.0,0.3336969696957455,0.4023115364163272,767.6656919903238,-188.69005848159998,0.010075192950532314,8.960780605160126e-12,0.008554721034281194,0.005158902597469027,0.009989871269668384,0.7207079179970666,mgsm_cot
21,deepseek_r1_distill_qwen_1.5b,google_codegemma_1.1_7b_it,2750.0,0.3336969696957455,0.41474125874087275,869.0897435771938,-222.87179487410003,0.010720119301033417,3.673863783038838e-14,0.00835840621453847,0.0065321953016325394,0.01060813508143187,0.5701075199647408,mgsm_cot
22,deepseek_r1_distill_qwen_1.5b,google_gemma_3_1b_it,2750.0,0.3336969696957455,0.2637878787861819,742.6805555471444,192.2500000012999,0.00990987857117786,1.780218127059407e-12,0.007784104733317447,0.00598633558266718,0.009819801434222706,0.6079813777609988,mgsm_cot
23,deepseek_r1_distill_qwen_1.5b,mistralai_mistral_7b_instruct_v0.2,2750.0,0.3336969696957455,0.24635704874672726,801.0839371905287,240.18478260979998,0.010292154998081438,2.4051043875650465e-17,0.008227162669104334,0.0059555298288183275,0.01015650240613612,0.5750614058676908,mgsm_cot
24,deepseek_r1_distill_qwen_1.5b,mistralai_mistral_7b_instruct_v0.3,2750.0,0.3336969696957455,0.29095388669163635,764.4420289752934,117.54347826129992,0.010054016287079769,3.0726102501823954e-05,0.008359445930815656,0.005526169929264658,0.01002092263004457,0.6521257538837711,mgsm_cot
25,deepseek_r1_distill_qwen_1.5b,qwen1.5-7b-chat,2750.0,0.3336969696957455,0.3193388429737091,708.0151515006014,39.48484848559991,0.009675837855966561,0.16431707510493876,0.008249278980914059,0.005049383008197333,0.0096719632168667,0.7244670129542243,mgsm_cot
26,deepseek_r1_distill_qwen_1.5b,qwen2-math-1.5b-instruct,2750.0,0.3336969696957455,0.31206060605934544,581.9861110982056,59.500000000100044,0.00877250483824049,0.016044392822011762,0.007555123414295226,0.004439225318610354,0.00876279699836891,0.8068489962502199,mgsm_cot
27,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-3b-instruct,2750.0,0.3336969696957455,0.4020303030291636,732.9861111004722,-187.9166666668999,0.009844987724015345,3.667981441327945e-12,0.008485119043190435,0.00481960146805894,0.009758370944375337,0.7589834478254969,mgsm_cot
28,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_32b,2750.0,0.7462252964438182,0.8031454545454546,405.01811593695,-156.5304347795,0.007318204322377143,4.113962237088676e-15,0.006294994855888998,0.003570855249720678,0.007237262427888508,0.857222901311149,mgsm_cot
29,deepseek_r1_distill_qwen_14b,google_gemma_2_27b_it,2750.0,0.7462252964438182,0.8393818181818182,618.3942028957,-256.18043477950005,0.009042739312133242,2.198677642221234e-25,0.0059252242615548765,0.0065959961596755885,0.00886653528094112,0.4799902456795812,mgsm_cot
30,deepseek_r1_distill_qwen_14b,google_gemma_2_9b_it,2750.0,0.7462252964438182,0.7903140495884001,646.5141633657948,-121.24407114760004,0.009246051922174302,1.8046117974421486e-06,0.0062461497999137215,0.006765223267531291,0.009207748540360394,0.49291629389523217,mgsm_cot
31,deepseek_r1_distill_qwen_14b,google_gemma_3_4b_it,2750.0,0.7462252964438182,0.7180979020994909,693.6084169360574,77.35033444689998,0.009576889654925504,0.0038578325244025785,0.0068295268346801235,0.0066922856823539096,0.009561857792283624,0.5326639496415536,mgsm_cot
32,deepseek_r1_distill_qwen_14b,mistralai_mixtral_8x22b_instruct_v0.1,2750.0,0.7462252964438182,0.7168323232342546,575.8702898435566,80.8306763263,0.008726290019244975,0.000834282021412279,0.006953108331056373,0.005242924712114111,0.008708270494208501,0.7086346014545847,mgsm_cot
33,deepseek_r1_distill_qwen_14b,qwen1.5-72b-chat,2750.0,0.7462252964438182,0.6529090909090909,604.50289854766,256.6195652205,0.008940596600705685,5.693554496497242e-26,0.007138732779017183,0.005079985002555659,0.00876172091066617,0.7436399309254695,mgsm_cot
34,deepseek_r1_distill_qwen_14b,qwen2-72b-instruct,2750.0,0.7462252964438182,0.8059636363636364,467.71739129999,-164.28043477949998,0.007864281771096791,1.729490721423407e-14,0.006145684630251696,0.004772817856286159,0.007781338565041101,0.7436524530885457,mgsm_cot
35,deepseek_r1_distill_qwen_14b,qwen2-math-72b-instruct,2750.0,0.7462252964438182,0.7904,489.76521738708004,-121.48043477950003,0.008047505377133076,4.939189442296623e-08,0.00634096102195479,0.004883129580563233,0.00800329564507782,0.7337063291095067,mgsm_cot
36,deepseek_r1_distill_qwen_14b,qwen2.5-coder-14b-instruct,2750.0,0.7462252964438182,0.6879008264479636,543.894927522803,160.39229248860002,0.00848056545380309,4.630153310593723e-12,0.007029797171649843,0.004611392891105636,0.00840731780478624,0.7821248978772882,mgsm_cot
37,deepseek_r1_distill_qwen_14b,qwen2.5-coder-32b-instruct,2750.0,0.7462252964438182,0.7943272727272725,458.07536231433005,-132.28043477949998,0.0077827982587099845,3.885064540072874e-10,0.006210004051392685,0.00460069739874121,0.007728555290162433,0.7655644318059764,mgsm_cot
38,deepseek_r1_distill_qwen_14b,qwen3-14b,2750.0,0.7462252964438182,0.8438347107446544,494.1215414970726,-268.42588932730007,0.00808321629380938,1.6363621215134528e-35,0.005826684508347182,0.005284274055061933,0.007865990379400025,0.6705900714254115,mgsm_cot
39,deepseek_r1_distill_qwen_14b,qwen3-4b,2750.0,0.7462252964438182,0.7443030303029091,486.1793478194326,5.286231887500037,0.008017990909452143,0.8917740122281725,0.0061333542711341235,0.005164184343485709,0.008017907117742267,0.7354577146224606,mgsm_cot
40,deepseek_r1_distill_qwen_14b,qwen3-8b,2750.0,0.7462252964438182,0.8045950413231636,489.8488142223191,-160.5167984182,0.008048192152400411,2.848849599717798e-13,0.006034538733665951,0.005207573354462399,0.007970851771938894,0.6988284328415556,mgsm_cot
41,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_llama_70b,2750.0,0.8031454545454546,0.866909090909091,429.26,-175.34999999999994,0.007534032976604362,6.5394705590716806e-18,0.005836306994910649,0.004606593138709431,0.007435265945778117,0.6886093610606346,mgsm_cot
42,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_14b,2750.0,0.8031454545454546,0.7462252964438182,405.01811593695,156.5304347795,0.007318204322377143,9.3311910589216e-15,0.006294994855888998,0.003570855249720678,0.007237262427888508,0.857222901311149,mgsm_cot
43,deepseek_r1_distill_qwen_32b,google_gemma_2_27b_it,2750.0,0.8031454545454546,0.8393818181818182,518.01,-99.65000000000006,0.008276302923567057,1.2857316825603952e-05,0.005688468834928289,0.005971685769036847,0.008247406174675016,0.5198626691835233,mgsm_cot
44,deepseek_r1_distill_qwen_32b,google_gemma_2_9b_it,2750.0,0.8031454545454546,0.7903140495884001,562.86818181275,35.286363631899974,0.008627215685702795,0.13977107386766693,0.00602202478068582,0.006172859721100079,0.008623745102655445,0.5328549138227291,mgsm_cot
45,deepseek_r1_distill_qwen_32b,google_gemma_3_12b_it,2750.0,0.8031454545454546,0.8627768595051636,470.73636363436003,-163.98636363920002,0.007889621710101848,3.05244602329668e-14,0.005438347348529768,0.00560155805815644,0.007807245004619627,0.5607102016002518,mgsm_cot
46,deepseek_r1_distill_qwen_32b,google_gemma_3_27b_it,2750.0,0.8031454545454546,0.8922545454545454,455.01,-245.04999999999998,0.0077567139672833066,2.2533847037708138e-32,0.00506503163411103,0.005623578664404082,0.007568301160054761,0.5342643820122898,mgsm_cot
47,deepseek_r1_distill_qwen_32b,google_gemma_3_4b_it,2750.0,0.8031454545454546,0.7180979020994909,655.3423076861,233.88076922639996,0.009308965252604343,5.0414112550020804e-20,0.006625166558045752,0.006335123439764747,0.00916660356505639,0.5427752842595657,mgsm_cot
48,deepseek_r1_distill_qwen_32b,llama-3.1-70B-instruct,2750.0,0.8031454545454546,0.8607272727272727,502.15,-158.35,0.008148619514985344,8.253185049429987e-13,0.004294028142193576,0.006837808542575142,0.008074298938661115,0.4349120087365602,mgsm_cot
49,deepseek_r1_distill_qwen_32b,mistralai_mixtral_8x22b_instruct_v0.1,2750.0,0.8031454545454546,0.7168323232342546,554.05777776978,237.3611111058,0.008559429793086734,3.5604904280375314e-24,0.006752489215070056,0.004995863553231718,0.008399688282439205,0.7115990075424278,mgsm_cot
50,deepseek_r1_distill_qwen_32b,qwen2-72b-instruct,2750.0,0.8031454545454546,0.8059636363636364,398.53499999999997,-7.75,0.00725939687406651,0.7257281891846457,0.0059177558846866775,0.00420429782607847,0.007259197953018771,0.7773039333339063,mgsm_cot
51,deepseek_r1_distill_qwen_32b,qwen2-math-72b-instruct,2750.0,0.8031454545454546,0.7904,450.92,35.05000000000001,0.007721773444226847,0.11969761540055718,0.006120308964274746,0.0047019710559156646,0.0077179475010426485,0.7248604907467576,mgsm_cot
52,deepseek_r1_distill_qwen_32b,qwen2.5-coder-32b-instruct,2750.0,0.8031454545454546,0.7943272727272725,409.29499999999996,24.25,0.007356742002582528,0.2766525102082507,0.005984525499531726,0.004275374948957085,0.007354819944003746,0.7750956862525868,mgsm_cot
