,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,12032.0,0.5770260786062167,0.4814453124999501,2750.3981480987795,1150.0277777906,0.0043587299255555935,1.1136429116800928e-109,0.0036403033584678163,0.0022332567856260164,0.004270742840796752,0.8218829727893213,mmlu_pro_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,12032.0,0.5770260786062167,0.5151574966755319,2451.7638888616248,744.4027777899998,0.0041152999871508335,7.945585647491705e-52,0.0035056126279799506,0.0020804436169874624,0.004076464833764223,0.8496918906142025,mmlu_pro_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,12032.0,0.5770260786062167,0.5867761726301447,2996.0808080422776,-117.31313129590035,0.004549240932017907,0.03253656971024056,0.0032509574151071557,0.003181032534278797,0.004548372467045809,0.6612923566261284,mmlu_pro_cot
3,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,12032.0,0.5770260786062167,0.6387134308510638,2840.2222221948,-742.2222222100004,0.004429333053499245,1.123099251092937e-44,0.002362803308913651,0.0037040362331347237,0.004393486530420707,0.6003169269709243,mmlu_pro_cot
4,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,12032.0,0.5770260786062167,0.5180075354597324,3273.246913518231,710.1111111384998,0.004755011375772661,1.9315989111389493e-35,0.0037449371091059854,0.0028802926089015685,0.004724472400602219,0.6955999800603426,mmlu_pro_cot
5,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,12032.0,0.5770260786062167,0.6222365359042553,3095.8611110890497,-543.9722222100002,0.004624373578313972,1.086323143494483e-22,0.003331379661089907,0.00318070140624457,0.004605969157735394,0.6479584191235774,mmlu_pro_cot
6,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,12032.0,0.5770260786062167,0.5106486868351063,3675.124999985675,798.6527777899996,0.0050384648635845575,1.1064278560369627e-39,0.003725905900096601,0.003337299316037029,0.00500199375261464,0.5920957865859224,mmlu_pro_cot
7,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,12032.0,0.5770260786062167,0.6049077460106383,3110.249999978225,-335.4722222100004,0.004635107661493843,1.8238228350677382e-09,0.0033857535968472656,0.003155358240666003,0.004628132781749357,0.6531116814090266,mmlu_pro_cot
8,deepseek_r1_distill_llama_70b,qwen3-14b,12032.0,0.5770260786062167,0.6733377659574469,3066.6444444243198,-1158.82222221,0.004602500978708459,1.0891605775533354e-99,0.003112998948487685,0.003274341697253216,0.0045179725545488325,0.6288022866684571,mmlu_pro_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,12032.0,0.5770260786062167,0.5757676499033993,3455.484848457858,15.14141415229983,0.004885586121232325,0.8117462380003947,0.0031921254512715528,0.0036985342004736996,0.004885572651054249,0.5502611083449305,mmlu_pro_cot
10,deepseek_r1_distill_llama_70b,qwen3-8b,12032.0,0.5770260786062167,0.6261552526595744,3260.4111110917997,-591.12222221,0.004745679000112154,3.0791134502692254e-25,0.003167910458955735,0.003505026076471566,0.004724496213640857,0.5864472896289985,mmlu_pro_cot
11,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,12032.0,0.3612103834209026,0.36107878989280257,3168.4027777318224,1.5833333301000039,0.004678238615777484,1.0,0.003985301447287935,0.0024501607051707623,0.004678238461955333,0.7329188970995201,mmlu_pro_cot
12,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,12032.0,0.3612103834209026,0.2896193484042553,3614.34999998196,861.3833333202997,0.0049966310174525,9.596072499570428e-47,0.0040362199339153025,0.002872155938124102,0.004953821866784956,0.5904925436479662,mmlu_pro_cot
13,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,12032.0,0.3612103834209026,0.4153667144009641,3422.480769182537,-651.6089743520997,0.0048621985000769745,6.232570753990189e-29,0.003699454529555729,0.003116288087844646,0.004837066803621059,0.6279157445088742,mmlu_pro_cot
14,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,12032.0,0.3612103834209026,0.4496343085106383,3543.0833333139003,-1063.9166666797005,0.00494712473086281,1.5161894695275847e-72,0.0028523331956854126,0.003960859181304089,0.004881005031069918,0.5282205309571955,mmlu_pro_cot
15,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,12032.0,0.3612103834209026,0.3503158244680851,3620.2499999788997,131.08333332029997,0.0050007075598586595,0.03201445037364208,0.0028523331956854126,0.004106264335683784,0.0049997211375953305,0.4530789742650115,mmlu_pro_cot
16,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,12032.0,0.3612103834209026,0.36654338430688166,3618.0833332807165,-64.16666666009996,0.0049992109107115075,0.27985760183741015,0.004233442485657423,0.002658516631305411,0.004998974490662737,0.6579409639800388,mmlu_pro_cot
17,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,12032.0,0.3612103834209026,0.39209078819743187,3484.553030227412,-371.5530302712,0.004906092316007654,3.1493869644321673e-10,0.004150700711171665,0.0026004173030988874,0.004898008426286857,0.6892976464273505,mmlu_pro_cot
18,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,12032.0,0.3612103834209026,0.29067625221447807,3705.2916666304673,848.6666666757003,0.005059101312635823,2.734394312019053e-44,0.0039294640870192075,0.0031209505076089323,0.00501806935804181,0.5342408781866935,mmlu_pro_cot
19,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,12032.0,0.3612103834209026,0.3368932845728723,3739.6111110745387,292.58333333949963,0.005082476713436972,1.7733390075324622e-06,0.004028352221967382,0.0030910843079658408,0.005077639591698312,0.556117720067492,mmlu_pro_cot
20,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,12032.0,0.3612103834209026,0.4228474069148937,3777.36666664768,-741.6166666796998,0.00510806892283765,9.065247480152187e-34,0.004074985062540254,0.00302838460391628,0.005077067713667344,0.5990626975657847,mmlu_pro_cot
21,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,12032.0,0.3612103834209026,0.3791805186170213,3544.2499999781803,-216.21666667969998,0.004947939158568975,0.0003031921867752973,0.003985622087120119,0.0029274698266714785,0.00494522628475297,0.6254075293600452,mmlu_pro_cot
22,deepseek_r1_distill_llama_8b,qwen1.5-32b-chat,12032.0,0.3612103834209026,0.46051155252659576,3731.7083333134997,-1194.7916666797,0.0050771035709694205,1.441744676347151e-86,0.004046537671919481,0.002929670994330358,0.004995742113568731,0.6350837880073317,mmlu_pro_cot
23,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,12032.0,0.3612103834209026,0.4422373670207779,3649.7638888472775,-974.9166666736999,0.005021050180067075,3.532869860111468e-59,0.004074987416834962,0.0028389722111076847,0.0049664157762721525,0.6512697896917685,mmlu_pro_cot
24,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,12032.0,0.3612103834209026,0.3306114250869847,3805.638888846561,368.1666666737001,0.005127149310399952,2.88763750644088e-09,0.004117013105254263,0.003043032363806364,0.005119554949017375,0.5523183684602162,mmlu_pro_cot
25,deepseek_r1_distill_llama_8b,qwen2.5-coder-3b-instruct,12032.0,0.3612103834209026,0.2943747229591257,3640.402777734022,804.1666666760998,0.005014606915859871,9.784220711642768e-41,0.004147589456181122,0.0027518219041696946,0.004977451364834511,0.6131196498117141,mmlu_pro_cot
26,deepseek_r1_distill_llama_8b,qwen2.5-coder-7b-instruct,12032.0,0.3612103834209026,0.37676612366938167,3536.2083332868,-187.16666666970013,0.0049423226990649004,0.0016585717189785494,0.004192887213115949,0.0026126880836494773,0.004940287664130016,0.6773918615927546,mmlu_pro_cot
27,deepseek_r1_distill_llama_8b,qwen3-1.7b,12032.0,0.3612103834209026,0.42934812721583276,3682.8611110808056,-819.8333333406003,0.005043765041582357,7.553979991419778e-42,0.0037995018599654186,0.0032584481549920454,0.005005366995800782,0.5812827830979113,mmlu_pro_cot
28,deepseek_r1_distill_qwen_1.5b,deepseek_v2_lite_chat,12032.0,0.20477338208953624,0.2896193484042553,3548.83333331414,-1020.8666666987001,0.004951137399036891,9.019158932274301e-67,0.004003709224432458,0.0028081606632856786,0.0048903429189199625,0.47211267941823915,mmlu_pro_cot
29,deepseek_r1_distill_qwen_1.5b,llama-3.2-1B-instruct,12032.0,0.20477338208953624,0.21517619680851063,3310.8333333129003,-125.16666669870006,0.004782234148058907,0.02978898484427814,0.002806139850057239,0.0038712205259517673,0.004781293676258502,0.2641619380811533,mmlu_pro_cot
30,deepseek_r1_distill_qwen_1.5b,mistralai_mistral_7b_instruct_v0.1,12032.0,0.20477338208953624,0.23814273049365858,3470.861111062922,-401.49999999839974,0.004896444028893489,9.438015245138889e-12,0.00399547736402638,0.0028140324743240078,0.004886984564432069,0.3760542207922627,mmlu_pro_cot
31,deepseek_r1_distill_qwen_1.5b,mistralai_mistral_7b_instruct_v0.2,12032.0,0.20477338208953624,0.29067625221447807,3794.1666666305664,-1033.5833333433,0.005119415498360623,6.66514186516613e-64,0.003896062654789319,0.0032273525363695843,0.005059160859673785,0.3401894559637971,mmlu_pro_cot
32,deepseek_r1_distill_qwen_1.5b,qwen1.5-1.8b-chat,12032.0,0.20477338208953624,0.12427692819148937,3005.4166666383003,968.5333333013001,0.004556323190309998,1.0247079893355294e-70,0.0036964271470757573,0.0025608534129258195,0.004496837094684712,0.27461113244218716,mmlu_pro_cot
33,deepseek_r1_distill_qwen_1.5b,qwen1.5-7b-chat,12032.0,0.20477338208953624,0.25093916223404256,3365.1166666442605,-555.4666666987002,0.004821278726550575,7.500891564177503e-22,0.004001085925909698,0.002656860125387066,0.004802873547407264,0.4676529323683004,mmlu_pro_cot
34,deepseek_r1_distill_qwen_1.5b,qwen2-0.5b-instruct,12032.0,0.20477338208953624,0.11727061169356714,3128.2692306801564,1052.8333334043,0.004648515016789857,2.7079586703255633e-80,0.0037643634874654224,0.002608044311615197,0.004579555392951506,0.16122174497773537,mmlu_pro_cot
35,deepseek_r1_distill_qwen_1.5b,qwen2-1.5b-instruct,12032.0,0.20477338208953624,0.17216589095430515,3203.4027777283554,392.3333333390999,0.004704006906053303,5.2207561656458526e-12,0.0039536582149429355,0.0025313828830915786,0.004694604624608423,0.34718895529198357,mmlu_pro_cot
36,deepseek_r1_distill_qwen_1.5b,qwen2-math-1.5b-instruct,12032.0,0.20477338208953624,0.2509211546956533,3150.4305554986613,-555.2499999968002,0.004664951493001258,3.6087503937676916e-23,0.004070382117928449,0.0022398137778155396,0.004645941922284867,0.6045307964909661,mmlu_pro_cot
