,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,,0,[],0.0,0.0,,0
1,1,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,1
2,10,0.15,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.05392156862745098,0.0784313725490196,0.5413459043895885,10
3,100,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,100
4,101,0.001388888888888889,5,"['google_gemma_2b_it' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.07450980392156863,0.09803921568627451,0.5577830427147272,101
5,102,,0,[],0.0,0.0,,102
6,103,,0,[],0.0,0.0,,103
7,104,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,104
8,105,0.075,3,['google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it'],0.018627450980392157,0.058823529411764705,0.41244419577500063,105
9,106,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,106
10,107,0.08944444444444445,4,"['llama-3.2-3B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_27b_it']",0.038888888888235294,0.0784313725490196,0.5145062629721594,107
11,108,,0,[],0.0,0.0,,108
12,109,0.075,2,['google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.01797385620980392,0.0392156862745098,0.352202595437221,109
13,11,0.029166666666666667,9,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.1431372549019608,0.17647058823529413,0.7590643319571982,11
14,110,,0,[],0.0,0.0,,110
15,111,,0,[],0.0,0.0,,111
16,112,0.2222222222222222,2,['google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.016339869280392154,0.0392156862745098,0.3838612557012408,112
17,113,,0,[],0.0,0.0,,113
18,114,0.075,3,['google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.04444444444509804,0.058823529411764705,0.4319297483312999,114
19,115,0.026495726495555556,4,"['llama-3.2-1B-instruct' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.05163398692745098,0.0784313725490196,0.4749288581281472,115
20,116,,0,[],0.0,0.0,,116
21,117,0.2222222222222222,1,['google_gemma_2_27b_it'],0.00980392156862745,0.0196078431372549,0.2672861022670582,117
22,118,,0,[],0.0,0.0,,118
23,119,,0,[],0.0,0.0,,119
24,12,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,12
25,120,0.05,3,"['google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.036601307190196074,0.058823529411764705,0.4319297483312999,120
26,121,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,121
27,122,,0,[],0.0,0.0,,122
28,123,0.18000000000000002,3,['google_gemma_2_27b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.049019607843137254,0.058823529411764705,0.4692520805837814,123
29,124,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,124
30,125,0.0018518518516666665,4,"['qwen3-32b' 'google_gemma_2_27b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it']",0.05555555555490196,0.0784313725490196,0.4619862953691253,125
31,126,0.2222222222222222,1,['google_gemma_2_27b_it'],0.00980392156862745,0.0196078431372549,0.2672861022670582,126
32,127,0.05,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.04803921568627451,0.0784313725490196,0.5145062629721594,127
33,128,0.025925925924444447,3,"['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.030065359476470585,0.058823529411764705,0.37996827484783524,128
34,129,0.025925925924444447,5,"['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.04379084967254902,0.09803921568627451,0.5475952245829514,129
35,13,0.006944444444444444,10,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_1b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.13790849673137254,0.19607843137254902,0.799114740779051,13
36,130,,0,[],0.0,0.0,,130
37,131,0.2222222222222222,2,['google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.022875816994117643,0.0392156862745098,0.39177592076724577,131
38,132,0.075,3,['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.04411764705882353,0.058823529411764705,0.444920116702166,132
39,133,0.05,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.05294117647058824,0.0784313725490196,0.5186717303837418,133
40,134,0.08944444444444445,5,"['llama-3.2-3B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.07450980392156863,0.09803921568627451,0.5870289238717753,134
41,135,0.15,3,['google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.0218954248372549,0.058823529411764705,0.4579104850730322,135
42,136,,0,[],0.0,0.0,,136
43,137,,0,[],0.0,0.0,,137
44,138,0.075,4,"['llama-3.2-3B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it']",0.051960784313725486,0.0784313725490196,0.49189060306129534,138
45,139,0.18000000000000002,2,['google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.020915032680392156,0.0392156862745098,0.3838612557012408,139
46,14,,0,[],0.0,0.0,,14
47,140,0.029166666666666667,3,['google_gemma_7b_it' 'google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.03431372549019608,0.058823529411764705,0.438424932516733,140
48,141,,0,[],0.0,0.0,,141
49,142,,0,[],0.0,0.0,,142
50,143,0.18000000000000002,2,['google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.03137254901960784,0.0392156862745098,0.3838612557012408,143
51,144,,0,[],0.0,0.0,,144
52,145,,0,[],0.0,0.0,,145
53,146,,0,[],0.0,0.0,,146
54,147,,0,[],0.0,0.0,,147
55,148,0.006944444444444444,4,"['google_gemma_2_9b_it' 'google_gemma_3_1b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.041176470588235294,0.0784313725490196,0.49032901287643355,148
56,149,,0,[],0.0,0.0,,149
57,15,0.15,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.0392156862745098,0.058823529411764705,0.4692520805837814,15
58,150,0.05,5,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_codegemma_1.1_7b_it']",0.051307189543137253,0.09803921568627451,0.5642447102306373,150
59,151,0.18000000000000002,2,['google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.023529411764705882,0.0392156862745098,0.3838612557012408,151
60,152,,0,[],0.0,0.0,,152
61,153,0.15,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.027777777778431368,0.058823529411764705,0.47090085344389837,153
62,154,,0,[],0.0,0.0,,154
63,155,,0,[],0.0,0.0,,155
64,156,,0,[],0.0,0.0,,156
65,157,0.08944444444444445,4,"['llama-3.2-3B-instruct' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.06470588235294117,0.0784313725490196,0.5186717303837418,157
66,158,,0,[],0.0,0.0,,158
67,159,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,159
68,16,0.075,5,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.048692810456862745,0.09803921568627451,0.5628769517806151,16
69,160,,0,[],0.0,0.0,,160
70,161,0.05,5,"['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.050980392156862744,0.09803921568627451,0.5679708608465031,161
71,162,0.15,1,['google_gemma_2_9b_it'],0.004901960784313725,0.0196078431372549,0.24501226041146998,162
72,163,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,163
73,164,,0,[],0.0,0.0,,164
74,165,,0,[],0.0,0.0,,165
75,166,,0,[],0.0,0.0,,166
76,167,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,167
77,168,,0,[],0.0,0.0,,168
78,169,,0,[],0.0,0.0,,169
79,17,0.05,6,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.060784313725490195,0.11764705882352941,0.6320726571156586,17
80,170,0.15,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.02124183006470588,0.058823529411764705,0.46440566925846527,170
81,171,0.05,4,"['google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.04607843137254902,0.0784313725490196,0.5088523479944435,171
82,172,0.002777777777777778,1,['qwen2.5-coder-32b-instruct'],0.00980392156862745,0.0196078431372549,0.14477997206132318,172
83,173,,0,[],0.0,0.0,,173
84,174,,0,[],0.0,0.0,,174
85,175,0.026495726495555556,5,"['llama-3.2-1B-instruct' 'google_gemma_7b_it' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_27b_it']",0.055555555554901964,0.09803921568627451,0.5140933984916377,175
86,176,,0,[],0.0,0.0,,176
87,177,,0,[],0.0,0.0,,177
88,178,0.026495726495555556,6,"['llama-3.1-8B-instruct' 'llama-3.2-1B-instruct' 'google_gemma_2_27b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.0826797385627451,0.11764705882352941,0.5841185269643167,178
89,179,0.075,5,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.06862745098039216,0.09803921568627451,0.5895110868409034,179
90,18,0.05,5,"['llama-3.1-8B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.05588235294117647,0.09803921568627451,0.5425013155170635,18
91,19,0.075,5,"['llama-3.2-3B-instruct' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.0784313725490196,0.09803921568627451,0.5754776848786989,19
92,2,0.006944444444444444,2,['google_gemma_3_1b_it' 'google_gemma_3_27b_it'],0.024509803921568627,0.0392156862745098,0.31262927010719616,2
93,20,0.15,2,['google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.01143790849607843,0.0392156862745098,0.3759465906352359,20
94,21,0.15,3,['google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.05392156862745098,0.058823529411764705,0.46273469057567335,21
95,22,0.05,1,['google_codegemma_1.1_7b_it'],0.00392156862745098,0.0196078431372549,0.2004645767002936,22
96,23,0.029166666666666667,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.1323529411764706,0.1568627450980392,0.7119086994248341,23
97,24,0.15,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.04411764705882353,0.058823529411764705,0.4692520805837814,24
98,25,0.15,1,['google_gemma_2_9b_it'],0.004901960784313725,0.0196078431372549,0.24501226041146998,25
99,26,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,26
100,27,0.006944444444444444,9,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_1b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.12058823529411765,0.17647058823529413,0.7454484340223614,27
101,28,0.18000000000000002,3,['google_gemma_2_27b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.049019607843137254,0.058823529411764705,0.4692520805837814,28
102,29,0.029166666666666667,7,"['llama-3.1-8B-instruct' 'google_gemma_7b_it' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.09705882352941177,0.13725490196078433,0.6769823731523086,29
103,3,0.026495726495555556,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'llama-3.2-1B-instruct'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.10850032320588235,0.1568627450980392,0.7246403993426824,3
104,30,0.025925925924444447,4,"['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.04967320261372549,0.0784313725490196,0.5016660998793568,30
105,31,0.025925925924444447,2,['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_27b_it'],0.0196078431372549,0.0392156862745098,0.3205439351732011,31
106,32,,0,[],0.0,0.0,,32
107,33,0.025925925924444447,9,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.1475256769372549,0.17647058823529413,0.7700579347786015,33
108,34,0.025925925924444447,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.12189542483725489,0.1568627450980392,0.7080078004777494,34
109,35,0.05,4,"['google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.034967320260784314,0.0784313725490196,0.5088523479944435,35
110,36,0.025925925924444447,7,"['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.06830065359411766,0.13725490196078433,0.6510546643678004,36
111,37,0.05,3,"['google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.03366013071960785,0.058823529411764705,0.3994538274041345,37
112,38,0.029166666666666667,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.12549019607843137,0.1568627450980392,0.7274006054376667,38
113,39,0.025925925924444447,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.0977124183,0.1568627450980392,0.6821842749156023,39
114,4,,0,[],0.0,0.0,,4
115,40,0.025925925924444447,5,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_7b_it'
 'google_gemma_3_27b_it']",0.05718954248235294,0.09803921568627451,0.5053553344635283,40
116,41,0.075,3,['google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.03431372549019608,0.058823529411764705,0.438424932516733,41
117,42,0.05,7,"['llama-3.1-8B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.10896358543333333,0.13725490196078433,0.6813641360853332,42
118,43,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,43
119,44,0.075,3,['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.03431372549019608,0.058823529411764705,0.45141530088759907,44
120,45,,0,[],0.0,0.0,,45
121,46,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,46
122,47,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,47
123,48,,0,[],0.0,0.0,,48
124,49,0.05,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.022549019607843137,0.0784313725490196,0.5016660998793568,49
