,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
44257,llama-3.1-8B-instruct,ds1000,1.0,-1,0,7,0,0.0
44258,llama-3.1-8B-instruct,ds1000,1.0,-1,1,7,0,0.0
44259,llama-3.1-8B-instruct,ds1000,1.0,-1,2,7,0,0.0
44260,llama-3.1-8B-instruct,ds1000,1.0,-1,3,7,0,0.0
44261,llama-3.1-8B-instruct,ds1000,1.0,-1,4,7,0,0.0
44262,llama-3.1-8B-instruct,ds1000,1.0,-1,5,7,0,0.0
44263,llama-3.1-8B-instruct,ds1000,1.0,-1,6,7,0,0.0
44264,llama-3.1-8B-instruct,ds1000,1.0,-1,7,7,0,0.0
44265,llama-3.1-8B-instruct,ds1000,1.0,-1,8,7,0,0.0
44266,llama-3.1-8B-instruct,ds1000,1.0,-1,9,7,0,0.0
44267,llama-3.1-8B-instruct,ds1000,1.0,-1,10,7,0,0.0
44268,llama-3.1-8B-instruct,ds1000,1.0,-1,11,7,0,0.0
44269,llama-3.1-8B-instruct,ds1000,1.0,-1,12,7,0,0.0
44270,llama-3.1-8B-instruct,ds1000,1.0,-1,13,7,0,0.0
44271,llama-3.1-8B-instruct,ds1000,1.0,-1,14,7,3,0.4285714286
44272,llama-3.1-8B-instruct,ds1000,1.0,-1,15,7,0,0.0
44273,llama-3.1-8B-instruct,ds1000,1.0,-1,16,7,6,0.8571428571
44274,llama-3.1-8B-instruct,ds1000,1.0,-1,17,7,0,0.0
44275,llama-3.1-8B-instruct,ds1000,1.0,-1,18,7,0,0.0
44276,llama-3.1-8B-instruct,ds1000,1.0,-1,19,7,0,0.0
44277,llama-3.1-8B-instruct,ds1000,1.0,-1,20,7,0,0.0
44278,llama-3.1-8B-instruct,ds1000,1.0,-1,21,7,0,0.0
44279,llama-3.1-8B-instruct,ds1000,1.0,-1,22,7,0,0.0
44280,llama-3.1-8B-instruct,ds1000,1.0,-1,23,7,7,1.0
44281,llama-3.1-8B-instruct,ds1000,1.0,-1,24,7,0,0.0
44282,llama-3.1-8B-instruct,ds1000,1.0,-1,25,7,0,0.0
44283,llama-3.1-8B-instruct,ds1000,1.0,-1,26,7,0,0.0
44284,llama-3.1-8B-instruct,ds1000,1.0,-1,27,7,0,0.0
44285,llama-3.1-8B-instruct,ds1000,1.0,-1,28,7,0,0.0
44286,llama-3.1-8B-instruct,ds1000,1.0,-1,29,7,0,0.0
44287,llama-3.1-8B-instruct,ds1000,1.0,-1,30,7,0,0.0
44288,llama-3.1-8B-instruct,ds1000,1.0,-1,31,7,0,0.0
44289,llama-3.1-8B-instruct,ds1000,1.0,-1,32,7,0,0.0
44290,llama-3.1-8B-instruct,ds1000,1.0,-1,33,7,0,0.0
44291,llama-3.1-8B-instruct,ds1000,1.0,-1,34,7,7,1.0
44292,llama-3.1-8B-instruct,ds1000,1.0,-1,35,7,0,0.0
44293,llama-3.1-8B-instruct,ds1000,1.0,-1,36,7,0,0.0
44294,llama-3.1-8B-instruct,ds1000,1.0,-1,37,7,0,0.0
44295,llama-3.1-8B-instruct,ds1000,1.0,-1,38,7,0,0.0
44296,llama-3.1-8B-instruct,ds1000,1.0,-1,39,7,0,0.0
44297,llama-3.1-8B-instruct,ds1000,1.0,-1,40,7,0,0.0
44298,llama-3.1-8B-instruct,ds1000,1.0,-1,41,7,7,1.0
44299,llama-3.1-8B-instruct,ds1000,1.0,-1,42,7,0,0.0
44300,llama-3.1-8B-instruct,ds1000,1.0,-1,43,7,0,0.0
44301,llama-3.1-8B-instruct,ds1000,1.0,-1,44,7,0,0.0
44302,llama-3.1-8B-instruct,ds1000,1.0,-1,45,7,0,0.0
44303,llama-3.1-8B-instruct,ds1000,1.0,-1,46,7,0,0.0
44304,llama-3.1-8B-instruct,ds1000,1.0,-1,47,7,0,0.0
44305,llama-3.1-8B-instruct,ds1000,1.0,-1,48,7,0,0.0
44306,llama-3.1-8B-instruct,ds1000,1.0,-1,49,7,0,0.0
44307,llama-3.1-8B-instruct,ds1000,1.0,-1,50,7,0,0.0
44308,llama-3.1-8B-instruct,ds1000,1.0,-1,51,7,0,0.0
44309,llama-3.1-8B-instruct,ds1000,1.0,-1,52,7,0,0.0
44310,llama-3.1-8B-instruct,ds1000,1.0,-1,53,7,0,0.0
44311,llama-3.1-8B-instruct,ds1000,1.0,-1,54,7,0,0.0
44312,llama-3.1-8B-instruct,ds1000,1.0,-1,55,7,0,0.0
44313,llama-3.1-8B-instruct,ds1000,1.0,-1,56,7,0,0.0
44314,llama-3.1-8B-instruct,ds1000,1.0,-1,57,7,0,0.0
44315,llama-3.1-8B-instruct,ds1000,1.0,-1,58,7,0,0.0
44316,llama-3.1-8B-instruct,ds1000,1.0,-1,59,7,0,0.0
44317,llama-3.1-8B-instruct,ds1000,1.0,-1,60,7,0,0.0
44318,llama-3.1-8B-instruct,ds1000,1.0,-1,61,7,0,0.0
44319,llama-3.1-8B-instruct,ds1000,1.0,-1,62,7,0,0.0
44320,llama-3.1-8B-instruct,ds1000,1.0,-1,63,7,0,0.0
44321,llama-3.1-8B-instruct,ds1000,1.0,-1,64,7,0,0.0
44322,llama-3.1-8B-instruct,ds1000,1.0,-1,65,7,0,0.0
44323,llama-3.1-8B-instruct,ds1000,1.0,-1,66,7,0,0.0
44324,llama-3.1-8B-instruct,ds1000,1.0,-1,67,7,0,0.0
44325,llama-3.1-8B-instruct,ds1000,1.0,-1,68,7,0,0.0
44326,llama-3.1-8B-instruct,ds1000,1.0,-1,69,7,0,0.0
44327,llama-3.1-8B-instruct,ds1000,1.0,-1,70,7,0,0.0
44328,llama-3.1-8B-instruct,ds1000,1.0,-1,71,7,0,0.0
44329,llama-3.1-8B-instruct,ds1000,1.0,-1,72,7,0,0.0
44330,llama-3.1-8B-instruct,ds1000,1.0,-1,73,7,0,0.0
44331,llama-3.1-8B-instruct,ds1000,1.0,-1,74,7,0,0.0
44332,llama-3.1-8B-instruct,ds1000,1.0,-1,75,7,0,0.0
44333,llama-3.1-8B-instruct,ds1000,1.0,-1,76,7,0,0.0
44334,llama-3.1-8B-instruct,ds1000,1.0,-1,77,7,0,0.0
44335,llama-3.1-8B-instruct,ds1000,1.0,-1,78,7,0,0.0
44336,llama-3.1-8B-instruct,ds1000,1.0,-1,79,7,0,0.0
44337,llama-3.1-8B-instruct,ds1000,1.0,-1,80,7,0,0.0
44338,llama-3.1-8B-instruct,ds1000,1.0,-1,81,7,0,0.0
44339,llama-3.1-8B-instruct,ds1000,1.0,-1,82,7,0,0.0
44340,llama-3.1-8B-instruct,ds1000,1.0,-1,83,7,0,0.0
44341,llama-3.1-8B-instruct,ds1000,1.0,-1,84,7,0,0.0
44342,llama-3.1-8B-instruct,ds1000,1.0,-1,85,7,0,0.0
44343,llama-3.1-8B-instruct,ds1000,1.0,-1,86,7,0,0.0
44344,llama-3.1-8B-instruct,ds1000,1.0,-1,87,7,0,0.0
44345,llama-3.1-8B-instruct,ds1000,1.0,-1,88,7,0,0.0
44346,llama-3.1-8B-instruct,ds1000,1.0,-1,89,7,0,0.0
44347,llama-3.1-8B-instruct,ds1000,1.0,-1,90,7,0,0.0
44348,llama-3.1-8B-instruct,ds1000,1.0,-1,91,7,7,1.0
44349,llama-3.1-8B-instruct,ds1000,1.0,-1,92,7,0,0.0
44350,llama-3.1-8B-instruct,ds1000,1.0,-1,93,7,0,0.0
44351,llama-3.1-8B-instruct,ds1000,1.0,-1,94,7,0,0.0
44352,llama-3.1-8B-instruct,ds1000,1.0,-1,95,7,0,0.0
44353,llama-3.1-8B-instruct,ds1000,1.0,-1,96,7,0,0.0
