,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
3222,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,0,4,4,1.0
3223,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,1,4,4,1.0
3224,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,2,4,4,1.0
3225,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,3,4,4,1.0
3226,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,4,4,4,1.0
3227,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,5,4,4,1.0
3228,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,6,4,4,1.0
3229,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,7,4,4,1.0
3230,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,8,4,4,1.0
3231,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,9,4,4,1.0
3232,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,10,4,4,1.0
3233,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,11,4,4,1.0
3234,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,12,4,0,0.0
3235,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,13,4,4,1.0
3236,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,14,4,4,1.0
3237,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,15,4,0,0.0
3238,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,16,4,4,1.0
3239,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,17,4,4,1.0
3240,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,18,4,4,1.0
3241,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,19,4,4,1.0
3242,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,20,4,4,1.0
3243,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,21,4,4,1.0
3244,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,22,4,4,1.0
3245,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,23,4,4,1.0
3246,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,24,4,4,1.0
3247,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,25,4,4,1.0
3248,llama-3.1-70B-instruct,gsm8k_cot,1.0,-1,26,4,4,1.0
