,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
48034,llama-3.1-8B-instruct,leetcode,1.0,-1,0,7,0,0.0
48035,llama-3.1-8B-instruct,leetcode,1.0,-1,1,7,0,0.0
48036,llama-3.1-8B-instruct,leetcode,1.0,-1,2,7,0,0.0
48037,llama-3.1-8B-instruct,leetcode,1.0,-1,3,7,5,0.7142857143
48038,llama-3.1-8B-instruct,leetcode,1.0,-1,4,7,0,0.0
48039,llama-3.1-8B-instruct,leetcode,1.0,-1,5,7,0,0.0
48040,llama-3.1-8B-instruct,leetcode,1.0,-1,6,7,4,0.5714285714
48041,llama-3.1-8B-instruct,leetcode,1.0,-1,7,7,0,0.0
48042,llama-3.1-8B-instruct,leetcode,1.0,-1,8,7,0,0.0
48043,llama-3.1-8B-instruct,leetcode,1.0,-1,9,7,0,0.0
48044,llama-3.1-8B-instruct,leetcode,1.0,-1,10,7,0,0.0
48045,llama-3.1-8B-instruct,leetcode,1.0,-1,11,7,7,1.0
48046,llama-3.1-8B-instruct,leetcode,1.0,-1,12,7,0,0.0
48047,llama-3.1-8B-instruct,leetcode,1.0,-1,13,7,7,1.0
48048,llama-3.1-8B-instruct,leetcode,1.0,-1,14,7,0,0.0
48049,llama-3.1-8B-instruct,leetcode,1.0,-1,15,7,0,0.0
48050,llama-3.1-8B-instruct,leetcode,1.0,-1,16,7,0,0.0
48051,llama-3.1-8B-instruct,leetcode,1.0,-1,17,7,0,0.0
48052,llama-3.1-8B-instruct,leetcode,1.0,-1,18,7,7,1.0
48053,llama-3.1-8B-instruct,leetcode,1.0,-1,19,7,0,0.0
48054,llama-3.1-8B-instruct,leetcode,1.0,-1,20,7,0,0.0
48055,llama-3.1-8B-instruct,leetcode,1.0,-1,21,7,0,0.0
48056,llama-3.1-8B-instruct,leetcode,1.0,-1,22,7,0,0.0
48057,llama-3.1-8B-instruct,leetcode,1.0,-1,23,7,7,1.0
48058,llama-3.1-8B-instruct,leetcode,1.0,-1,24,7,0,0.0
48059,llama-3.1-8B-instruct,leetcode,1.0,-1,25,7,0,0.0
48060,llama-3.1-8B-instruct,leetcode,1.0,-1,26,7,0,0.0
48061,llama-3.1-8B-instruct,leetcode,1.0,-1,27,7,7,1.0
48062,llama-3.1-8B-instruct,leetcode,1.0,-1,28,7,0,0.0
48063,llama-3.1-8B-instruct,leetcode,1.0,-1,29,7,7,1.0
48064,llama-3.1-8B-instruct,leetcode,1.0,-1,30,7,0,0.0
48065,llama-3.1-8B-instruct,leetcode,1.0,-1,31,7,0,0.0
48066,llama-3.1-8B-instruct,leetcode,1.0,-1,32,7,0,0.0
48067,llama-3.1-8B-instruct,leetcode,1.0,-1,33,7,6,0.8571428571
48068,llama-3.1-8B-instruct,leetcode,1.0,-1,34,7,7,1.0
48069,llama-3.1-8B-instruct,leetcode,1.0,-1,35,7,0,0.0
48070,llama-3.1-8B-instruct,leetcode,1.0,-1,36,7,0,0.0
48071,llama-3.1-8B-instruct,leetcode,1.0,-1,37,7,0,0.0
48072,llama-3.1-8B-instruct,leetcode,1.0,-1,38,7,7,1.0
48073,llama-3.1-8B-instruct,leetcode,1.0,-1,39,7,7,1.0
48074,llama-3.1-8B-instruct,leetcode,1.0,-1,40,7,7,1.0
48075,llama-3.1-8B-instruct,leetcode,1.0,-1,41,7,0,0.0
48076,llama-3.1-8B-instruct,leetcode,1.0,-1,42,7,6,0.8571428571
48077,llama-3.1-8B-instruct,leetcode,1.0,-1,43,7,0,0.0
48078,llama-3.1-8B-instruct,leetcode,1.0,-1,44,7,0,0.0
48079,llama-3.1-8B-instruct,leetcode,1.0,-1,45,7,0,0.0
48080,llama-3.1-8B-instruct,leetcode,1.0,-1,46,7,0,0.0
48081,llama-3.1-8B-instruct,leetcode,1.0,-1,47,7,0,0.0
48082,llama-3.1-8B-instruct,leetcode,1.0,-1,48,7,0,0.0
48083,llama-3.1-8B-instruct,leetcode,1.0,-1,49,7,0,0.0
48084,llama-3.1-8B-instruct,leetcode,1.0,-1,50,7,0,0.0
48085,llama-3.1-8B-instruct,leetcode,1.0,-1,51,7,0,0.0
48086,llama-3.1-8B-instruct,leetcode,1.0,-1,52,7,0,0.0
48087,llama-3.1-8B-instruct,leetcode,1.0,-1,53,7,0,0.0
48088,llama-3.1-8B-instruct,leetcode,1.0,-1,54,7,0,0.0
48089,llama-3.1-8B-instruct,leetcode,1.0,-1,55,7,0,0.0
48090,llama-3.1-8B-instruct,leetcode,1.0,-1,56,7,0,0.0
48091,llama-3.1-8B-instruct,leetcode,1.0,-1,57,7,0,0.0
48092,llama-3.1-8B-instruct,leetcode,1.0,-1,58,7,0,0.0
48093,llama-3.1-8B-instruct,leetcode,1.0,-1,59,7,0,0.0
48094,llama-3.1-8B-instruct,leetcode,1.0,-1,60,7,0,0.0
48095,llama-3.1-8B-instruct,leetcode,1.0,-1,61,7,0,0.0
48096,llama-3.1-8B-instruct,leetcode,1.0,-1,62,7,0,0.0
48097,llama-3.1-8B-instruct,leetcode,1.0,-1,63,7,0,0.0
48098,llama-3.1-8B-instruct,leetcode,1.0,-1,64,7,0,0.0
48099,llama-3.1-8B-instruct,leetcode,1.0,-1,65,7,0,0.0
48100,llama-3.1-8B-instruct,leetcode,1.0,-1,66,7,0,0.0
48101,llama-3.1-8B-instruct,leetcode,1.0,-1,67,7,0,0.0
48102,llama-3.1-8B-instruct,leetcode,1.0,-1,68,7,0,0.0
48103,llama-3.1-8B-instruct,leetcode,1.0,-1,69,7,0,0.0
48104,llama-3.1-8B-instruct,leetcode,1.0,-1,70,7,0,0.0
48105,llama-3.1-8B-instruct,leetcode,1.0,-1,71,7,0,0.0
48106,llama-3.1-8B-instruct,leetcode,1.0,-1,72,7,0,0.0
48107,llama-3.1-8B-instruct,leetcode,1.0,-1,73,7,0,0.0
48108,llama-3.1-8B-instruct,leetcode,1.0,-1,74,7,0,0.0
