,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
2108,llama-3.1-70B-instruct,lsat_cot,1.0,-1,0,4,4,1.0
2109,llama-3.1-70B-instruct,lsat_cot,1.0,-1,1,4,4,1.0
2110,llama-3.1-70B-instruct,lsat_cot,1.0,-1,2,4,4,1.0
2111,llama-3.1-70B-instruct,lsat_cot,1.0,-1,3,4,4,1.0
2112,llama-3.1-70B-instruct,lsat_cot,1.0,-1,4,4,0,0.0
2113,llama-3.1-70B-instruct,lsat_cot,1.0,-1,5,4,0,0.0
2114,llama-3.1-70B-instruct,lsat_cot,1.0,-1,6,4,4,1.0
2115,llama-3.1-70B-instruct,lsat_cot,1.0,-1,7,4,0,0.0
2116,llama-3.1-70B-instruct,lsat_cot,1.0,-1,8,4,0,0.0
2117,llama-3.1-70B-instruct,lsat_cot,1.0,-1,9,4,4,1.0
2118,llama-3.1-70B-instruct,lsat_cot,1.0,-1,10,4,4,1.0
2119,llama-3.1-70B-instruct,lsat_cot,1.0,-1,11,4,0,0.0
2120,llama-3.1-70B-instruct,lsat_cot,1.0,-1,12,4,0,0.0
2121,llama-3.1-70B-instruct,lsat_cot,1.0,-1,13,4,4,1.0
2122,llama-3.1-70B-instruct,lsat_cot,1.0,-1,14,4,0,0.0
2123,llama-3.1-70B-instruct,lsat_cot,1.0,-1,15,4,0,0.0
2124,llama-3.1-70B-instruct,lsat_cot,1.0,-1,16,4,4,1.0
2125,llama-3.1-70B-instruct,lsat_cot,1.0,-1,17,4,4,1.0
2126,llama-3.1-70B-instruct,lsat_cot,1.0,-1,18,4,0,0.0
2127,llama-3.1-70B-instruct,lsat_cot,1.0,-1,19,4,0,0.0
2128,llama-3.1-70B-instruct,lsat_cot,1.0,-1,20,4,0,0.0
2129,llama-3.1-70B-instruct,lsat_cot,1.0,-1,21,4,4,1.0
2130,llama-3.1-70B-instruct,lsat_cot,1.0,-1,22,4,0,0.0
2131,llama-3.1-70B-instruct,lsat_cot,1.0,-1,23,4,4,1.0
2132,llama-3.1-70B-instruct,lsat_cot,1.0,-1,24,4,4,1.0
2133,llama-3.1-70B-instruct,lsat_cot,1.0,-1,25,4,0,0.0
2134,llama-3.1-70B-instruct,lsat_cot,1.0,-1,26,4,4,1.0
2135,llama-3.1-70B-instruct,lsat_cot,1.0,-1,27,4,0,0.0
2136,llama-3.1-70B-instruct,lsat_cot,1.0,-1,28,4,4,1.0
2137,llama-3.1-70B-instruct,lsat_cot,1.0,-1,29,4,4,1.0
2138,llama-3.1-70B-instruct,lsat_cot,1.0,-1,30,4,4,1.0
2139,llama-3.1-70B-instruct,lsat_cot,1.0,-1,31,4,4,1.0
2140,llama-3.1-70B-instruct,lsat_cot,1.0,-1,32,4,4,1.0
2141,llama-3.1-70B-instruct,lsat_cot,1.0,-1,33,4,0,0.0
2142,llama-3.1-70B-instruct,lsat_cot,1.0,-1,34,4,0,0.0
2143,llama-3.1-70B-instruct,lsat_cot,1.0,-1,35,4,4,1.0
2144,llama-3.1-70B-instruct,lsat_cot,1.0,-1,36,4,4,1.0
2145,llama-3.1-70B-instruct,lsat_cot,1.0,-1,37,4,4,1.0
2146,llama-3.1-70B-instruct,lsat_cot,1.0,-1,38,4,4,1.0
2147,llama-3.1-70B-instruct,lsat_cot,1.0,-1,39,4,0,0.0
2148,llama-3.1-70B-instruct,lsat_cot,1.0,-1,40,4,4,1.0
2149,llama-3.1-70B-instruct,lsat_cot,1.0,-1,41,4,4,1.0
2150,llama-3.1-70B-instruct,lsat_cot,1.0,-1,42,4,0,0.0
2151,llama-3.1-70B-instruct,lsat_cot,1.0,-1,43,4,4,1.0
2152,llama-3.1-70B-instruct,lsat_cot,1.0,-1,44,4,0,0.0
