,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
0,deepseek_r1_distill_llama_70b,0.26666666666666666,0.22218954248362746,2.0,0.08073734277593311,0.07353507603455242,0.03333333333333333
3,deepseek_r1_distill_qwen_14b,0.23333333333333334,0.1905473856208987,4.0,0.07722022379508468,0.07447346034861206,0.020412414523193152
5,deepseek_r1_distill_qwen_7b,0.23333333333333334,0.19058006535949346,4.0,0.07722022379508468,0.07447346034861206,0.020412414523193152
4,deepseek_r1_distill_qwen_32b,0.21666666666666667,0.1783660130718954,2.0,0.07521573909367246,0.07334595850917507,0.016666666666666666
51,qwen3-8b,0.21111111111,0.17115468409494441,3.0,0.07450798835827409,0.06570291034668,0.03513641844543692
13,google_gemma_3_27b_it,0.21111111110999997,0.17327160493727306,3.0,0.07450798835827409,0.06935920694827041,0.027216552696910454
48,qwen3-14b,0.18888888888999997,0.15579883805475236,3.0,0.07146324849037236,0.06222883562805805,0.03513641844543692
43,qwen2.5-coder-32b-instruct,0.18333333333333332,0.15442265795202614,2.0,0.07064517492894147,0.06447796063312956,0.02886751345948129
11,google_gemma_3_12b_it,0.175,0.1404084967320098,4.0,0.06937218462755804,0.06252777160768024,0.03004626062886658
49,qwen3-32b,0.16666666667,0.1374328249844604,3.0,0.0680413817445215,0.05826715823284042,0.03513641844543692
1,deepseek_r1_distill_llama_8b,0.15833333333333333,0.12400599128535948,4.0,0.06664930329440533,0.0650676286358762,0.014433756729740645
50,qwen3-4b,0.14166666666666666,0.11020152505444446,4.0,0.06366506687926073,0.0548778103979566,0.03227486121839514
39,qwen2-math-7b-instruct,0.13333333333333333,0.10674291938993465,2.0,0.06206328908341752,0.05235208439728777,0.03333333333333333
2,deepseek_r1_distill_qwen_1.5b,0.11666666666666667,0.09508169934640523,4.0,0.05861045286623526,0.05494104584478273,0.020412414523193152
14,google_gemma_3_4b_it,0.10666666666666667,0.08299564270147713,5.0,0.056358639943635054,0.0468883622929882,0.03126943839882286
47,qwen3-1.7b,0.075,0.060694444444411765,4.0,0.048088460154178364,0.03364438206364391,0.03435921354681384
38,qwen2-math-72b-instruct,0.05,0.03942265795205882,2.0,0.039791121287711076,0.027386127875258303,0.02886751345948129
19,llama-3.2-3B-instruct,0.03333333333333333,0.03300653594771242,10.0,0.032773069341672505,0.0327730693416725,0.0
8,google_gemma_2_27b_it,0.03333333333333333,0.02633442265797386,2.0,0.032773069341672505,0.02277100170213244,0.023570226039551584
42,qwen2.5-coder-14b-instruct,0.03333333333333333,0.02376906318078431,3.0,0.032773069341672505,0.03277306934167249,0.0
37,qwen2-math-1.5b-instruct,0.03333333333333333,0.024183006535947713,3.0,0.032773069341672505,0.03277306934167249,0.0
45,qwen2.5-coder-7b-instruct,0.016666666666666666,0.013104575163398694,4.0,0.023372982186625143,0.01138550085106622,0.020412414523193152
7,google_codegemma_1.1_7b_it,0.013333333333333334,0.013333333333333334,5.0,0.020940833758915107,0.013109227736669001,0.016329931618554522
26,mistralai_mixtral_8x7b_instruct_v0.1,0.011111111109999999,0.011111111109999999,3.0,0.0191377936031484,0.010924356446131732,0.015713484025974885
25,mistralai_mixtral_8x22b_instruct_v0.1,0.011111111109999999,0.009796659403508351,3.0,0.0191377936031484,0.010924356446131732,0.015713484025974885
21,mistralai_ministral_8b_instruct_2410,0.008333333333333333,0.00821078431372549,4.0,0.01659707694032184,0.008193267335418124,0.014433756729740645
9,google_gemma_2_9b_it,0.008333333333333333,0.00821078431372549,4.0,0.01659707694032184,0.008193267335418124,0.014433756729740645
46,qwen3-0.6b,0.006666666666666667,0.005860566448797386,5.0,0.014857346355952693,0.006554613868334501,0.013333333333333334
18,llama-3.2-1B-instruct,0.0,0.0,13.0,0.0,0.0,0.0
17,llama-3.1-8B-instruct,0.0,0.0,7.0,0.0,0.0,0.0
16,llama-3.1-70B-instruct,0.0,0.0,4.0,0.0,0.0,0.0
15,google_gemma_7b_it,0.0,0.0,4.0,0.0,0.0,0.0
12,google_gemma_3_1b_it,0.0,0.0,4.0,0.0,0.0,0.0
10,google_gemma_2b_it,0.0,0.0,4.0,0.0,0.0,0.0
6,deepseek_v2_lite_chat,0.0,0.0,3.0,0.0,0.0,0.0
20,mistralai_mathstral_7b_v0.1,0.0,0.0,4.0,0.0,0.0,0.0
35,qwen2-72b-instruct,0.0,0.0,2.0,0.0,0.0,0.0
34,qwen2-1.5b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
33,qwen2-0.5b-instruct,0.0,0.0,5.0,0.0,0.0,0.0
32,qwen1.5-7b-chat,0.0,0.0,3.0,0.0,0.0,0.0
31,qwen1.5-72b-chat,0.0,0.0,2.0,0.0,0.0,0.0
30,qwen1.5-32b-chat,0.0,0.0,3.0,0.0,0.0,0.0
29,qwen1.5-14b-chat,0.0,0.0,3.0,0.0,0.0,0.0
