,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.919831223628692,0.33733487769215553,2.0,0.010184082314224028,0.00937498133738295,0.0039780972218652465
48,qwen3-14b,0.8973277074551337,0.32110792433889224,3.0,0.011383278684033847,0.010373018330492796,0.004688232536216596
13,google_gemma_3_27b_it,0.8874824191293952,0.3155733585829847,3.0,0.011851007474108721,0.010597763303165517,0.0053041296290210595
35,qwen2-72b-instruct,0.8874824191279888,0.31585151172502,2.0,0.011851007474173397,0.01084885111369674,0.0047695710148560255
16,llama-3.1-70B-instruct,0.8776371308016878,0.312288225182102,4.0,0.01228987653787748,0.012289876537877482,0.0
0,deepseek_r1_distill_llama_70b,0.8741209563994374,0.3104487833575301,2.0,0.01244020918137915,0.011117680907470215,0.005581753820811373
51,qwen3-8b,0.8706047819974685,0.30457562302918756,3.0,0.01258736532829763,0.010983486882068412,0.006148559328774557
43,qwen2.5-coder-32b-instruct,0.8579465541490858,0.2963052590936405,2.0,0.013092458419727225,0.011780189890867597,0.00571310717625595
11,google_gemma_3_12b_it,0.8499765588374121,0.29041731397961706,3.0,0.013392086179619952,0.012332613757572004,0.005220594807961395
8,google_gemma_2_27b_it,0.8389592123769339,0.2867603393911007,2.0,0.013784898295577715,0.012564965845919193,0.005669660863782384
50,qwen3-4b,0.8340365682137834,0.2876382339150844,4.0,0.013952882894342399,0.012385027644576213,0.006426043207629066
4,deepseek_r1_distill_qwen_32b,0.8284106891701828,0.28554002003973966,2.0,0.014139471004233425,0.012624278906886702,0.00636806268504741
3,deepseek_r1_distill_qwen_14b,0.8241912798874824,0.27944520283485147,4.0,0.01427576576258451,0.011956970961206698,0.007799252114211968
31,qwen1.5-72b-chat,0.819268635724332,0.27521028101799316,2.0,0.014430956832771562,0.012660260790852558,0.006926060338815826
9,google_gemma_2_9b_it,0.8012189404604783,0.26446656799946794,3.0,0.014966777550634082,0.013319453393636235,0.0068261696100314255
42,qwen2.5-coder-14b-instruct,0.7909048288814347,0.2616691027095134,3.0,0.015251034897603143,0.012334869535588405,0.008969116956976424
30,qwen1.5-32b-chat,0.790436005625879,0.2599229659044207,2.0,0.01526359699742157,0.013656159759391513,0.006818115129980773
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7742616033755274,0.2696512782326591,2.0,0.01567876240639488,0.01334435112307821,0.008231153242418864
38,qwen2-math-72b-instruct,0.7510548523206751,0.2522285191618516,2.0,0.016216340716246013,0.01344902163392671,0.009060547627795446
26,mistralai_mixtral_8x7b_instruct_v0.1,0.7205813408353023,0.2303314856178917,3.0,0.01682807379400435,0.014207738301925055,0.009017995340454974
47,qwen3-1.7b,0.7137834036568214,0.23009535037628237,4.0,0.016951019714706278,0.014616795616796413,0.008584075679137625
29,qwen1.5-14b-chat,0.6994842944229255,0.2171943226427024,3.0,0.01719442948908501,0.014995810653819145,0.008412732510303682
17,llama-3.1-8B-instruct,0.6905766526019691,0.21177757554012025,7.0,0.01733595158264201,0.01733595158264201,0.0
36,qwen2-7b-instruct,0.6856540084388185,0.21452857983307616,4.0,0.017410918101261386,0.013453210128057544,0.011052203688819769
14,google_gemma_3_4b_it,0.6827004219409283,0.21381888714212846,5.0,0.017454806253690624,0.014981195072335002,0.00895734645743497
45,qwen2.5-coder-7b-instruct,0.669831223628692,0.20990929189289112,4.0,0.01763664176889585,0.013365561570347755,0.011507080289700121
21,mistralai_ministral_8b_instruct_2410,0.6652601969078762,0.20633845974709433,3.0,0.017697611117486467,0.013804336043275314,0.011074553971610354
1,deepseek_r1_distill_llama_8b,0.6068917018284107,0.18971760293415516,4.0,0.018317951509676692,0.013222029948511634,0.012677747100787585
24,mistralai_mistral_7b_instruct_v0.3,0.5988045007032349,0.18060910252508,4.0,0.018381703380953324,0.014817843714878766,0.010877431995962038
32,qwen1.5-7b-chat,0.5982184716357243,0.17826896972149378,3.0,0.018386120087062863,0.01530705906095342,0.010185448186524752
39,qwen2-math-7b-instruct,0.5872011251758087,0.189118129670904,4.0,0.018464089287155233,0.013588531021646429,0.012500976676955822
19,llama-3.2-3B-instruct,0.5850914205344585,0.17607484625343484,10.0,0.018477928071370137,0.018477928071370137,0.0
6,deepseek_v2_lite_chat,0.5464135021097046,0.16254906557075371,2.0,0.01867050091806651,0.016187749304404184,0.009302923034685622
20,mistralai_mathstral_7b_v0.1,0.5291842475386779,0.1588161753214004,4.0,0.01871949575635395,0.013209359047106167,0.013263949447158942
7,google_codegemma_1.1_7b_it,0.5234880450070324,0.15526019690567058,5.0,0.018730763662284558,0.014740296266240864,0.011557039991096562
23,mistralai_mistral_7b_instruct_v0.2,0.5218002812939522,0.1543692488714852,4.0,0.018733633184361838,0.014803860632077365,0.011480188268153661
44,qwen2.5-coder-3b-instruct,0.5175808720112518,0.15933475359190108,4.0,0.01873986975997189,0.013280176094553663,0.01322193788815975
5,deepseek_r1_distill_qwen_7b,0.4936708860759494,0.14823363944723533,4.0,0.018749962674765905,0.01372454488382687,0.012774896008850177
15,google_gemma_7b_it,0.4785513361462729,0.1436041247252689,4.0,0.018734204028705244,0.015171657037943122,0.010990506053507583
46,qwen3-0.6b,0.47172995780590715,0.1435317099178219,5.0,0.018721468858578012,0.014085903293156786,0.012332101387782263
