,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
41,qwen3-14b,0.8206624686433267,0.4136935706324678,3.0,0.004754381551955081,0.004325434322049054,0.0019735151043786953
7,google_gemma_3_12b_it,0.8153893411159269,0.41297931705397206,3.0,0.004808250146223936,0.0041958012292606164,0.0023483018360503827
9,llama-3.1-70B-instruct,0.8124712025802489,0.41354159394626017,4.0,0.004837423666073584,0.004837423666073585,0.0
43,qwen3-4b,0.7495008447243127,0.36752782587071153,4.0,0.0053698894937337744,0.004869703233803213,0.0022631181121627055
36,qwen2.5-coder-32b-instruct,0.7476578098602366,0.3670531338576554,2.0,0.005382976991063608,0.00470235260989544,0.0026199849653251394
42,qwen3-32b,0.7326063584702811,0.36243556940961047,2.0,0.00548513135210154,0.004840934137711957,0.0025791515318302357
44,qwen3-8b,0.7262069318590232,0.3524967459886373,3.0,0.005526085138023506,0.004992343995364361,0.0023694130886431934
18,mistralai_mixtral_8x22b_instruct_v0.1,0.7228536323145446,0.35003266616424056,2.0,0.005546971464024505,0.004810803942615391,0.002761350728976379
28,qwen2-72b-instruct,0.7183228382736907,0.35242514997955315,2.0,0.005574575574970408,0.004794262980023231,0.0028444569463142583
31,qwen2-math-72b-instruct,0.6856089694363385,0.33156293196151726,2.0,0.005753729907012281,0.004871230500677641,0.0030621105878324197
24,qwen1.5-72b-chat,0.65435416986638,0.3126274649429469,2.0,0.005893838758938546,0.005124752002819044,0.0029110568915719347
8,google_gemma_3_4b_it,0.6442021194900936,0.31249360057357445,5.0,0.00593319886994983,0.004980644792649267,0.003224286941298757
35,qwen2.5-coder-14b-instruct,0.6373828904958224,0.3033277018390276,3.0,0.0059579999999357204,0.004655616675804265,0.003717929177271575
23,qwen1.5-32b-chat,0.6088926432191676,0.2834315645319533,2.0,0.006047759444181997,0.005154403403168207,0.0031634664297413577
19,mistralai_mixtral_8x7b_instruct_v0.1,0.5829621665910766,0.2693492675181481,3.0,0.006110602951010526,0.0050764658490437785,0.003401317819373953
10,llama-3.1-8B-instruct,0.5473813546306251,0.2514172402881019,7.0,0.006168610838217826,0.006168610838217826,0.0
13,mistralai_mathstral_7b_v0.1,0.529974914248011,0.24107937383308042,3.0,0.006185350687420601,0.004716956277958848,0.004001110670576248
32,qwen2-math-7b-instruct,0.5194286591921364,0.23463056982829503,4.0,0.006191815972798844,0.004849027380098524,0.0038503919940782293
12,llama-3.2-3B-instruct,0.4991552756872984,0.22304945476889634,10.0,0.006196486914000996,0.0061964869140009975,0.0
40,qwen3-1.7b,0.4902856704039318,0.21493691619780556,4.0,0.006195326142459492,0.005443810160495806,0.0029575322395410403
14,mistralai_ministral_8b_instruct_2410,0.4720217068549224,0.21075656348382682,3.0,0.006186787104929457,0.004596161989345931,0.0041414526013722605
37,qwen2.5-coder-3b-instruct,0.4670557518046383,0.20840951559836657,4.0,0.006183030722534907,0.004474630247907876,0.004267030942039024
38,qwen2.5-coder-7b-instruct,0.4648543490500998,0.20741934007470011,3.0,0.00618116877046416,0.004569134681652949,0.004162914319305363
17,mistralai_mistral_7b_instruct_v0.3,0.4512363692203041,0.19470821717286677,3.0,0.0061669561558441,0.004956818007797661,0.0036689649038490774
6,deepseek_v2_lite_chat,0.4144524650591307,0.1840108580816941,2.0,0.006105125477668011,0.005120091663279849,0.0033252396090632727
22,qwen1.5-14b-chat,0.36753186914249725,0.1607823163271224,3.0,0.005975069723017406,0.004447071243678312,0.003990615935988921
15,mistralai_mistral_7b_instruct_v0.1,0.35780474069271995,0.15280405420935717,3.0,0.005940633297848107,0.00450138648350235,0.003876679469035843
16,mistralai_mistral_7b_instruct_v0.2,0.353350739771863,0.14473270952347309,3.0,0.005923979504582817,0.004799694759706069,0.0034722418384046023
30,qwen2-math-1.5b-instruct,0.32718988378390423,0.1392174703553394,3.0,0.0058146334516318435,0.004550286877998891,0.003620062361996979
39,qwen3-0.6b,0.3064813392720012,0.13248721278211958,4.0,0.005713565971948729,0.004321389726520419,0.003737703432234052
0,deepseek_r1_distill_llama_70b,0.30379358009522345,0.12897433480868634,2.0,0.005699469843990517,0.004652411613608472,0.003292267103398252
34,qwen2.5-coder-1.5b-instruct,0.2870910766395331,0.12521087565100356,4.0,0.0056066445642992705,0.0037370486219798307,0.004179585011379145
11,llama-3.2-1B-instruct,0.2752265397020427,0.12220467227959746,13.0,0.005535061469820034,0.005535061469820034,0.0
29,qwen2-7b-instruct,0.27307633235655043,0.11352245384010431,3.0,0.005521570066110664,0.004038351974114306,0.003765560957963158
5,deepseek_r1_distill_qwen_7b,0.25551630573607736,0.10401938289169665,3.0,0.005405216045970709,0.003973223965692641,0.00366467622336065
25,qwen1.5-7b-chat,0.22275124148398093,0.09245750004783941,3.0,0.005156633164855361,0.0036379116183942574,0.003654649730636069
1,deepseek_r1_distill_llama_8b,0.22108739056980495,0.08964590227258522,4.0,0.00514283400087589,0.003389334424252419,0.0038679650620374838
33,qwen2.5-coder-0.5b-instruct,0.2174013208416526,0.09772174594977905,4.0,0.005111834642060023,0.0033044015194254876,0.0039002287120351617
3,deepseek_r1_distill_qwen_14b,0.1915220396221318,0.07612013236162626,3.0,0.00487662795632458,0.003512597883399299,0.003382773467725146
4,deepseek_r1_distill_qwen_32b,0.1731684841038243,0.06939229881363095,2.0,0.0046894195639299065,0.0036587792486971137,0.0029332559138049883
27,qwen2-1.5b-instruct,0.11622638611580402,0.05083740860456544,4.0,0.003971906669013553,0.0023512151158015045,0.0032012232141137627
21,qwen1.5-1.8b-chat,0.11293708083297496,0.046632156302014956,3.0,0.00392257850365352,0.0026506087710743,0.002891521270893348
20,qwen1.5-0.5b-chat,0.1061280909230533,0.045664330294195574,4.0,0.0038170598800783082,0.0023357760011147696,0.0030189562104674067
26,qwen2-0.5b-instruct,0.09414836430655814,0.04280627364880473,4.0,0.003619187458925138,0.0021158535056654488,0.00293627004980881
2,deepseek_r1_distill_qwen_1.5b,0.08596989709722008,0.035624284427754435,4.0,0.003473998330054601,0.0020573726571067818,0.00279926457252821
