,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.741875,0.4878045343139057,2.0,0.015471606428188059,0.013775384948114882,0.007043392293490404
13,google_gemma_3_27b_it,0.689166666668375,0.4411998910688815,3.0,0.016363678231894257,0.013971417996615587,0.008518770124895728
42,qwen2.5-coder-14b-instruct,0.627083333334125,0.39677151416136147,3.0,0.017097142538619124,0.01357667749783237,0.010391636594190148
11,google_gemma_3_12b_it,0.6125,0.37675142973864156,4.0,0.017224392224400836,0.014327366732934561,0.009560661587986472
35,qwen2-72b-instruct,0.5375,0.32236254084972304,2.0,0.017627880970213068,0.015123192040703577,0.009057110466368399
16,llama-3.1-70B-instruct,0.53125,0.32118423202621565,4.0,0.017643109047869088,0.017643109047869084,0.0
8,google_gemma_2_27b_it,0.5275,0.31428431372553434,2.0,0.01765091180364346,0.015329454898984504,0.008749999999999999
25,mistralai_mixtral_8x22b_instruct_v0.1,0.484583333333,0.2873484477112562,3.0,0.017669264500428373,0.013908734952972386,0.010897247358579254
45,qwen2.5-coder-7b-instruct,0.466875,0.27554534313728735,4.0,0.017638832670240683,0.013614226675384469,0.011215224028078976
14,google_gemma_3_4b_it,0.43825000000000003,0.25407442810459757,5.0,0.017542339407131537,0.013642165219458383,0.011028372500056388
31,qwen1.5-72b-chat,0.43625,0.2518625408496789,2.0,0.017533394476683627,0.014670801677992923,0.00960143218483576
9,google_gemma_2_9b_it,0.42708333333200005,0.24107189542313853,3.0,0.01748868061497307,0.014539927964498739,0.009718253157832545
7,google_codegemma_1.1_7b_it,0.40549999999999997,0.2325508986927946,5.0,0.0173590664351514,0.012726436559382992,0.011805718953117595
50,qwen3-4b,0.3903125,0.22163664215687254,4.0,0.01724705236930901,0.014166279387322822,0.009837547649185747
44,qwen2.5-coder-3b-instruct,0.389375,0.22332393790850427,4.0,0.017239566024664022,0.012497480214777298,0.011875
30,qwen1.5-32b-chat,0.37541666666525,0.20615400326601216,3.0,0.017120126790389236,0.013694640768151804,0.010274023338024777
47,qwen3-1.7b,0.3721875,0.20992892156861828,4.0,0.017090346867594218,0.013411671215947977,0.010592782035423933
38,qwen2-math-72b-instruct,0.3575,0.20414746732026962,2.0,0.016944532672812197,0.013792831018322526,0.009842509842514764
29,qwen1.5-14b-chat,0.35374999999799994,0.19433918845108789,3.0,0.016904545893760906,0.013705728919415336,0.009895285072284215
0,deepseek_r1_distill_llama_70b,0.34125,0.18727982026142156,2.0,0.016762996357304383,0.014515011087663695,0.008385254915624212
3,deepseek_r1_distill_qwen_14b,0.3409375,0.1894684436274136,4.0,0.016759292985301842,0.012659716924844232,0.010982052119253486
21,mistralai_ministral_8b_instruct_2410,0.3215625,0.17236243872546017,4.0,0.016513632951055547,0.012403725931839494,0.010901727214070255
20,mistralai_mathstral_7b_v0.1,0.3215625,0.17196578839866788,4.0,0.016513632951055547,0.012599017004996362,0.0106754317828367
49,qwen3-32b,0.31333333333124996,0.17134899237294343,3.0,0.01639952573837037,0.013851393832896132,0.008779711460491123
36,qwen2-7b-instruct,0.31,0.165997344771212,4.0,0.016351605425767832,0.012183172308557406,0.010906205229134467
48,qwen3-14b,0.29666666666562497,0.15942116012989824,3.0,0.01614990540046334,0.014339146108236084,0.007430231041533831
17,llama-3.1-8B-instruct,0.27625,0.14850449346403677,7.0,0.01580885580537061,0.015808855805370607,0.0
15,google_gemma_7b_it,0.275625,0.15860620915033333,4.0,0.015797779091339073,0.011178570982855992,0.011162856937182344
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2612499999965,0.13816966230649783,3.0,0.015532161693496206,0.011913962032939363,0.009965217285668702
24,mistralai_mistral_7b_instruct_v0.3,0.2559375,0.13046017156857231,4.0,0.015428605579156774,0.011836074153501554,0.009896929763820696
41,qwen2.5-coder-1.5b-instruct,0.2396875,0.13126378676469547,4.0,0.015092937186965548,0.010162924489520104,0.011158481919598203
1,deepseek_r1_distill_llama_8b,0.2365625,0.1203085171568266,4.0,0.01502500763700929,0.01150190520053906,0.009667317686411263
32,qwen1.5-7b-chat,0.227499999998,0.11931386165414344,3.0,0.01482159530882683,0.011617119491537108,0.009204467514092606
19,llama-3.2-3B-instruct,0.2125,0.11571160130718382,10.0,0.014463045581757669,0.014463045581757669,0.0
6,deepseek_v2_lite_chat,0.21249999999612498,0.11007312091198697,3.0,0.014463045581661381,0.01069523355683679,0.009736101204379868
51,qwen3-8b,0.186249999998,0.1002716503252475,3.0,0.013764126266255743,0.010665679886100631,0.00870025542387462
40,qwen2.5-coder-0.5b-instruct,0.17975000000000002,0.10392312091504559,5.0,0.01357571073185489,0.00821126798216938,0.010810874155219828
23,mistralai_mistral_7b_instruct_v0.2,0.1728125,0.08834589460781496,4.0,0.013367326763593666,0.009050308340310152,0.009837547649185747
46,qwen3-0.6b,0.1545,0.08459370915031471,5.0,0.012778387515645313,0.008179987010992132,0.009817076958035931
10,google_gemma_2b_it,0.1534375,0.0938975694444804,4.0,0.012742371913901568,0.008613039431129264,0.009390612000822949
22,mistralai_mistral_7b_instruct_v0.1,0.13625,0.06839195261433763,4.0,0.012128784847419796,0.00799401631690854,0.009121574699579015
5,deepseek_r1_distill_qwen_7b,0.1196875,0.05919311683002757,4.0,0.011476192876110418,0.007639578468717204,0.00856386850377795
39,qwen2-math-7b-instruct,0.074375,0.03887561274509069,4.0,0.009276540261258504,0.005669916156236352,0.007342087577794206
34,qwen2-1.5b-instruct,0.0671875,0.03643739787581066,4.0,0.008851083256002482,0.005050707233119685,0.00726856459350813
18,llama-3.2-1B-instruct,0.03625,0.020674019607862745,13.0,0.006608322167918268,0.0066083221679182685,0.0
4,deepseek_r1_distill_qwen_32b,0.035,0.016634395424829657,2.0,0.006497595709183513,0.004763139720814412,0.004419417382415922
33,qwen2-0.5b-instruct,0.019500000000000003,0.010296732026144608,5.0,0.004888730663474928,0.0022692922905610904,0.004330127018922194
37,qwen2-math-1.5b-instruct,0.0184375,0.00915451388888848,4.0,0.004756253593132677,0.0025126389498269547,0.0040383899947875265
2,deepseek_r1_distill_qwen_1.5b,0.0178125,0.007220383986923407,4.0,0.004676432246348438,0.0026688808150023297,0.0038400642898264088
28,qwen1.5-1.8b-chat,0.010416666665624998,0.00616108387738144,3.0,0.003589596029012571,0.00205052288365219,0.002946278254870291
27,qwen1.5-0.5b-chat,0.00375,0.0016673202614357844,5.0,0.002161000202452559,0.0009591255783264255,0.0019364916731037087
12,google_gemma_3_1b_it,0.0009375,0.00048427287581740195,4.0,0.0010820241989842464,0.0005402500506131398,0.0009375
