,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.815,0.48544873366013974,2.0,0.013728392112698414,0.012413450366437206,0.005863019699779287
42,qwen2.5-coder-14b-instruct,0.7616666666682499,0.4393436819183031,3.0,0.015063638154290907,0.013037206372601895,0.007546154281592527
48,qwen3-14b,0.761666666667,0.44040904139410725,3.0,0.015063638154318045,0.01306381240094326,0.0074999999998125
13,google_gemma_3_27b_it,0.758750000000125,0.43600789760346303,3.0,0.015126484947763611,0.013565355882190929,0.006692657668253105
11,google_gemma_3_12b_it,0.694375,0.3858950163398505,4.0,0.0162872020070591,0.014212378380086495,0.007954951288348661
49,qwen3-32b,0.669375,0.3706924019607537,2.0,0.016632502419021318,0.015119300966603914,0.006931585316505885
16,llama-3.1-70B-instruct,0.65375,0.35429125816988727,4.0,0.016821152513279224,0.016821152513279224,0.0
35,qwen2-72b-instruct,0.60375,0.32117442810452573,2.0,0.0172929153665598,0.014889633033590855,0.00879452954966893
8,google_gemma_2_27b_it,0.599375,0.31585743464047306,2.0,0.017325003945706623,0.015629983580245695,0.007473912964438374
25,mistralai_mixtral_8x22b_instruct_v0.1,0.571875,0.29532250816988725,2.0,0.017494069865778804,0.015543144967114923,0.008028270361665707
50,qwen3-4b,0.569375,0.2961881127450521,4.0,0.017506681202293886,0.014870518626421539,0.009238590936934053
0,deepseek_r1_distill_llama_70b,0.554375,0.29003288398688726,2.0,0.017572825590062343,0.015328929323953123,0.0085923294280422
14,google_gemma_3_4b_it,0.5489999999999999,0.27996781045746766,5.0,0.017592576559446883,0.015074771971741396,0.009069178573608528
45,qwen2.5-coder-7b-instruct,0.50875,0.2541330678103922,4.0,0.017674962429238713,0.01467426265183365,0.009852426731521528
9,google_gemma_2_9b_it,0.46916666666750007,0.2252618464053254,3.0,0.017644025389476993,0.015462516280537835,0.008498365855775515
3,deepseek_r1_distill_qwen_14b,0.45875,0.24085835375813786,4.0,0.017617407495854776,0.012351540263262715,0.012562344526401113
31,qwen1.5-72b-chat,0.45875,0.2227920751633162,2.0,0.017617407495854776,0.015316389812060804,0.008705242673240075
30,qwen1.5-32b-chat,0.44875,0.2146200980391446,2.0,0.01758456132165372,0.015380524921958938,0.00852386356061616
44,qwen2.5-coder-3b-instruct,0.4446875,0.2130604575162408,4.0,0.017569167856779318,0.014093156687899538,0.010490881457246574
26,mistralai_mixtral_8x7b_instruct_v0.1,0.4141666666664999,0.19568504901864925,3.0,0.017415246154191315,0.014209219180773301,0.010069204977743747
1,deepseek_r1_distill_llama_8b,0.3928125,0.18909599673196875,4.0,0.017266689022643788,0.013198968465553946,0.011132195706598047
21,mistralai_ministral_8b_instruct_2410,0.391875,0.17842565359468077,4.0,0.017259380941063614,0.01368719677175535,0.010514127400787951
7,google_codegemma_1.1_7b_it,0.36150000000000004,0.16513488562081619,5.0,0.016985940877678813,0.013519326444020797,0.010283481900601566
17,llama-3.1-8B-instruct,0.34625,0.15953472222216666,7.0,0.016821152513279227,0.016821152513279224,0.0
20,mistralai_mathstral_7b_v0.1,0.344375,0.15375173611102513,4.0,0.016799585537112218,0.013042879253399151,0.010588171466310886
29,qwen1.5-14b-chat,0.33708333333299995,0.14939964596856214,3.0,0.016712950058342245,0.01367338979719912,0.00961046882865207
38,qwen2-math-72b-instruct,0.331875,0.16247896241823528,2.0,0.01664834767983748,0.013441841595136806,0.00982264602843857
36,qwen2-7b-instruct,0.324375,0.1437768586600429,4.0,0.016551278627911198,0.012582520582886007,0.010752906583803283
47,qwen3-1.7b,0.3153125,0.15629595588231923,4.0,0.016427512263872686,0.01122566269445539,0.01199365066399718
24,mistralai_mistral_7b_instruct_v0.3,0.3134375,0.1372097630718082,4.0,0.016401007346873164,0.012980938361389267,0.010024384332715899
4,deepseek_r1_distill_qwen_32b,0.276875,0.13385049019603065,2.0,0.01581989389878295,0.01246383440072717,0.009742785792574935
12,google_gemma_3_1b_it,0.2675,0.12018984885613358,4.0,0.015650229630903185,0.012717175885392165,0.009121574699579015
51,qwen3-8b,0.25916666666487503,0.11602287581560992,3.0,0.015491905368396933,0.012050206026514177,0.009736101204379868
46,qwen3-0.6b,0.24975000000000003,0.11152949346399706,5.0,0.015304204385560198,0.010693160050939104,0.010948744220229095
32,qwen1.5-7b-chat,0.2479166666655,0.10645383986799621,3.0,0.015266548114053459,0.012208182237545965,0.009166666666437501
15,google_gemma_7b_it,0.2465625,0.10793096405220587,4.0,0.015238497038493904,0.01252672436202647,0.008677152110571762
6,deepseek_v2_lite_chat,0.244166666665125,0.10492116012929542,3.0,0.015188371602757761,0.011834763704780493,0.009519716382091894
19,llama-3.2-3B-instruct,0.20625,0.08528553921561766,10.0,0.014305197372808248,0.014305197372808246,0.0
41,qwen2.5-coder-1.5b-instruct,0.19875,0.08578850081693505,4.0,0.01410888184354097,0.009593190130243434,0.010345590848279282
22,mistralai_mistral_7b_instruct_v0.1,0.17875,0.07621446078424264,4.0,0.013546145092793005,0.00954543002567197,0.009611597812018563
40,qwen2.5-coder-0.5b-instruct,0.16774999999999998,0.07280596405224167,5.0,0.013210314980158497,0.008965903293868387,0.009701803955966128
23,mistralai_mistral_7b_instruct_v0.2,0.160625,0.07014205473851041,4.0,0.012981939828806402,0.008464972635440117,0.009842509842514764
5,deepseek_r1_distill_qwen_7b,0.1215625,0.05315441176467953,4.0,0.011553411757666542,0.006944596244000618,0.009233304189183849
10,google_gemma_2b_it,0.0959375,0.0429311683006299,4.0,0.010412342201310303,0.007161561552286449,0.00755836663902989
37,qwen2-math-1.5b-instruct,0.0840625,0.034475898692785535,4.0,0.009810453359411456,0.005966612428102524,0.007787459871485695
18,llama-3.2-1B-instruct,0.07625,0.0305106209149951,13.0,0.00938322555814364,0.00938322555814364,0.0
34,qwen2-1.5b-instruct,0.0575,0.02293555964050674,4.0,0.00823056422731759,0.005131855171378086,0.006434768838116875
2,deepseek_r1_distill_qwen_1.5b,0.0559375,0.022637357026126226,4.0,0.008124692001373807,0.004495535437207396,0.006767627446158661
39,qwen2-math-7b-instruct,0.055,0.023442708333309435,4.0,0.008060319472576754,0.004411455258755324,0.0067459478577884075
27,qwen1.5-0.5b-chat,0.01725,0.00797663398692402,5.0,0.004603319115051661,0.0023591411307931536,0.003952847075210474
33,qwen2-0.5b-instruct,0.00525,0.002635539215684804,5.0,0.0025550042808183317,0.0011305073529172642,0.0022912878474779202
28,qwen1.5-1.8b-chat,0.00374999999975,0.0017102396512774236,3.0,0.0021610002023807967,0.0013755522880105123,0.0016666666666250002
