,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,qwen2.5-coder-14b-instruct,0.38633333333380004,0.29014732504349217,3.0,0.015397398770214241,0.012951700875141005,0.008326663997656365
36,qwen3-14b,0.36966666666610004,0.27282123899430283,3.0,0.01526477062461387,0.013626440800557854,0.0068799224800114335
8,google_gemma_3_12b_it,0.32225,0.22937324922886385,4.0,0.014778529612244922,0.013600273434751231,0.0057825167531101885
38,qwen3-8b,0.30033333333359996,0.2132332272990118,3.0,0.014495972620777424,0.012592762471727595,0.0071802197426665
37,qwen3-4b,0.2855,0.19938643845190593,4.0,0.014282498030806796,0.012262330528900288,0.007322909257938405
33,qwen2.5-coder-7b-instruct,0.28525,0.20422794847698816,4.0,0.014278740753301744,0.011443117472961641,0.008540345426269361
26,qwen2-7b-instruct,0.212,0.1409724877096737,4.0,0.012925014506761685,0.010632779504908393,0.007348469228349534
10,google_gemma_3_4b_it,0.1922,0.12331075862734317,5.0,0.012460303367093434,0.011248962618837347,0.005359104402789705
22,qwen1.5-14b-chat,0.18799999999900002,0.12290579814815819,3.0,0.01235540367609962,0.010487579956064348,0.006531972647258509
5,google_codegemma_1.1_7b_it,0.1864,0.12171080489685841,5.0,0.01231483008408967,0.009727026267056134,0.007552483035399683
16,mistralai_ministral_8b_instruct_2410,0.17675,0.11373056439175656,4.0,0.012062729272432503,0.009223444990891418,0.007774155902733107
32,qwen2.5-coder-3b-instruct,0.16825,0.10890832248893355,4.0,0.01182970572330521,0.008860272992408302,0.00783820770329544
15,mistralai_mathstral_7b_v0.1,0.168,0.10657976069984079,4.0,0.011822690049223147,0.00918700168716649,0.0074414380330686085
19,mistralai_mistral_7b_instruct_v0.3,0.16525,0.10570764772509342,4.0,0.011744889846226741,0.009480503019355038,0.006932712311931024
35,qwen3-1.7b,0.146,0.08755210261229802,4.0,0.011166198995181842,0.009489942044080142,0.00588430114796991
2,deepseek_r1_distill_qwen_14b,0.1395,0.09239821910547302,4.0,0.010956265330850654,0.008103378924868315,0.0073739406018763125
12,llama-3.1-8B-instruct,0.1389999999999,0.08712907268165902,7.0,0.010939789760316595,0.010911771400733827,0.0007824607964972443
4,deepseek_v2_lite_chat,0.136999999999,0.08398335261136347,3.0,0.010873407929406217,0.008869917950336193,0.00628932075454717
28,qwen2-math-7b-instruct,0.1335,0.08575218093311711,2.0,0.01075535912928992,0.008995985215639253,0.0058949130612757986
3,deepseek_r1_distill_qwen_7b,0.11775,0.07336778364179672,4.0,0.01019239606275188,0.007653263192913202,0.0067314560089181295
18,mistralai_mistral_7b_instruct_v0.2,0.11725,0.07174493927126316,4.0,0.010173614770571961,0.008074028579340056,0.006189709201569974
6,google_gemma_2_9b_it,0.10499999999819999,0.061878799561703016,3.0,0.009694070352466914,0.00847070113848121,0.0047140452077924664
30,qwen2.5-coder-1.5b-instruct,0.0855,0.05155344009061316,4.0,0.008842496819337851,0.006015791718468983,0.006480740698407861
23,qwen1.5-7b-chat,0.06766666666509999,0.039020522458843965,3.0,0.007942788483116886,0.00612636379374066,0.005055250295907986
14,llama-3.2-3B-instruct,0.0631,0.03388516965489684,10.0,0.007688848418326375,0.0076556116672673495,0.000714142842854285
34,qwen3-0.6b,0.0592,0.03135024195103211,5.0,0.0074629323995330414,0.005742417609334939,0.004766550115125195
17,mistralai_mistral_7b_instruct_v0.1,0.05825,0.03101309885290395,4.0,0.00740654693497584,0.005446965898553065,0.005018714974971183
0,deepseek_r1_distill_llama_8b,0.04825,0.029772451561598683,4.0,0.006776572695692123,0.004794208745976754,0.004789311015167004
11,google_gemma_7b_it,0.046,0.02215623313090395,4.0,0.006624499981130651,0.005874436143154507,0.0030618621784789723
9,google_gemma_3_1b_it,0.036,0.017444104251013816,4.0,0.005891010100144117,0.004995397882051038,0.003122498999199199
29,qwen2.5-coder-0.5b-instruct,0.0296,0.014858031617504737,5.0,0.00535946265963296,0.003487669709132446,0.004069397989875161
25,qwen2-1.5b-instruct,0.02925,0.015140742481200658,4.0,0.005328643119969661,0.0033848098174048117,0.004115519408288582
13,llama-3.2-1B-instruct,0.0149230769231,0.007856713900135617,13.0,0.0038341072883067893,0.0038248363077531826,0.00026646935497395694
1,deepseek_r1_distill_qwen_1.5b,0.01225,0.007301206140351315,4.0,0.0034784964424302636,0.002431550431309209,0.00248746859276655
27,qwen2-math-1.5b-instruct,0.011333333332799999,0.006055555555246593,3.0,0.00334737044385106,0.002329616086585675,0.002403700850249234
24,qwen2-0.5b-instruct,0.011200000000000003,0.004471228070175264,5.0,0.0033278461502900046,0.002143492477243622,0.002545584412271571
21,qwen1.5-1.8b-chat,0.0053333333331,0.0025823099413847953,3.0,0.0023032344406634,0.0015543487381902423,0.0016996731711551032
7,google_gemma_2b_it,0.0045,0.0019655701754394735,4.0,0.002116541991078845,0.001108940936208958,0.0018027756377319946
20,qwen1.5-0.5b-chat,0.0006000000000000001,0.00037587719298315793,5.0,0.0007743642553733999,0.0003458901559744075,0.0006928203230275509
