,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.9202898550749999,0.4209057971029533,3.0,0.02823743231818891,0.02368665632599646,0.015371886547149344
47,qwen3-14b,0.9021739130456522,0.4060193236725984,3.0,0.030972663905581843,0.02538200244366517,0.017749925671898124
50,qwen3-8b,0.8623188405815216,0.38531642512181585,3.0,0.035923387343862696,0.029054344850070603,0.02112663729963597
42,qwen2.5-coder-32b-instruct,0.8586956521739131,0.3772318840579239,2.0,0.03631645768846932,0.0329027385335649,0.015371886547533641
13,google_gemma_3_27b_it,0.8333333333326088,0.3560362318833848,3.0,0.03885436701008063,0.036050269460603274,0.014492753622826088
34,qwen2-72b-instruct,0.8206521739130435,0.3610289855072065,2.0,0.039997579188272965,0.03401107776689024,0.02104882253373596
4,deepseek_r1_distill_qwen_32b,0.8152173913043478,0.36444746376808695,2.0,0.04046442294315621,0.03581797286387462,0.018826639212705186
49,qwen3-4b,0.8125,0.34965670289846196,4.0,0.04069287807573896,0.032974622553020645,0.0238450119222612
0,deepseek_r1_distill_llama_70b,0.8097826086956522,0.35283876811586956,2.0,0.04091809626103532,0.03830838769252613,0.014379083212307558
11,google_gemma_3_12b_it,0.7880434782608695,0.3342735507245652,4.0,0.042609316524545575,0.036646474081805214,0.021739130434782608
3,deepseek_r1_distill_qwen_14b,0.7853260869565217,0.3395163043477554,4.0,0.04280758568774822,0.036976801049500754,0.021568624818461335
8,google_gemma_2_27b_it,0.782608695652174,0.3331521739129783,2.0,0.04300307435189915,0.03789126991355709,0.020335094493336637
24,mistralai_mixtral_8x22b_instruct_v0.1,0.7753623188445653,0.336799516909436,3.0,0.04351106722789341,0.03364250743274025,0.02759338081765766
41,qwen2.5-coder-14b-instruct,0.7608695652217392,0.31966304348046193,3.0,0.04447117653983513,0.03524976406070539,0.027113459323771013
9,google_gemma_2_9b_it,0.7228260869565217,0.30198641304339674,4.0,0.04666584904491821,0.03870857322346224,0.026064301757134346
30,qwen1.5-72b-chat,0.6684782608695652,0.2823786231883261,2.0,0.04908013363416469,0.040870991760085136,0.02717391304347826
