,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.5022321428571429,0.3363013392859018,2.0,0.02362254416271334,0.02039667701564563,0.011916381977713516
12,google_gemma_3_27b_it,0.4732142857142857,0.31775446428594645,1.0,0.023588857724106398,0.023588857724106394,0.0
15,llama-3.1-70B-instruct,0.453125,0.3035245535716027,4.0,0.0235187394117037,0.0235187394117037,0.0
47,qwen3-14b,0.43229166666428576,0.2790959821409913,3.0,0.023405183987593003,0.01993041825303653,0.012271147694983877
42,qwen2.5-coder-32b-instruct,0.39732142857142855,0.2552674851192009,2.0,0.023119309674866664,0.019811671317776492,0.011916381977713516
50,qwen3-8b,0.3898809523799107,0.2482301587293804,3.0,0.02304274925426092,0.019673091006632056,0.011997407363239574
34,qwen2-72b-instruct,0.36495535714285715,0.22999441964295983,2.0,0.022744845591304675,0.019723833585384064,0.011326887907468995
49,qwen3-4b,0.35825892857142855,0.22655171130962723,4.0,0.022653714447787063,0.019555080100735,0.011436328979865623
37,qwen2-math-72b-instruct,0.35267857142857145,0.2266830357144241,2.0,0.02257410399481924,0.017825975271586116,0.013850082194186224
10,google_gemma_3_12b_it,0.34988839285714285,0.22552139136917634,4.0,0.02253303653017195,0.017817687217381528,0.013793757917754772
29,qwen1.5-32b-chat,0.32254464285714285,0.20249107142864062,2.0,0.022084941349764707,0.01835824520339722,0.012276785714285714
46,qwen3-1.7b,0.3208705357142857,0.21120442708347545,4.0,0.022054753042180988,0.017655440158174687,0.01321732062759711
41,qwen2.5-coder-14b-instruct,0.3184523809479911,0.19983308531369415,3.0,0.022010572845821624,0.01632005558827593,0.014768923542249235
16,llama-3.1-8B-instruct,0.3169642857142857,0.20447916666679017,7.0,0.021983045785327785,0.021983045785327785,0.0
24,mistralai_mixtral_8x22b_instruct_v0.1,0.3158482142857143,0.19872581845249776,2.0,0.02196223015009436,0.01786515970694047,0.012774021364129015
8,google_gemma_2_9b_it,0.3058035714261161,0.18782936507748701,3.0,0.02176824702205664,0.01813316247252522,0.01204346283916219
25,mistralai_mixtral_8x7b_instruct_v0.1,0.3035714285689732,0.19463814483917977,3.0,0.021723496594658474,0.016342452885858984,0.014312041712195283
30,qwen1.5-72b-chat,0.30245535714285715,0.19001897321437053,2.0,0.021700894591420765,0.018307286631217275,0.011652127800123382
13,google_gemma_3_4b_it,0.3,0.1955199404763027,5.0,0.021650635094610963,0.01635415989644125,0.014187721948277415
19,mistralai_mathstral_7b_v0.1,0.2974330357142857,0.1928400297620145,4.0,0.0215972998157296,0.013814881274562537,0.0166009763176825
38,qwen2-math-7b-instruct,0.27901785714285715,0.18926562500013505,4.0,0.021190404485825976,0.012991141970449826,0.016741071428571428
28,qwen1.5-14b-chat,0.27678571428191967,0.17828373015569418,3.0,0.02113811842527824,0.016115239126048293,0.013679149040469208
7,google_codegemma_1.1_7b_it,0.2714285714285714,0.18337023809535002,5.0,0.021009941420288752,0.013249659630371632,0.016305341399776494
44,qwen2.5-coder-7b-instruct,0.26674107142857145,0.1750284598215413,4.0,0.02089462679999234,0.01303931464091712,0.01632671745349084
20,mistralai_ministral_8b_instruct_2410,0.26450892857142855,0.1716266741072567,4.0,0.020838663588935356,0.013398564997289662,0.01596021165856595
