,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
34,qwen2-72b-instruct,0.7933333333333333,0.46427111111131997,2.0,0.04675547106033768,0.04530718199955433,0.011547005383792516
13,google_gemma_3_27b_it,0.7200000000013334,0.4204162962971646,3.0,0.051845925587187446,0.04490428778807379,0.025915341754220122
37,qwen2-math-72b-instruct,0.7133333333333334,0.4121511111113067,2.0,0.05221607528834888,0.04234601734738681,0.030550504633038936
50,qwen3-8b,0.7022222222239998,0.40119259259379186,3.0,0.052802294500496505,0.04557379941854317,0.026666666666000004
49,qwen3-4b,0.7,0.39880111111120664,4.0,0.05291502622129182,0.04242640687119285,0.03162277660168379
47,qwen3-14b,0.6933333333333334,0.3902681481480812,3.0,0.05324437024665578,0.0485889790890135,0.021773242157528367
48,qwen3-32b,0.6577777777773333,0.37111999999947554,3.0,0.054785177172862666,0.04398578146684015,0.032659863236292545
42,qwen2.5-coder-32b-instruct,0.62,0.34825555555554666,2.0,0.05604759881862321,0.049746021616473665,0.025819888974716113
8,google_gemma_2_27b_it,0.58,0.31860444444453334,2.0,0.056991227395100034,0.04902607016226729,0.029059326290271158
11,google_gemma_3_12b_it,0.5733333333333334,0.31865888888897337,4.0,0.05711067877052092,0.04589198267752302,0.0339934634239519
41,qwen2.5-coder-14b-instruct,0.568888888888,0.3074162962955006,3.0,0.05718441757306231,0.04818619579370855,0.030792014356010245
24,mistralai_mixtral_8x22b_instruct_v0.1,0.56,0.30568148148128294,3.0,0.0573178273605458,0.0466814791312622,0.03325917677049245
30,qwen1.5-72b-chat,0.5533333333333333,0.3031644444445733,2.0,0.057405639160342144,0.05213088939994818,0.024037008503093264
29,qwen1.5-32b-chat,0.5511111111093333,0.29366074073915127,3.0,0.05743258707054377,0.051637227774301526,0.02514157444155982
28,qwen1.5-14b-chat,0.506666666668,0.27211851851907526,3.0,0.057729894688458454,0.04842609234495626,0.03142696805194977
44,qwen2.5-coder-7b-instruct,0.48,0.2642244444446,4.0,0.05768882040742383,0.04130106267128943,0.04027681991198191
38,qwen2-math-7b-instruct,0.47333333333333333,0.25452000000008,2.0,0.05765285640670245,0.0506783612234679,0.02748737083745107
35,qwen2-7b-instruct,0.46,0.2455688888891,4.0,0.05754997827975264,0.04738494838377829,0.032659863237109045
46,qwen3-1.7b,0.44333333333333336,0.22992333333334,4.0,0.05736304139878323,0.04750984303473528,0.03214550253664318
9,google_gemma_2_9b_it,0.44,0.24556777777787334,4.0,0.05731782736054581,0.041322579246164615,0.03972125095937662
31,qwen1.5-7b-chat,0.4311111111146667,0.23607703703896607,3.0,0.05718441757310514,0.047359234784775106,0.032049344669989786
19,mistralai_mathstral_7b_v0.1,0.3933333333333333,0.20689888888892669,4.0,0.05640593612049737,0.042732587963684975,0.03681787005729087
16,llama-3.1-8B-instruct,0.38666666666666666,0.20773333333338667,7.0,0.05623232232510119,0.056232322325101176,0.0
6,deepseek_v2_lite_chat,0.377777777772,0.21076740740355168,3.0,0.05598353667447237,0.04278378986185624,0.03610683735303494
23,mistralai_mistral_7b_instruct_v0.3,0.37666666666666665,0.1887988888889,4.0,0.055951036795742384,0.04746304605417502,0.029627314724385297
45,qwen3-0.6b,0.3733333333333333,0.20318133333335467,5.0,0.05585165536855114,0.041023931588317596,0.03790045440947172
20,mistralai_ministral_8b_instruct_2410,0.36666666666666664,0.1978311111111667,4.0,0.05564437344688406,0.03538151850686812,0.04294699575575042
14,google_gemma_3_4b_it,0.36,0.19559111111117866,5.0,0.055425625842204077,0.04525483399593903,0.032
18,llama-3.2-3B-instruct,0.32,0.16005777777778668,10.0,0.05386402633793108,0.053864026337931074,0.0
43,qwen2.5-coder-3b-instruct,0.31666666666666665,0.16454222222225334,4.0,0.05371391984565254,0.03661612678507573,0.03929942040850532
36,qwen2-math-1.5b-instruct,0.29777777777733333,0.16198518518458946,3.0,0.052802294500564576,0.0405265751357792,0.033847880469660065
25,mistralai_mixtral_8x7b_instruct_v0.1,0.2755555555493333,0.15308592592272918,3.0,0.05159130305975115,0.03842495759629621,0.03442651863209416
7,google_codegemma_1.1_7b_it,0.2613333333333333,0.14151555555565867,5.0,0.05073305591981389,0.033935538020499104,0.03771236166328254
40,qwen2.5-coder-1.5b-instruct,0.25,0.1432366666667267,4.0,0.05,0.02449489742783178,0.04358898943540673
15,google_gemma_7b_it,0.23666666666666666,0.11942666666668666,4.0,0.049078923589874514,0.04133691740733385,0.026457513110645904
22,mistralai_mistral_7b_instruct_v0.2,0.23333333333333334,0.11457222222216001,4.0,0.0488383577240798,0.03721807605432049,0.03162277660168379
33,qwen2-1.5b-instruct,0.21666666666666667,0.11671333333334666,4.0,0.04757061028579477,0.029186501192363767,0.037564758898615484
21,mistralai_mistral_7b_instruct_v0.1,0.2,0.10458222222223333,4.0,0.046188021535170064,0.028284271247461898,0.03651483716701108
17,llama-3.2-1B-instruct,0.18666666666666668,0.10097333333341334,13.0,0.04499218039055561,0.044992180390555594,0.0
10,google_gemma_2b_it,0.17666666666666667,0.10668666666684,4.0,0.044038703516423,0.033590122004784326,0.028480012484391772
26,qwen1.5-0.5b-chat,0.17333333333333334,0.11067644444451734,5.0,0.04370947858895732,0.02209742736827743,0.03771236166328254
0,deepseek_r1_distill_llama_70b,0.16666666666666666,0.08026222222226667,2.0,0.04303314829119352,0.03691832827963589,0.02211083193570267
39,qwen2.5-coder-0.5b-instruct,0.16266666666666668,0.10648800000005867,5.0,0.04261552490540229,0.019115865041799605,0.03808761828556187
32,qwen2-0.5b-instruct,0.16000000000000003,0.09527111111117334,5.0,0.04233202097703345,0.019595917942265423,0.037523326078587445
12,google_gemma_3_1b_it,0.16,0.10186777777782666,4.0,0.04233202097703345,0.03149603149604724,0.0282842712474619
27,qwen1.5-1.8b-chat,0.13777777776933334,0.07674370369827718,3.0,0.039798670283026215,0.024418841810347227,0.03142696805194977
4,deepseek_r1_distill_qwen_32b,0.12666666666666668,0.06599777777778668,2.0,0.03840524655516435,0.02843055216305684,0.025819888974716113
3,deepseek_r1_distill_qwen_14b,0.08666666666666667,0.04486000000002667,4.0,0.0324870344507991,0.017316230878913912,0.02748737083745107
5,deepseek_r1_distill_qwen_7b,0.07333333333333333,0.03169444444444667,4.0,0.030101064334572526,0.01930649478130975,0.023094010767585032
1,deepseek_r1_distill_llama_8b,0.07,0.03185444444446,4.0,0.029461839725312473,0.016706618781522218,0.024267032964268395
2,deepseek_r1_distill_qwen_1.5b,0.04666666666666667,0.02195222222222,4.0,0.02435539334901379,0.013899107352099456,0.02
