,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.9436441748802881,0.3264785991896573,3.0,0.006349669783895047,0.005879659039044907,0.0023974811676188952
48,qwen3-14b,0.9347990902202424,0.3216400653429598,3.0,0.006797724675280469,0.006198180488116268,0.002791347237025809
49,qwen3-32b,0.9336618650492797,0.32240655675952073,2.0,0.006852578846507123,0.00613330852231184,0.003056200814366395
16,llama-3.1-70B-instruct,0.9287338893100834,0.319124212737744,4.0,0.007083775317572385,0.007083775317572385,0.0
11,google_gemma_3_12b_it,0.9234268385140257,0.3142440549632572,4.0,0.007321787795140706,0.006461694814171134,0.0034431201904065486
51,qwen3-8b,0.9196360879460196,0.3104710606339658,3.0,0.0074854194229413,0.006730680562349093,0.00327558286492082
43,qwen2.5-coder-32b-instruct,0.9128127369219106,0.30835104827864396,2.0,0.007767745182965032,0.006758748372041314,0.003828470408780166
0,deepseek_r1_distill_llama_70b,0.9059893858984079,0.30908082970347484,2.0,0.008035771924992838,0.0069833273995798615,0.003975772737566913
8,google_gemma_2_27b_it,0.8976497346474602,0.2963144241773915,2.0,0.00834594545638077,0.007626203096045473,0.0033905503828654884
35,qwen2-72b-instruct,0.8949962092494314,0.3014171956372586,2.0,0.008440937587316892,0.007160685681476472,0.004469229007790597
50,qwen3-4b,0.8946171341925702,0.29596161183688996,4.0,0.008454369220084343,0.007790957354807692,0.0032828862918288047
9,google_gemma_2_9b_it,0.867576446804094,0.2797523541470647,3.0,0.009332845946487174,0.00807045236580919,0.004687196611202357
38,qwen2-math-72b-instruct,0.8438210765731615,0.2773790056834909,2.0,0.009995718086447784,0.007981385191975077,0.006017629972095354
14,google_gemma_3_4b_it,0.8326004548900683,0.26333729751676255,5.0,0.010279525326850081,0.008931966609284253,0.005088085439139505
31,qwen1.5-72b-chat,0.8267626990144048,0.2637469215634929,2.0,0.010420504460758874,0.008959822942783266,0.0053205719664966645
5,deepseek_r1_distill_qwen_7b,0.8191811978771797,0.2634244600037082,4.0,0.01059715737563805,0.007856085799527837,0.007112078483432039
30,qwen1.5-32b-chat,0.8165276724791509,0.26012675477050057,2.0,0.010657328222791956,0.009021658136496854,0.0056734759465867195
3,deepseek_r1_distill_qwen_14b,0.8125473843821076,0.2639092053296953,4.0,0.010746021444631425,0.008234391233318488,0.0069044752085242545
42,qwen2.5-coder-14b-instruct,0.8099570381640635,0.2613171660721333,3.0,0.010802754067619037,0.007810798708972135,0.007462634854619297
