,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8139215314632298,0.34343936905047634,2.0,0.0037885405411247327,0.0035324539500460224,0.0013692364742987006
48,qwen3-14b,0.8105888299219388,0.33996988252799626,3.0,0.0038144832271678752,0.00356764811918418,0.0013498774714864386
51,qwen3-8b,0.787212534749185,0.32436958125020887,3.0,0.00398429631467085,0.0036408957798358672,0.0016181764562225856
16,llama-3.1-70B-instruct,0.7728392721758909,0.31952899304763355,4.0,0.004078907211130214,0.004078907211130213,0.0
0,deepseek_r1_distill_llama_70b,0.7616565579984838,0.3142275168847657,1.0,0.004147761776384681,0.00414776177638468,0.0
13,google_gemma_3_27b_it,0.7506002021734078,0.30109972027703197,3.0,0.004211967348103998,0.004006023842059838,0.0013009388603398547
35,qwen2-72b-instruct,0.7437452615617892,0.2992814607518717,2.0,0.004249919138799228,0.003809170546456518,0.0018846836430393614
11,google_gemma_3_12b_it,0.7422289613347327,0.29454632602754255,3.0,0.004258127071962904,0.003957630153094707,0.001571244644318299
8,google_gemma_2_27b_it,0.7399545109931767,0.2952479039376789,1.0,0.004270313722511271,0.004270313722511272,0.0
50,qwen3-4b,0.736827141774365,0.2919865886711743,3.0,0.004286827074255969,0.003975461585341713,0.001603930032154254
43,qwen2.5-coder-32b-instruct,0.7347422289613343,0.2915277653894275,2.0,0.004297680911276472,0.003980337172139129,0.0016207952403797452
3,deepseek_r1_distill_qwen_14b,0.7099128127402957,0.28890557149590423,3.0,0.004417732239017827,0.0035707957195261113,0.002601110544569658
9,google_gemma_2_9b_it,0.7011309072534022,0.2715658298106595,3.0,0.00445628201614878,0.003946827777832523,0.002069057732297631
4,deepseek_r1_distill_qwen_32b,0.7005307050796058,0.2905551467490001,1.0,0.00445884470328039,0.004458844703280389,0.0
5,deepseek_r1_distill_qwen_7b,0.6860942633339461,0.27169378829032537,3.0,0.004517770123328957,0.003678682616077243,0.0026225066439219606
42,qwen2.5-coder-14b-instruct,0.6676459438985785,0.2553636229994674,3.0,0.004585706001816739,0.003782964812102052,0.002591886719263736
38,qwen2-math-72b-instruct,0.6629548900682335,0.2570681703308002,2.0,0.0046017032953698045,0.003956580659569931,0.002349711195643942
31,qwen1.5-72b-chat,0.6572687642153147,0.24988091964076523,2.0,0.004620414615274074,0.004087998129058674,0.002153253936220956
30,qwen1.5-32b-chat,0.6477918877937832,0.24592695620047406,2.0,0.004649968796539368,0.004046047536297891,0.002291660782665608
14,google_gemma_3_4b_it,0.6408500758150114,0.2344441409363022,4.0,0.004670342365920046,0.004200778821999775,0.0020409691579114644
25,mistralai_mixtral_8x22b_instruct_v0.1,0.6317285822592873,0.2414632235252193,2.0,0.004695500368720798,0.003976786058496735,0.002496576928036295
39,qwen2-math-7b-instruct,0.6202299722022934,0.2290751497713413,3.0,0.004724646572340896,0.003927440145263561,0.002626309033397386
1,deepseek_r1_distill_llama_8b,0.6200009476876421,0.2427179805455909,4.0,0.00472519833386475,0.003534489076204377,0.0031360622226847047
17,llama-3.1-8B-instruct,0.6056671721000758,0.22680488040529814,7.0,0.004757525150660903,0.004757525150660903,0.0
21,mistralai_ministral_8b_instruct_2410,0.596664139501213,0.2179565438757423,3.0,0.004775633560436965,0.003861511969445751,0.0028098756579961024
36,qwen2-7b-instruct,0.5918941117020754,0.21614540749274175,3.0,0.004784549466053102,0.003853675995310689,0.0028356824427772584
47,qwen3-1.7b,0.5864607025523597,0.21012150016210876,3.0,0.0047941372115254816,0.004299674970885814,0.002120506247968015
37,qwen2-math-1.5b-instruct,0.5678860247668593,0.20160155082089024,3.0,0.004822390282083016,0.004022973270214703,0.0026591604125864093
29,qwen1.5-14b-chat,0.5363280262827709,0.1869252449938174,3.0,0.004854598057480823,0.004008850448207725,0.0027379262925800803
45,qwen2.5-coder-7b-instruct,0.5194907758413286,0.1843569392199325,3.0,0.004863762876158231,0.003772268060440784,0.0030702089498392954
19,llama-3.2-3B-instruct,0.49649355572403336,0.1722852775173609,10.0,0.004867342792275772,0.004867342792275771,0.0
2,deepseek_r1_distill_qwen_1.5b,0.4960434040940106,0.18750789739686233,4.0,0.0048673100868840986,0.0034894629996427315,0.003393280927952774
20,mistralai_mathstral_7b_v0.1,0.47507581501110685,0.16373208684377843,3.0,0.004861411243272552,0.0037359952839798776,0.0031105720557956682
6,deepseek_v2_lite_chat,0.4670204700530705,0.1556891299605142,2.0,0.004856862759510058,0.004187581865531762,0.0024603402171620866
26,mistralai_mixtral_8x7b_instruct_v0.1,0.4478140005048995,0.1528056509422646,3.0,0.004840878002469114,0.003781442085351618,0.0030223824360793537
44,qwen2.5-coder-3b-instruct,0.40339903967558755,0.13098576238517975,3.0,0.004775754711189446,0.0036866257609660734,0.0030358892535844425
32,qwen1.5-7b-chat,0.4018511498595432,0.1310598327427757,3.0,0.0047727628161449735,0.0037771894582797373,0.0029175511470129387
7,google_codegemma_1.1_7b_it,0.3348180439727066,0.10039709196135828,4.0,0.004594172164130658,0.0035613552476837533,0.0029022692282881625
24,mistralai_mistral_7b_instruct_v0.3,0.3243934799067191,0.10447580072186279,3.0,0.0045573835784987575,0.0034850933063248477,0.0029366425944911787
12,google_gemma_3_1b_it,0.2890684230477635,0.08355372490773452,4.0,0.004413131185641275,0.0036773535514857754,0.0024398355926280183
46,qwen3-0.6b,0.28044446550416985,0.08399137232584503,4.0,0.004373087877091736,0.00341056603065929,0.0027371402834490675
23,mistralai_mistral_7b_instruct_v0.2,0.27937831690473847,0.08921126785993125,3.0,0.0043679999012848575,0.003388715471469062,0.002756089728410658
41,qwen2.5-coder-1.5b-instruct,0.2645628000980667,0.08119406784490489,3.0,0.0042940766731862775,0.003211258317314386,0.002850774367550282
18,llama-3.2-1B-instruct,0.1897270659590599,0.056150802499296486,12.0,0.0038169187923807724,0.003816918792380772,0.0
15,google_gemma_7b_it,0.18458586050037906,0.052993585764981734,4.0,0.0037767735241626453,0.0029113997646045037,0.002405778390350359
22,mistralai_mistral_7b_instruct_v0.1,0.15968536769866376,0.050693339839097726,3.0,0.003566039365356157,0.0025408264678825282,0.002502166584257998
34,qwen2-1.5b-instruct,0.15229340408984077,0.05137055453766995,3.0,0.003497807760865664,0.0024182815913802187,0.0025271670456785446
28,qwen1.5-1.8b-chat,0.11618650492492416,0.04813277661202391,3.0,0.0031195414950492685,0.002225664845985451,0.0021858534106107812
40,qwen2.5-coder-0.5b-instruct,0.07100549658832449,0.02391970577084179,4.0,0.0025002599569653307,0.0015524779099377326,0.001959875555120693
33,qwen2-0.5b-instruct,0.0660538286580743,0.025631969839999713,4.0,0.0024179233515034437,0.0014245623533612134,0.0019537081243449867
10,google_gemma_2b_it,0.062049848369977255,0.01809343983356756,4.0,0.0023485123589530943,0.0016633480294104839,0.001657945606228289
27,qwen1.5-0.5b-chat,0.054112964366944655,0.03201264079052526,4.0,0.002202434026707346,0.0014554072579101866,0.0016530291454238445
