,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
46,qwen3-32b,0.2679611650460194,0.227520676013593,3.0,0.019516384904837914,0.015140543955539576,0.01231475572166006
11,google_gemma_3_12b_it,0.2606796116504854,0.2192696534522148,4.0,0.01934488978055498,0.015358997719787644,0.01176120528115118
45,qwen3-14b,0.2576051779916505,0.21726087738056674,3.0,0.01927041851226752,0.015539635128971444,0.011395997968426433
47,qwen3-4b,0.22281553398058251,0.18527676645106897,4.0,0.0183371219749802,0.01425160938842203,0.011538703227189041
32,qwen2-72b-instruct,0.22135922330097088,0.1854321736787136,2.0,0.01829421456431958,0.01526033840840095,0.010089616354770159
40,qwen2.5-coder-32b-instruct,0.21165048543689322,0.1750583198491262,2.0,0.01799970644049835,0.015031947890882514,0.009901008764257835
48,qwen3-8b,0.1883495145590291,0.1564097896405372,3.0,0.01722912272160514,0.013677814620286841,0.010476643401834296
39,qwen2.5-coder-14b-instruct,0.151456310676699,0.1232380438665822,3.0,0.015797093049094567,0.01160865684094239,0.010713880489859563
27,qwen1.5-32b-chat,0.1456310679584466,0.12109987414370972,3.0,0.015543403683411592,0.01166304661088993,0.010274762372809502
8,google_gemma_2_27b_it,0.13203883495145632,0.11045577130538835,2.0,0.014917545609837737,0.012736052325466821,0.007766990291262136
28,qwen1.5-72b-chat,0.13009708737864079,0.1073159385114199,2.0,0.014824005409374199,0.01201430246191826,0.008683759135921513
14,google_gemma_7b_it,0.11941747572815534,0.10129972357078378,4.0,0.014289444961865932,0.011285684326782966,0.008764791303528053
13,google_gemma_3_4b_it,0.11533980582524272,0.09417880258910681,5.0,0.014075837247162867,0.010020022472511221,0.009885764707850762
9,google_gemma_2_9b_it,0.0912621359223301,0.07573708872716828,4.0,0.012689982171502715,0.00927896937902714,0.008656579854430586
42,qwen2.5-coder-7b-instruct,0.08737864077669903,0.0702090075513127,4.0,0.012443551292237863,0.007963050017209513,0.00956199786582146
26,qwen1.5-14b-chat,0.08608414239106796,0.0709827849662993,3.0,0.012359789392419893,0.008890019525211618,0.008586730848601901
23,mistralai_mixtral_8x22b_instruct_v0.1,0.08478964401029127,0.0671094030901532,3.0,0.012275190883288283,0.008819650082918906,0.008537803209024692
35,qwen2-math-72b-instruct,0.07961165048543689,0.06285497572821602,2.0,0.011928072101683255,0.010317958107875403,0.00598486796404755
44,qwen3-1.7b,0.06990291262135923,0.05504432982745752,4.0,0.011235907715493532,0.008376226214568747,0.007488955641039569
15,llama-3.1-8B-instruct,0.06601941747572816,0.055188106796205505,7.0,0.010942111934014046,0.010942111934014044,0.0
7,google_codegemma_1.1_7b_it,0.06330097087378642,0.051587108953687705,5.0,0.01073004654938124,0.006008881587293455,0.008889726712434638
21,mistralai_mistral_7b_instruct_v0.2,0.06165048543689321,0.052095974919157566,4.0,0.010598562192492585,0.006614806736303988,0.008280933062733972
22,mistralai_mistral_7b_instruct_v0.3,0.06116504854368932,0.04965193500544599,4.0,0.010559483418184228,0.0068852137394428345,0.008006030341005166
33,qwen2-7b-instruct,0.06019417475728155,0.04818736515647856,4.0,0.010480757780593847,0.0061431015461854655,0.008491677516765
31,qwen2-1.5b-instruct,0.05631067961165048,0.04909654800436893,4.0,0.010157955127651797,0.006060613894768233,0.008151871662012944
36,qwen2-math-7b-instruct,0.05631067961165048,0.04320152373251214,2.0,0.010157955127651797,0.008434203665126885,0.005661118344510001
29,qwen1.5-7b-chat,0.054368932035339795,0.04548116684348789,3.0,0.00999154509220014,0.006285287196932593,0.007766990291067961
6,deepseek_v2_lite_chat,0.053721682844660196,0.045298004312238536,3.0,0.009935291967506926,0.0063292664945206805,0.007658355706086362
3,deepseek_r1_distill_qwen_14b,0.050970873786407765,0.03873280744339502,4.0,0.009691638254797788,0.006892387361214002,0.00681343147942631
41,qwen2.5-coder-3b-instruct,0.04757281553398058,0.03842165587921623,4.0,0.009379759530334136,0.005771423231503328,0.007393954471712532
17,llama-3.2-3B-instruct,0.04660194174757282,0.03864010248117314,10.0,0.009288284799172614,0.009288284799172613,0.0
16,llama-3.2-1B-instruct,0.04660194174757282,0.038974514563155344,13.0,0.009288284799172614,0.009288284799172613,0.0
4,deepseek_r1_distill_qwen_32b,0.04660194174757282,0.03538598975192557,2.0,0.009288284799172614,0.007363692932217734,0.005661118344510001
12,google_gemma_3_1b_it,0.04563106796116505,0.03567607200651598,4.0,0.009195701148229572,0.0064188400655724375,0.006584786391383755
10,google_gemma_2b_it,0.04466019417475728,0.03712951726003034,4.0,0.009101974738369845,0.0070608135025817965,0.005743766779708365
0,deepseek_r1_distill_llama_70b,0.043689320388349516,0.03314758629992314,2.0,0.009007069895457546,0.007710227116731469,0.004656147110012348
18,mistralai_mathstral_7b_v0.1,0.04271844660194175,0.034203580097128844,4.0,0.008910948967352183,0.005338991703077672,0.007134436144028674
19,mistralai_ministral_8b_instruct_2410,0.0383495145631068,0.03046588457393103,4.0,0.008462232404841825,0.004827145836874017,0.006950398574405997
34,qwen2-math-1.5b-instruct,0.03559870550038834,0.026293374684356163,3.0,0.008164740397669117,0.00624607923112217,0.005258277284422563
25,qwen1.5-1.8b-chat,0.034304207118058254,0.02825939410146714,3.0,0.008020293253246848,0.005240146041372431,0.006071735611270122
43,qwen3-0.6b,0.03184466019417476,0.024488807982776698,5.0,0.007737260473421926,0.004643070308145409,0.006189272796314263
30,qwen2-0.5b-instruct,0.031456310679611646,0.027010652642966832,5.0,0.007691479486758196,0.004040705208770412,0.006544582348098143
20,mistralai_mistral_7b_instruct_v0.1,0.031067961165048542,0.02575967502700344,4.0,0.007645386063908415,0.0044503365930815934,0.006216625473235775
5,deepseek_r1_distill_qwen_7b,0.02766990291262136,0.020109223300986044,4.0,0.007227815658620853,0.005506901516065546,0.004681383864559687
1,deepseek_r1_distill_llama_8b,0.018932038834951457,0.014334546925578479,4.0,0.006005437138483621,0.00382377016718911,0.004630772822412358
37,qwen2.5-coder-0.5b-instruct,0.018640776699029128,0.01470442286949191,5.0,0.005959946918230754,0.0032381506946922273,0.005003533486106845
24,qwen1.5-0.5b-chat,0.018640776699029124,0.015642529665601132,5.0,0.005959946918230754,0.0029454771728870937,0.005181228762767508
38,qwen2.5-coder-1.5b-instruct,0.017961165048543688,0.01386208872709648,4.0,0.0058523187004914275,0.003375156792747284,0.00478099893291073
2,deepseek_r1_distill_qwen_1.5b,0.012135922330097087,0.008645833333346481,4.0,0.004824822894137773,0.002903968042341266,0.0038530358898998893
