,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.40185185185166666,0.38780394790381834,3.0,0.03654274065430877,0.0320426265970014,0.017568209222718456
8,google_gemma_2_27b_it,0.2222222222222222,0.21087246642250002,2.0,0.030987408390150947,0.02582652903885436,0.017123372230469378
14,google_gemma_3_4b_it,0.18000000000000002,0.16972559218560668,5.0,0.02863564212655271,0.024550275953290547,0.014740554623801777
9,google_gemma_2_9b_it,0.15,0.14088663512415833,4.0,0.026614532371118854,0.020469037141045043,0.017010345435994292
18,llama-3.2-3B-instruct,0.08944444444444445,0.08239130647131888,10.0,0.021271281605132038,0.02070511987470884,0.004874980215217845
16,llama-3.1-8B-instruct,0.07777777777722222,0.07087836792786632,7.0,0.019962241449137486,0.019418421920303144,0.004627739599280931
11,google_gemma_3_12b_it,0.075,0.07089232804234168,4.0,0.019632031648982914,0.01557786099201106,0.01194767398200365
7,google_codegemma_1.1_7b_it,0.05,0.04620031339031556,5.0,0.016244657241348274,0.009670497325294005,0.013052600138300813
15,google_gemma_7b_it,0.029166666666666667,0.02643518518518889,4.0,0.012542366474877198,0.00947605005745316,0.008216777476527245
17,llama-3.2-1B-instruct,0.026495726495555556,0.024849633699477826,13.0,0.011970728877146833,0.011739654944543638,0.00234069469030225
24,mistralai_mixtral_8x22b_instruct_v0.1,0.025925925924444447,0.02403280423137738,3.0,0.011844776694439497,0.007615392845827526,0.009072184232303486
12,google_gemma_3_1b_it,0.006944444444444444,0.006362962962963889,4.0,0.006189695350518953,0.0036380170475698408,0.005007710104811096
42,qwen2.5-coder-32b-instruct,0.002777777777777778,0.002777777777777778,2.0,0.003922911141539789,0.0027700509817873316,0.002777777777777778
48,qwen3-32b,0.0018518518516666665,0.0017592592590833333,3.0,0.003204530210313505,0.0018467006543402182,0.0026189140043291477
10,google_gemma_2b_it,0.001388888888888889,0.0012902777777777778,4.0,0.0027758480951706054,0.0013850254908936658,0.0024056261216234406
3,deepseek_r1_distill_qwen_14b,0.0,0.0,4.0,0.0,0.0,0.0
2,deepseek_r1_distill_qwen_1.5b,0.0,0.0,4.0,0.0,0.0,0.0
0,deepseek_r1_distill_llama_70b,0.0,0.0,2.0,0.0,0.0,0.0
1,deepseek_r1_distill_llama_8b,0.0,0.0,4.0,0.0,0.0,0.0
6,deepseek_v2_lite_chat,0.0,0.0,3.0,0.0,0.0,0.0
5,deepseek_r1_distill_qwen_7b,0.0,0.0,4.0,0.0,0.0,0.0
4,deepseek_r1_distill_qwen_32b,0.0,0.0,2.0,0.0,0.0,0.0
19,mistralai_mathstral_7b_v0.1,0.0,0.0,4.0,0.0,0.0,0.0
22,mistralai_mistral_7b_instruct_v0.2,0.0,0.0,4.0,0.0,0.0,0.0
23,mistralai_mistral_7b_instruct_v0.3,0.0,0.0,4.0,0.0,0.0,0.0
21,mistralai_mistral_7b_instruct_v0.1,0.0,0.0,4.0,0.0,0.0,0.0
20,mistralai_ministral_8b_instruct_2410,0.0,0.0,4.0,0.0,0.0,0.0
27,qwen1.5-1.8b-chat,0.0,0.0,3.0,0.0,0.0,0.0
28,qwen1.5-14b-chat,0.0,0.0,3.0,0.0,0.0,0.0
29,qwen1.5-32b-chat,0.0,0.0,3.0,0.0,0.0,0.0
30,qwen1.5-72b-chat,0.0,0.0,2.0,0.0,0.0,0.0
31,qwen1.5-7b-chat,0.0,0.0,3.0,0.0,0.0,0.0
32,qwen2-0.5b-instruct,0.0,0.0,5.0,0.0,0.0,0.0
25,mistralai_mixtral_8x7b_instruct_v0.1,0.0,0.0,3.0,0.0,0.0,0.0
26,qwen1.5-0.5b-chat,0.0,0.0,5.0,0.0,0.0,0.0
34,qwen2-72b-instruct,0.0,0.0,2.0,0.0,0.0,0.0
33,qwen2-1.5b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
37,qwen2-math-72b-instruct,0.0,0.0,2.0,0.0,0.0,0.0
35,qwen2-7b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
38,qwen2-math-7b-instruct,0.0,0.0,2.0,0.0,0.0,0.0
39,qwen2.5-coder-0.5b-instruct,0.0,0.0,5.0,0.0,0.0,0.0
40,qwen2.5-coder-1.5b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
36,qwen2-math-1.5b-instruct,0.0,0.0,3.0,0.0,0.0,0.0
41,qwen2.5-coder-14b-instruct,0.0,0.0,3.0,0.0,0.0,0.0
43,qwen2.5-coder-3b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
45,qwen3-0.6b,0.0,0.0,5.0,0.0,0.0,0.0
44,qwen2.5-coder-7b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
46,qwen3-1.7b,0.0,0.0,4.0,0.0,0.0,0.0
47,qwen3-14b,0.0,0.0,3.0,0.0,0.0,0.0
49,qwen3-4b,0.0,0.0,4.0,0.0,0.0,0.0
50,qwen3-8b,0.0,0.0,3.0,0.0,0.0,0.0
