,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
39,qwen3-32b,0.7853598014888338,0.3537533539108969,2.0,0.020452073353385024,0.018096055217438966,0.009529957503559066
38,qwen3-14b,0.751861042183871,0.3283288614524661,3.0,0.02151610946076633,0.0191971644088451,0.009716575785092678
26,qwen2-72b-instruct,0.7468982630272953,0.32952147511564484,1.0,0.021658369789087424,0.021658369789087424,0.0
9,llama-3.1-70B-instruct,0.739454094292804,0.3257449212210858,4.0,0.021864785057801355,0.021864785057801355,0.0
41,qwen3-8b,0.721257237385856,0.3104208275327392,3.0,0.022335432626909495,0.01899143233595938,0.011755724072122895
0,deepseek_r1_distill_llama_70b,0.7196029776674938,0.3052336137506506,2.0,0.02237590716236738,0.02110131685917507,0.007444168734491315
40,qwen3-4b,0.6991315136476427,0.29936780043993527,4.0,0.022846267987872638,0.01966917178261384,0.01162220471165955
4,deepseek_r1_distill_qwen_32b,0.6873449131513648,0.2879501301217727,2.0,0.02309232110648755,0.02107070306432948,0.009448850007275321
33,qwen2.5-coder-32b-instruct,0.6861042183622829,0.2883752950433759,2.0,0.023117201651109802,0.020988241351745554,0.009690136074325874
7,google_gemma_3_12b_it,0.6823821339950372,0.28511468861597467,2.0,0.023190694912391983,0.02132334069273097,0.009117207479341853
3,deepseek_r1_distill_qwen_14b,0.640818858560794,0.25928680223535827,4.0,0.023898568178381773,0.019978041775542514,0.013115616942844896
18,mistralai_mixtral_8x22b_instruct_v0.1,0.6377171215880894,0.25663368234183564,2.0,0.023943377914551568,0.021930023538057113,0.009610380511680935
32,qwen2.5-coder-14b-instruct,0.6095947063697271,0.2427081442029934,3.0,0.02430109925807273,0.020780328740496547,0.012598466676052132
22,qwen1.5-14b-chat,0.5756823821320098,0.2241787541931,3.0,0.02461979760943597,0.022530373421596868,0.009925558312406949
19,mistralai_mixtral_8x7b_instruct_v0.1,0.5748552522727046,0.22133625182261946,3.0,0.02462607160103353,0.02310679898315647,0.008515823110611755
27,qwen2-7b-instruct,0.5645161290322581,0.2190138998164619,4.0,0.02469856331877717,0.021356185849681835,0.01240694789081886
35,qwen2.5-coder-7b-instruct,0.5341191066997518,0.20349386713472586,4.0,0.0248487177853947,0.021014068118468,0.0132615126094491
10,llama-3.1-8B-instruct,0.5186104218362283,0.20010994774967017,7.0,0.024889515276865365,0.02488951527686536,0.0
37,qwen3-1.7b,0.5074441687344913,0.20106719925769082,4.0,0.024904013466290176,0.01998291660190468,0.014862467184504888
23,qwen1.5-7b-chat,0.4913151364751861,0.1834379013752762,3.0,0.024903016506648553,0.02207796034747267,0.011520585836919693
17,mistralai_mistral_7b_instruct_v0.3,0.48883374689826303,0.17834407593453672,4.0,0.02490056228209388,0.022065505071361582,0.01153912855939099
8,google_gemma_3_4b_it,0.47344913151364765,0.18134701123692065,5.0,0.02487163328751524,0.02085340457355158,0.013554838991312816
16,mistralai_mistral_7b_instruct_v0.2,0.47022332506203474,0.17544306925702657,4.0,0.02486256763796639,0.023559180877241907,0.00794432287522686
13,mistralai_mathstral_7b_v0.1,0.4646401985111663,0.18142765639818736,4.0,0.02484441334661866,0.019230148525768355,0.0157304247309007
14,mistralai_ministral_8b_instruct_2410,0.4596774193548387,0.17475286973715426,4.0,0.024825649581565554,0.018048976571036237,0.017045448714682488
6,deepseek_v2_lite_chat,0.445409429280397,0.17080231596369605,2.0,0.024757878140024395,0.021674765026370828,0.011964827246889524
1,deepseek_r1_distill_llama_8b,0.4392059553349876,0.1634895297464247,4.0,0.024721981866902686,0.018109137264125955,0.01682960293579471
12,llama-3.2-3B-instruct,0.4392059553349876,0.16741511831991768,8.0,0.024721981866902686,0.024721981866902686,0.0
5,deepseek_r1_distill_qwen_7b,0.4137717121588089,0.15676985616014194,4.0,0.024533598897804498,0.018054742501908055,0.01661095265384105
29,qwen2-math-7b-instruct,0.40529363109826305,0.15874740260850037,3.0,0.024455900640795804,0.019612195420817383,0.014610026246661792
34,qwen2.5-coder-3b-instruct,0.3573200992555831,0.13738904355551354,4.0,0.023871161932733136,0.016398006467440662,0.017347557635371668
36,qwen3-0.6b,0.35037220843672456,0.13661118844443745,5.0,0.023765371099637105,0.019659034115465532,0.013353472999576885
15,mistralai_mistral_7b_instruct_v0.1,0.3399503722084367,0.13047217010636386,4.0,0.02359627954880525,0.016539312971488716,0.01682960293579471
25,qwen2-1.5b-instruct,0.3225806451612903,0.12272387984428373,4.0,0.023286028811030212,0.016703736381035637,0.01622418961615635
11,llama-3.2-1B-instruct,0.2704714640198511,0.11312211261074866,11.0,0.02212734692215547,0.022127346922155466,0.0
31,qwen2.5-coder-1.5b-instruct,0.25806451612903225,0.11333797333017309,4.0,0.02179689813592049,0.013168042779977775,0.017369727047146403
21,qwen1.5-1.8b-chat,0.25806451612481385,0.1061631261445255,3.0,0.021796898135804304,0.0156161506941949,0.015206597444491824
28,qwen2-math-1.5b-instruct,0.22001654259081885,0.0981436650557966,3.0,0.020635635152735834,0.014336496545045856,0.014842314676987387
30,qwen2.5-coder-0.5b-instruct,0.20297766749379653,0.09971494280703867,5.0,0.020035807523235114,0.008986751312949895,0.01790731369991932
2,deepseek_r1_distill_qwen_1.5b,0.20285359801488834,0.0871830176118668,4.0,0.020031242086347073,0.01211930036301034,0.015949082049854145
24,qwen2-0.5b-instruct,0.198014888337469,0.09086041679279429,5.0,0.019850870332012743,0.010362115285415753,0.01693173410345606
20,qwen1.5-0.5b-chat,0.19205955334987596,0.09295567794393635,5.0,0.01962253485754424,0.009537898164640778,0.017148538504388085
