,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.8546666666668,0.44888212121206506,3.0,0.01576144381428687,0.013514634043748027,0.008110350040194869
48,qwen3-32b,0.815,0.41616145454553605,2.0,0.01736519507520719,0.014918109799837242,0.008888194417315589
4,deepseek_r1_distill_qwen_32b,0.811,0.417756484848564,2.0,0.01750879778854048,0.015085025687747434,0.008888194417315589
47,qwen3-14b,0.8066666666664001,0.40975836363604373,3.0,0.017661005382237957,0.015344923156236917,0.008743251365517419
0,deepseek_r1_distill_llama_70b,0.789,0.399542969697036,2.0,0.01824713676169497,0.015810060088437362,0.0091104335791443
11,google_gemma_3_12b_it,0.7833333333339999,0.39382834343449236,3.0,0.018424018140560137,0.015996527401042737,0.009140872800306205
50,qwen3-8b,0.7826666666686,0.3923607878801646,3.0,0.018444487282354184,0.016047817435601387,0.009092121131096602
49,qwen3-4b,0.771,0.38343304545459406,4.0,0.018791434218813633,0.01589396111735523,0.010024968827881712
3,deepseek_r1_distill_qwen_14b,0.7626666666675999,0.38501525252558677,3.0,0.019026624620343567,0.0156422220645277,0.01083205120591048
42,qwen2.5-coder-32b-instruct,0.744,0.362627121212162,2.0,0.01951737687293044,0.017404826916691814,0.008831760866327847
5,deepseek_r1_distill_qwen_7b,0.7273333333349999,0.3599210101018831,3.0,0.019915800539009113,0.01603382535644622,0.011813363430817566
38,qwen2-math-7b-instruct,0.707,0.336233787878782,2.0,0.02035440984160435,0.018146680137149054,0.009219544457292887
41,qwen2.5-coder-14b-instruct,0.6720000000015999,0.31228824242473185,3.0,0.020995999618948828,0.01778728634617088,0.011155467020175454
1,deepseek_r1_distill_llama_8b,0.671,0.327156409090927,4.0,0.021012329713765675,0.016401768197362138,0.013133925536563697
46,qwen3-1.7b,0.654,0.304397560606076,4.0,0.021273645667821018,0.017918370461624013,0.011467344941179715
14,google_gemma_3_4b_it,0.6505,0.30978569696971403,4.0,0.02132368401566671,0.01823319774477313,0.01105667219374799
2,deepseek_r1_distill_qwen_1.5b,0.6465,0.30271656060609703,4.0,0.021379324124022256,0.01708290080753266,0.01285496013218244
16,llama-3.1-70B-instruct,0.634,0.293925348484842,4.0,0.021542701780417423,0.02147295974010104,0.0017320508075688774
35,qwen2-72b-instruct,0.63,0.286710484848468,2.0,0.021591665058535898,0.01934424979160474,0.00959166304662544
37,qwen2-math-1.5b-instruct,0.615,0.276569818181854,2.0,0.021761204010807857,0.01924967532193725,0.01014889156509222
44,qwen2.5-coder-7b-instruct,0.5373333333338,0.23355183838339943,3.0,0.022298261018392773,0.01843581056311081,0.01254325848117094
8,google_gemma_2_27b_it,0.528,0.22052684848477203,1.0,0.02232559069767248,0.022325590697672478,0.0
36,qwen2-7b-instruct,0.4573333333328,0.18508521212032206,3.0,0.0222791182749906,0.01814519220091825,0.012927146286120366
17,llama-3.1-8B-instruct,0.45066666666640004,0.18659724242402947,6.0,0.0222515717297541,0.022136425486804237,0.0022607766611400506
9,google_gemma_2_9b_it,0.4493333333326,0.17823945454468995,3.0,0.022245578836650425,0.019904750968447103,0.009933109616919232
25,mistralai_mixtral_8x22b_instruct_v0.1,0.438,0.17900236363632,2.0,0.02218810492133116,0.018769976025557415,0.011832159566199233
43,qwen2.5-coder-3b-instruct,0.408,0.168698999999974,4.0,0.021978898971513564,0.016660492189608325,0.01433527118683145
20,mistralai_mathstral_7b_v0.1,0.398,0.16085539393842507,3.0,0.02189045454073533,0.017207001159355004,0.013531855419784664
21,mistralai_ministral_8b_instruct_2410,0.39799999999939994,0.15835959595839189,3.0,0.02189045454072974,0.01784105128962166,0.012684198393309861
19,llama-3.2-3B-instruct,0.38339999999999996,0.15078454545455322,10.0,0.021744168873516413,0.021591870692462014,0.002569046515733026
31,qwen1.5-72b-chat,0.379,0.146926363636292,2.0,0.02169603650439407,0.019123754861428238,0.010246950765959599
30,qwen1.5-32b-chat,0.371,0.146000545454478,2.0,0.02160365709781564,0.018431440529703583,0.011269427669584645
45,qwen3-0.6b,0.315999999999,0.12261177777683564,3.0,0.020791536739723306,0.01631152285304327,0.012892719736886826
29,qwen1.5-14b-chat,0.2833333333304,0.10100967676579256,3.0,0.020152198666859376,0.016623276853174287,0.01139200499347191
40,qwen2.5-coder-1.5b-instruct,0.262,0.09636890909086,4.0,0.019664994279175372,0.01448143639284446,0.013304134695650071
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2333333333306,0.08162826262444643,3.0,0.018915014612071075,0.014772346537577719,0.011813363430817566
18,llama-3.2-1B-instruct,0.20472727272740002,0.07332490909092855,11.0,0.01804516647354636,0.017982772288329157,0.0014993111365231963
6,deepseek_v2_lite_chat,0.189,0.06456227272721801,2.0,0.01750879778854048,0.01495185607207346,0.0091104335791443
7,google_codegemma_1.1_7b_it,0.186,0.061992272727216004,4.0,0.017401379255679705,0.013576008249850176,0.01088577052853862
32,qwen1.5-7b-chat,0.1593333333312,0.052636707069332524,3.0,0.016367420213385414,0.012836718168425364,0.010154364140898018
12,google_gemma_3_1b_it,0.1355,0.059242606060588,4.0,0.015306191557667114,0.010978592806002052,0.01066536450385077
24,mistralai_mistral_7b_instruct_v0.3,0.10466666666459999,0.03391585858472768,3.0,0.013690256064363552,0.010321541659219254,0.008993825041929849
23,mistralai_mistral_7b_instruct_v0.2,0.08999999999700001,0.030629838382539045,3.0,0.012798437404428714,0.009393851416927041,0.008692269873386225
39,qwen2.5-coder-0.5b-instruct,0.06,0.023776393939389,4.0,0.010620734437881403,0.006542170893518451,0.008366600265340756
15,google_gemma_7b_it,0.0575,0.018575999999967,4.0,0.010410931754650974,0.00759193651185256,0.007123903424387504
34,qwen2-1.5b-instruct,0.0465,0.015364393939394,4.0,0.009416766961117812,0.005951932459294208,0.007297259759663212
22,mistralai_mistral_7b_instruct_v0.1,0.0413333333316,0.014228525251957511,3.0,0.008902234425951594,0.006048397400143641,0.006531972647258509
33,qwen2-0.5b-instruct,0.0205,0.007555484848483,4.0,0.00633715235732896,0.0036618984147570237,0.0051720402163943
28,qwen1.5-1.8b-chat,0.0086666666662,0.0029266666664423333,3.0,0.004145251634122343,0.0027212742112666752,0.003126943839804113
10,google_gemma_2b_it,0.0035,0.001044999999998,4.0,0.0026411171878581987,0.0013135828866120325,0.0022912878474779202
27,qwen1.5-0.5b-chat,0.003,0.0014458333333339998,4.0,0.0024458127483517624,0.0012173742234826562,0.0021213203435596424
