,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,google_gemma_3_27b_it,0.8646,0.503304969604956,2.0,0.0048387361986369955,0.004451220956097327,0.0018973665961010276
44,qwen3-14b,0.824,0.4698139057751398,2.0,0.005385610457506187,0.004868757541714314,0.0023021728866442675
10,google_gemma_3_12b_it,0.80166666666766,0.45180064167573675,3.0,0.005639099612910255,0.00496962998848581,0.0026649994787742667
46,qwen3-4b,0.78133333333392,0.4358937284704196,3.0,0.005845537709316834,0.0051156926326202485,0.0028284271246754793
47,qwen3-8b,0.7777,0.43443021276599025,2.0,0.00588018214003614,0.005237035611870517,0.0026739483914241875
45,qwen3-32b,0.7517,0.42214654508615557,2.0,0.006109780847133554,0.005141927848579752,0.0033
13,google_gemma_3_4b_it,0.71515,0.38664345744681494,4.0,0.0063829535091523264,0.005559639871430522,0.0031356817440550307
0,deepseek_r1_distill_llama_70b,0.7094,0.40700625126647233,1.0,0.006421084643578529,0.006421084643578528,0.0
5,deepseek_r1_distill_qwen_7b,0.68386666667272,0.3911355555588214,3.0,0.00657560717936622,0.0047388171051592045,0.004558752265827033
1,deepseek_r1_distill_llama_8b,0.65573333333802,0.36972396825619747,3.0,0.006719332241933407,0.004897446409517884,0.004600483066307953
43,qwen3-1.7b,0.6298000000009201,0.32845453900735216,3.0,0.006828644960748232,0.005820972885516897,0.00357024742364298
3,deepseek_r1_distill_qwen_14b,0.599000000003,0.3409336102682312,3.0,0.0069310749526953755,0.005058306699644708,0.0047384948382593675
2,deepseek_r1_distill_qwen_1.5b,0.59033333333722,0.32010479567871564,3.0,0.0069547090361594096,0.005079280351573134,0.004750672466899865
15,llama-3.1-70B-instruct,0.5854666666669599,0.29800890577520506,3.0,0.006967000055817981,0.00693887445243652,0.0006253887679608226
4,deepseek_r1_distill_qwen_32b,0.5784,0.32619300911855237,1.0,0.006983601363193636,0.006983601363193636,0.0
39,qwen2.5-coder-32b-instruct,0.5438,0.2780495035460349,1.0,0.007043884723645043,0.0070438847236450434,0.0
34,qwen2-72b-instruct,0.5408,0.2665007598783638,1.0,0.007047486927976525,0.007047486927976524,0.0
8,google_gemma_2_9b_it,0.43979999999956,0.20009918946229746,3.0,0.007019629050027459,0.006173390280559231,0.0033413237562209116
30,qwen1.5-72b-chat,0.4194,0.1919407294831685,1.0,0.0069785906886706,0.0069785906886706,0.0
