,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
32,qwen3-14b,0.7293333333334001,0.35854477124177686,3.0,0.019869887882028505,0.018789216765706183,0.006463573143060183
6,google_gemma_3_12b_it,0.6945,0.33120294117630145,4.0,0.020599502421175128,0.019393027097387352,0.006946221994724902
27,qwen2.5-coder-14b-instruct,0.6813333333336,0.33986895424810476,3.0,0.020838340731551806,0.017901359352634708,0.0106666666664
34,qwen3-8b,0.6533333333332,0.30173660130691654,3.0,0.021283274601852496,0.019632173140681136,0.008219218670419822
0,deepseek_r1_distill_llama_70b,0.641,0.2893686274508765,2.0,0.0214531582756479,0.01952531689883675,0.008888194417315589
33,qwen3-4b,0.6405,0.29079387254889855,4.0,0.021459718078297302,0.01999423666960057,0.007794228634059948
7,google_gemma_3_4b_it,0.6032000000000001,0.26255450980378586,5.0,0.0218792029105267,0.02037202788138677,0.007979974937304
16,mistralai_mixtral_8x22b_instruct_v0.1,0.6013333333358001,0.2644941176481653,3.0,0.02189664611556097,0.01886551233231511,0.011115554666744156
29,qwen2.5-coder-7b-instruct,0.573,0.26684632352928234,4.0,0.022121075923200482,0.016877262811249932,0.014300349646075091
3,deepseek_r1_distill_qwen_14b,0.533,0.2211901960783088,4.0,0.022311925062620662,0.018716890767432503,0.01214495780149112
8,llama-3.1-8B-instruct,0.522,0.21017352941162354,7.0,0.0223390241505756,0.0223390241505756,0.0
17,mistralai_mixtral_8x7b_instruct_v0.1,0.49133333333499996,0.1931696078432942,3.0,0.022357320451651525,0.01967132148317929,0.010624918300073862
24,qwen2-7b-instruct,0.4805,0.18727720588221175,4.0,0.022343668006842565,0.018788014796672903,0.012093386622447825
28,qwen2.5-coder-3b-instruct,0.4795,0.19913946078419853,4.0,0.02234187771875945,0.017361149155513872,0.014062361110425234
31,qwen3-1.7b,0.478,0.18485514705867354,4.0,0.0223390241505756,0.02023689699533997,0.00946044396421225
10,llama-3.2-3B-instruct,0.458,0.17284117647045294,8.0,0.022281651644346298,0.022281651644346295,0.0
12,mistralai_ministral_8b_instruct_2410,0.4485,0.16746789215670002,4.0,0.02224175127996894,0.018260490135809607,0.012698425099200295
11,mistralai_mathstral_7b_v0.1,0.411,0.147086029411625,4.0,0.022003590616079004,0.01772450281390144,0.013038404810405298
5,deepseek_v2_lite_chat,0.4033333333336,0.14564052287498477,3.0,0.021938803775758017,0.018510657591006348,0.011775681154809405
20,qwen1.5-14b-chat,0.372,0.1229323529404351,3.0,0.021615549958305478,0.01889470237350377,0.010498677165086616
15,mistralai_mistral_7b_instruct_v0.3,0.368,0.12075122549007646,4.0,0.021567382780485905,0.018197582256992275,0.011575836902790225
1,deepseek_r1_distill_llama_8b,0.3425,0.11843382352929265,4.0,0.02122233493280134,0.01690081358988377,0.012835497652993437
14,mistralai_mistral_7b_instruct_v0.2,0.3405,0.11312867647044707,4.0,0.021192439689662917,0.017673978046834845,0.0116940155635265
26,qwen2.5-coder-1.5b-instruct,0.328,0.1133073529410647,4.0,0.02099599961897504,0.015694967346254658,0.013946325680981354
4,deepseek_r1_distill_qwen_7b,0.323,0.11549975490184854,4.0,0.020912723399882666,0.015853769267905975,0.013638181696985855
21,qwen1.5-7b-chat,0.3193333333322,0.09958692810321396,3.0,0.020849918731503297,0.01789000962686602,0.010708252269204969
9,llama-3.2-1B-instruct,0.262,0.08061666666657646,11.0,0.019664994279175372,0.01966499427917537,0.0
25,qwen2.5-coder-0.5b-instruct,0.25,0.07902647058813647,5.0,0.019364916731037084,0.014219704638282751,0.013145341380123987
30,qwen3-0.6b,0.24080000000000001,0.06904117647049647,5.0,0.019121472746627025,0.015600984584313901,0.011056219968868203
13,mistralai_mistral_7b_instruct_v0.1,0.2285,0.06627475490185442,4.0,0.0187769939021133,0.014188921734931095,0.012298373876248842
23,qwen2-1.5b-instruct,0.1245,0.02995563725486324,4.0,0.014764806128087154,0.010758694158679295,0.010111874208078343
2,deepseek_r1_distill_qwen_1.5b,0.112,0.028578431372514704,4.0,0.014103616557464968,0.010412108335971153,0.009513148795220224
19,qwen1.5-1.8b-chat,0.07133333333179999,0.015815032679248008,3.0,0.011510420399583526,0.00874584345720575,0.0074833147733608
22,qwen2-0.5b-instruct,0.06720000000000001,0.014372156862721178,5.0,0.011196799542726486,0.007283427764452669,0.00850411665018772
18,qwen1.5-0.5b-chat,0.0112,0.001791960784307059,5.0,0.004706285159231217,0.002666293307196341,0.0038781438859330636
