,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.8915151515155637,0.4347075440117387,3.0,0.005930380522322636,0.005330189406452678,0.002599710374423155
48,qwen3-32b,0.8898545454545455,0.43272253679652023,2.272727272727273,0.005970029187942346,0.005376495424562183,0.002595100278321717
11,google_gemma_3_12b_it,0.8623896103902546,0.41212954689789333,3.3636363636363638,0.006569177900169284,0.00581131358446337,0.0030631246639835036
0,deepseek_r1_distill_llama_70b,0.858,0.4115152251081904,2.1818181818181817,0.006656124998826269,0.005787407247172787,0.0032878438763682045
47,qwen3-14b,0.8442424242430909,0.3962960634923774,3.0,0.006914994336453075,0.006176533148405283,0.0031092740213478826
8,google_gemma_2_27b_it,0.8247272727272728,0.3881878268397709,1.0,0.007250133499638783,0.007250133499638785,0.0
50,qwen3-8b,0.8009696969700728,0.36475108225110303,3.0,0.0076137970817515355,0.006726537472580811,0.00356701550768347
34,qwen2-72b-instruct,0.7937272727272727,0.35886146753239256,2.1818181818181817,0.007715964306816881,0.006939448097278049,0.0033734500573235405
4,deepseek_r1_distill_qwen_32b,0.7935454545454546,0.36102003030294966,2.1818181818181817,0.007718479975551061,0.006858406742847648,0.0035407894716637175
9,google_gemma_2_9b_it,0.7784242424251272,0.35454299567112774,3.0,0.007919594600046693,0.006812594123019554,0.004038383332979691
42,qwen2.5-coder-32b-instruct,0.773,0.3456239220778367,2.1818181818181817,0.007987968225001672,0.007156874981731357,0.0035477847820159737
16,llama-3.1-70B-instruct,0.7701818181818182,0.3576854199133789,4.0,0.008022735537185825,0.008022735537185827,0.0
49,qwen3-4b,0.7372727272727273,0.32066648051936036,4.0,0.008392673274243694,0.007477167850755368,0.0038116827805884782
37,qwen2-math-72b-instruct,0.7372727272727273,0.32726838528129637,2.1818181818181817,0.008392673274243694,0.007265264766422549,0.0042015345484695795
3,deepseek_r1_distill_qwen_14b,0.7370735930740727,0.3230902180992923,3.3636363636363638,0.008394719367597033,0.0072336247132298755,0.004259810649413742
14,google_gemma_3_4b_it,0.7123636363636363,0.3129248095237131,4.0,0.00863190036909419,0.007179904337525538,0.004791521437492523
24,mistralai_mixtral_8x22b_instruct_v0.1,0.6802181818181818,0.288618356709832,2.272727272727273,0.008893744623807714,0.00770363330908094,0.004444404040220383
41,qwen2.5-coder-14b-instruct,0.6487272727287272,0.2691617777778683,3.0,0.009103050404755435,0.007608448167261549,0.004997703788502525
30,qwen1.5-72b-chat,0.6367272727272727,0.25987885714272113,2.1818181818181817,0.00917121292449293,0.008012102791058372,0.004462886439503119
29,qwen1.5-32b-chat,0.5857818181818182,0.23504332294357091,2.272727272727273,0.009393256375418222,0.00812248440673424,0.0047178927919882
5,deepseek_r1_distill_qwen_7b,0.5801731601729819,0.22948800412203596,3.3636363636363638,0.009411255628484579,0.007847772331073168,0.005194632031657785
46,qwen3-1.7b,0.5485454545454546,0.210570761904604,4.0,0.009489579717544256,0.008151614406392354,0.004858323351231777
35,qwen2-7b-instruct,0.5264588744591636,0.19936956009016707,3.3636363636363638,0.009521266683537328,0.007863082918233484,0.0053690265672673545
20,mistralai_ministral_8b_instruct_2410,0.5103549783544364,0.1920712273748477,3.3636363636363638,0.009532580961643248,0.007839385076468402,0.005423480562621004
19,mistralai_mathstral_7b_v0.1,0.5093679653681454,0.2006564807249123,3.3636363636363638,0.009532952251386884,0.007403748079975119,0.006005138882281325
44,qwen2.5-coder-7b-instruct,0.5079307359309091,0.18867549288746654,3.3636363636363638,0.009533426426433261,0.007807262459197111,0.005471094252654359
25,mistralai_mixtral_8x7b_instruct_v0.1,0.4444848484848727,0.1671048080798542,3.0,0.009475673503570795,0.00758057755218278,0.005685352436007478
17,llama-3.1-8B-instruct,0.44,0.16843686580071418,7.0,0.009465727652959385,0.009465727652959386,0.0
28,qwen1.5-14b-chat,0.4347878787882909,0.15614088311613322,3.0,0.009453183768581392,0.007744541736381566,0.005420770854409426
38,qwen2-math-7b-instruct,0.43254545454545457,0.15377928571410926,4.0,0.009447460155031966,0.007529443532548885,0.005706310845990987
1,deepseek_r1_distill_llama_8b,0.4041818181818182,0.1421407359305678,4.0,0.009357911111762998,0.007370945051631425,0.005765385452984701
7,google_codegemma_1.1_7b_it,0.3836363636363636,0.14005543290030836,4.0,0.009272824501191766,0.007153695330004655,0.0058999929962138
6,deepseek_v2_lite_chat,0.3716,0.12983427359294147,2.272727272727273,0.009214878088277575,0.0076165280044765285,0.005186760003975793
18,llama-3.2-3B-instruct,0.35163636363636364,0.12644683982673455,10.0,0.00910520792843222,0.00910520792843222,0.0
43,qwen2.5-coder-3b-instruct,0.3430909090909091,0.11456034199117963,4.0,0.009052966107406359,0.00696905772610488,0.005778272211662073
31,qwen1.5-7b-chat,0.2935757575744,0.09304221644887788,3.0,0.008684134585846602,0.00697246695473071,0.005176765212976672
2,deepseek_r1_distill_qwen_1.5b,0.2721818181818182,0.08451625541113036,4.0,0.008487399773847815,0.006803226352651326,0.00507464935889195
12,google_gemma_3_1b_it,0.2595454545454545,0.08377666233756127,4.0,0.008359678366371583,0.0066438257605304874,0.0050738350045003
23,mistralai_mistral_7b_instruct_v0.3,0.24464069263905452,0.07908314079460312,3.3636363636363638,0.00819737483797295,0.006145455330607876,0.005424973088756783
22,mistralai_mistral_7b_instruct_v0.2,0.2388051948036,0.07993274128940867,3.3636363636363638,0.008130241497887315,0.0061481467142818335,0.005319879584505128
45,qwen3-0.6b,0.21918181818181817,0.068430844155738,4.0,0.007888798704730434,0.006187971900665515,0.004893071505744687
36,qwen2-math-1.5b-instruct,0.20036363636363635,0.05991172294361128,4.0,0.0076328964974409375,0.006039535162055436,0.004667453691997613
15,google_gemma_7b_it,0.1779090909090909,0.05790996536789564,4.0,0.007292772169782943,0.0057282305377764214,0.004513524213565967
40,qwen2.5-coder-1.5b-instruct,0.1698181818181818,0.048853683982598,4.0,0.007159989003093351,0.005164339377123049,0.004959338798903947
21,mistralai_mistral_7b_instruct_v0.1,0.12136796536639999,0.03484600700821943,3.3636363636363638,0.00622714825580028,0.0045156298981867795,0.004287943798875884
33,qwen2-1.5b-instruct,0.08154545454545455,0.022957428571388907,4.0,0.0052187004090509925,0.0034213898257278853,0.003940675782126044
10,google_gemma_2b_it,0.050545454545454546,0.018874398268400365,4.0,0.004177455143994984,0.0027417598696037357,0.0031518065133381303
39,qwen2.5-coder-0.5b-instruct,0.03463636363636364,0.010814701298688,4.0,0.0034869463562061513,0.002144017588543754,0.0027499060840462134
27,qwen1.5-1.8b-chat,0.033696969695127275,0.010869910533175858,3.0,0.0034410085164615725,0.0022673365636335777,0.002588382606488336
32,qwen2-0.5b-instruct,0.029727272727272727,0.009485549783541273,4.0,0.003238605871974773,0.00191582519448087,0.0026111648393354675
26,qwen1.5-0.5b-chat,0.014181818181818183,0.005996835497836909,4.0,0.002254748058078655,0.0012235652601742721,0.00189387878690906
