,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.6902842420212766,0.39285540012054476,2.0,0.004215282827011866,0.003850677571212837,0.0017149027827429643
41,qwen3-14b,0.6719996675531915,0.3778586175508004,2.0,0.004280088601998415,0.003991782191785645,0.0015442905731434546
44,qwen3-8b,0.6246675531914894,0.34246208343461954,2.0,0.004414318017046605,0.004109618335579706,0.0016115956972793646
9,llama-3.1-70B-instruct,0.6029753989361702,0.33168794200365503,3.0,0.004460562142692092,0.004460562142692092,0.0
28,qwen2-72b-instruct,0.6005651595744681,0.3266293041792393,1.0,0.004465130198490844,0.004465130198490843,0.0
36,qwen2.5-coder-32b-instruct,0.5928357712765957,0.31909588949718104,1.0,0.0044790209816149154,0.004479020981614916,0.0
7,google_gemma_3_12b_it,0.5843860815601147,0.3115121565556818,3.0,0.004492892855020355,0.004033642275992944,0.001978842135193057
43,qwen3-4b,0.5773215868797872,0.3102804873037796,3.0,0.004503446635552365,0.004084102460784297,0.001897666643297384
18,mistralai_mixtral_8x22b_instruct_v0.1,0.4709109042553192,0.23892229622551275,2.0,0.0045505602343600465,0.003912715705256238,0.0023234143531406853
3,deepseek_r1_distill_qwen_32b,0.4660904255319149,0.23233671698729827,1.0,0.004547786139785033,0.004547786139785033,0.0
24,qwen1.5-72b-chat,0.46534242021276595,0.23653385794478568,1.0,0.004547317460954216,0.004547317460954215,0.0
2,deepseek_r1_distill_qwen_14b,0.44744570035497844,0.21979702905036108,3.0,0.004533031524223369,0.003843851428785328,0.002402744471022215
31,qwen2-math-72b-instruct,0.44381648936170215,0.22603030177133518,1.0,0.004529412348686218,0.004529412348686219,0.0
35,qwen2.5-coder-14b-instruct,0.4330119680851064,0.21465186900613328,2.0,0.004517186112763253,0.0038195299503489114,0.0024116718963675047
23,qwen1.5-32b-chat,0.43251329787234044,0.21544717558758314,2.0,0.004516569165593225,0.003886928076795473,0.0023002580623500742
40,qwen3-1.7b,0.4244791666657164,0.2126338392226213,3.0,0.0045059856369293995,0.0039230514163582295,0.0022166583283906734
8,google_gemma_3_4b_it,0.4152468417553192,0.202497490908296,4.0,0.004492318559998906,0.003903384660675937,0.002223626370438714
29,qwen2-7b-instruct,0.4095190602825798,0.20034485059917811,3.0,0.004483024270663436,0.003650767409977007,0.002601807819499205
19,mistralai_mixtral_8x7b_instruct_v0.1,0.38426695478723405,0.1903491730387823,2.0,0.004434491621891884,0.003791926879239064,0.002299131681120853
10,llama-3.1-8B-instruct,0.37466755319148937,0.1812378165801975,7.0,0.004412752932757641,0.004412752932757641,0.0
22,qwen1.5-14b-chat,0.35983211436170215,0.17059644924157322,2.0,0.004375503047026173,0.003809433603278753,0.002152496814572784
14,mistralai_ministral_8b_instruct_2410,0.3283466312028341,0.1538598564575863,3.0,0.004281243894433681,0.003324849820773649,0.0026971138190530837
0,deepseek_r1_distill_llama_8b,0.32360926418350233,0.14537994430566942,3.0,0.004265209684969566,0.0034881356995083894,0.00245457185646974
38,qwen2.5-coder-7b-instruct,0.3208388741109874,0.15153482757866288,3.0,0.00425560185970753,0.0032610792129950605,0.0027341378083260014
4,deepseek_r1_distill_qwen_7b,0.3151041666654006,0.14464012422977882,3.0,0.004235165863134128,0.003482328043383387,0.002410398574203504
17,mistralai_mistral_7b_instruct_v0.3,0.31274933510407243,0.14665463855444183,3.0,0.0042265583618872355,0.0033965387056185954,0.002515416547547081
13,mistralai_mathstral_7b_v0.1,0.2973459663085439,0.14049094040170573,3.0,0.004167090053464013,0.0031216724378513873,0.0027603986495500395
12,llama-3.2-3B-instruct,0.2921376329787234,0.1376455714056578,10.0,0.004145713191203987,0.004145713191203987,0.0
32,qwen2-math-7b-instruct,0.29039228723083443,0.143032196127622,3.0,0.004138403099634738,0.003165323616171545,0.0026659157188427957
16,mistralai_mistral_7b_instruct_v0.2,0.27878435283426695,0.12878814113336876,3.0,0.0040878773396921825,0.003335850966054849,0.002362803308919254
6,google_codegemma_1.1_7b_it,0.27002992021276595,0.1272723494923832,1.0,0.004047525207589395,0.004047525207589395,0.0
5,deepseek_v2_lite_chat,0.2613447473404255,0.11982613913410348,2.0,0.004005519695381111,0.0033466797075471723,0.0022008914024044812
37,qwen2.5-coder-3b-instruct,0.25892065602423536,0.1198594572689126,3.0,0.003993436581492625,0.003019392540170764,0.0026135807656861576
25,qwen1.5-7b-chat,0.23069038120255983,0.10541271256207421,3.0,0.0038405764362005163,0.0029074743677638326,0.0025093067096500893
39,qwen3-0.6b,0.22980385638297873,0.11554132162729772,4.0,0.0038353977969928614,0.002983602843016851,0.0024100602349981753
15,mistralai_mistral_7b_instruct_v0.1,0.19024268616551696,0.08869246403206173,3.0,0.003578182709118913,0.002617660995670214,0.002439516839782908
