,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.38333333333333336,0.35,7.0,1.0,0.08819171036881969,1.0,0.06666666666666667,0.057413380812283615,0.08798147953257403,0.70103442097233,aime2024_cot
1,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,30.0,0.13333333333333333,0.13333333333333333,4.5,0.0,0.07071067811865475,1.0,0.05,0.05,0.07071067811865477,0.5203148031833273,aime2024_cot
2,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,30.0,0.13333333333333333,0.21666666666666667,5.5,-2.5,0.07817359599705716,0.375,0.05773502691896258,0.0504608392349582,0.07667874301023478,0.6001268623812541,aime2024_cot
3,deepseek_r1_distill_llama_8b,google_gemma_3_12b_it,30.0,0.13333333333333333,0.19166666666666668,4.5,-1.75,0.07071067811865475,0.625,0.04930066485916347,0.049558233609749626,0.06990403474817512,0.6479807149090081,aime2024_cot
4,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,30.0,0.13333333333333333,0.08,3.6,1.6,0.06324555320336758,1.0,0.0458257569495584,0.042487470920086375,0.06249148090088109,0.5792960017151783,aime2024_cot
5,deepseek_r1_distill_llama_8b,llama-3.1-70B-instruct,30.0,0.13333333333333333,0.16666666666666666,6.5,-1.0,0.08498365855987976,0.6875,0.03726779962499649,0.07613341116944844,0.084765471656714,0.1919429739874787,aime2024_cot
6,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,30.0,0.13333333333333333,0.06666666666666667,6.0,2.0,0.08164965809277261,0.6875,0.03726779962499649,0.07162143275325919,0.08073734277593311,-0.13109470506889245,aime2024_cot
7,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,30.0,0.13333333333333333,0.03333333333333333,4.0,3.0,0.06666666666666667,0.625,0.03726779962499649,0.05217491947499508,0.06411794687223782,0.25048565738969264,aime2024_cot
8,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,30.0,0.13333333333333333,0.06666666666666667,2.5,2.0,0.05270462766947299,0.5,0.03726779962499649,0.03522414996477191,0.05127991448539701,0.7292142969457147,aime2024_cot
9,deepseek_r1_distill_llama_8b,qwen2-72b-instruct,30.0,0.13333333333333333,0.03333333333333333,4.25,3.0,0.06871842709362767,0.625,0.044095855184409845,0.04944132324730441,0.06624868971450597,0.23760915293736715,aime2024_cot
