,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,711.0,0.8741209563994374,0.8241912798874824,94.25,35.5,0.013654351504182559,0.0005879022254125642,0.009590845075236186,0.009536808437351352,0.01352534747900837,0.6605591817826778,ap_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,711.0,0.8741209563994374,0.8284106891701828,89.0,32.5,0.01326860918714009,0.0013352623656219375,0.008468069324045214,0.010070207229197265,0.013157403684458892,0.6468210697888908,ap_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,711.0,0.8741209563994374,0.8389592123769339,113.0,25.0,0.014950978639570534,0.023534002126010006,0.007956194443730493,0.012589354464671377,0.014892712172857871,0.4402121163248416,ap_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,711.0,0.8741209563994374,0.8012189404604783,122.16666666559999,51.8333333326,0.015545573962978785,6.909552457823492e-06,0.008817741619091532,0.01250749104395306,0.015303264340513266,0.4881548369110958,ap_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,711.0,0.8741209563994374,0.8499765588374121,105.8333333332,17.16666666660001,0.014469103949368256,0.11799998150585843,0.007642681850309866,0.012252529492551933,0.014440743222940805,0.4579230282440495,ap_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,711.0,0.8741209563994374,0.8874824191293952,97.1666666662,-9.500000001000004,0.013864016017426851,0.30993353423900727,0.007699984859569623,0.011518249784370677,0.01385495741360314,0.43813912128385574,ap_cot
6,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,711.0,0.8741209563994374,0.8776371308016878,83.5,-2.5,0.012852086415258132,0.8264047244491923,0.005581753820811373,0.011575956143876291,0.012851409897792909,0.5146602622631771,ap_cot
7,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,711.0,0.8741209563994374,0.7742616033755274,151.5,71.0,0.01731158034471332,6.473733481736707e-09,0.009945243054663115,0.013665935472104429,0.016901646421104866,0.3872947842578598,ap_cot
8,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,711.0,0.8741209563994374,0.790436005625879,129.5,59.5,0.0160053539757258,2.035172733143e-07,0.00881150779616151,0.012987645592034086,0.01569463627058931,0.4657162904526126,ap_cot
9,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,711.0,0.8741209563994374,0.819268635724332,125.0,39.0,0.015724809968352953,0.0006180577056348096,0.008895295809193753,0.012802796843760282,0.015589672689176581,0.42618504373181154,ap_cot
10,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,711.0,0.8741209563994374,0.8874824191279888,89.0,-9.5,0.01326860918714009,0.28909608069606096,0.007341987699655802,0.011040838336852073,0.013259143809552692,0.494968344575702,ap_cot
11,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,711.0,0.8741209563994374,0.7909048288814347,142.1666666652,59.166666665300006,0.016769854310761993,1.2430089403538233e-06,0.010564139089583419,0.012644654319815919,0.01647690254786086,0.42244660766218156,ap_cot
