,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,6511.0,0.30379358009522345,0.22108739056980495,1964.5,538.5,0.006807353774283616,3.333353717578593e-34,0.0050793874041326036,0.004414669969690375,0.006729746454551388,0.43260749306953117,bbh_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,6511.0,0.30379358009522345,0.25551630573607736,1999.9999999868,314.33333335240013,0.006868585401604703,1.960226000640766e-12,0.004926344943483271,0.004748750172907651,0.006842477819246009,0.4025089335737309,bbh_cot
2,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,6511.0,0.30379358009522345,0.2752265397020427,2294.0,186.0,0.007356123492445429,0.0001113098122999461,0.003292267103398252,0.006568728350592883,0.0073475992558114525,0.17734283834074485,bbh_cot
3,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,6511.0,0.30379358009522345,0.35780474069271995,2355.9999999863003,-351.66666665029993,0.007454867823361276,4.996103185645465e-13,0.005086026581307096,0.005409190814030439,0.007424756672669726,0.3019741664220965,bbh_cot
4,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,6511.0,0.30379358009522345,0.353350739771863,2306.6666666572,-322.6666666545999,0.007376404506953737,2.1533814182963453e-11,0.004784922785634653,0.0055802027819406045,0.0073507924166081135,0.3032522643021751,bbh_cot
5,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,6511.0,0.30379358009522345,0.36753186914249725,2376.3333333183,-414.9999999867996,0.0074869681332869024,1.3965681103520976e-17,0.0051733971651794775,0.005354129138594452,0.007445182137559377,0.30823877693226204,bbh_cot
6,deepseek_r1_distill_llama_70b,qwen1.5-7b-chat,6511.0,0.30379358009522345,0.22275124148398093,2166.3333333207,527.6666666978,0.007148500399375248,5.250387258232625e-30,0.004918890864184385,0.005088893554901817,0.0070775931605933555,0.2653608303811772,bbh_cot
7,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,6511.0,0.30379358009522345,0.27307633235655043,2249.6666666515002,200.00000002650017,0.007284695304926533,2.9449291355931672e-05,0.005001846859736384,0.005282366655964687,0.007274741885201308,0.26745216493261675,bbh_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-1.5b-instruct,6511.0,0.30379358009522345,0.32718988378390423,2364.6666666574997,-152.33333331699987,0.0074685667933933955,0.0018925047394170193,0.00489324781559911,0.005634850898475157,0.007462936341207243,0.2503211197892301,bbh_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-0.5b-instruct,6511.0,0.30379358009522345,0.2174013208416526,2319.75,562.5,0.00739729428259975,9.123247709269404e-32,0.00510399908760785,0.005246222099448109,0.007319402503144604,0.1639567402382579,bbh_cot
10,deepseek_r1_distill_llama_70b,qwen2.5-coder-1.5b-instruct,6511.0,0.30379358009522345,0.2870910766395331,2353.25,108.75,0.00745051577068049,0.025963221929126024,0.005320521924347603,0.0052114667026136935,0.0074476398100280575,0.24303867605239932,bbh_cot
11,deepseek_r1_distill_llama_70b,qwen3-0.6b,6511.0,0.30379358009522345,0.3064813392720012,2405.25,-17.5,0.0075323833777938025,0.7135964067886436,0.004980908514262486,0.005650330982167123,0.007532309727798652,0.20873293491762684,bbh_cot
