,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.34125,0.3409375,204.0,0.25,0.017853571071357127,1.0,0.01381730685589634,0.011306277423612402,0.01785356765270425,0.6615352992612157,cruxeval_input_cot
1,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,800.0,0.34125,0.40549999999999997,257.80000000000007,-51.400000000000006,0.020070189336426302,0.001760828979946502,0.01448059045757458,0.01371002997352668,0.01994122418195533,0.4998875208874824,cruxeval_input_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.34125,0.42708333333200005,241.9999999981,-68.66666666560002,0.019445436482553723,1.0402337868130984e-05,0.012835768167107188,0.01428841678313963,0.019207180912576123,0.5163209504574243,cruxeval_input_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.34125,0.43825000000000003,257.2,-77.60000000000001,0.02004682019672946,9.461189114029648e-07,0.01385415100249741,0.01407750865742941,0.019751297425738897,0.5015195458562608,cruxeval_input_cot
4,deepseek_r1_distill_llama_70b,google_gemma_7b_it,800.0,0.34125,0.275625,284.25,52.5,0.021074644125109208,0.0024163692560846633,0.013961442439805422,0.015615231321333347,0.0209465348976567,0.28291691764362914,cruxeval_input_cot
5,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,800.0,0.34125,0.27625,238.0,52.0,0.01928406077567689,0.0009081891284418302,0.008385254915624212,0.017212822255516378,0.01914663808609752,0.358058320617087,cruxeval_input_cot
6,deepseek_r1_distill_llama_70b,mistralai_mathstral_7b_v0.1,800.0,0.34125,0.3215625,237.75,15.75,0.019273929931386595,0.3631703920159727,0.01357487914310842,0.013664645409950727,0.019261357115470536,0.499517075986938,cruxeval_input_cot
7,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,800.0,0.34125,0.3215625,239.25,15.75,0.019334635372822526,0.3651867452879562,0.013753550677915867,0.013571421137069157,0.019322102057739148,0.5008727848685812,cruxeval_input_cot
8,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.3,800.0,0.34125,0.2559375,233.5,68.25,0.019100883487420155,1.3490429662094225e-05,0.012971573487823287,0.013692488923847538,0.018861229325780635,0.4752422431794246,cruxeval_input_cot
9,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.34125,0.2612499999965,242.66666666560002,64.00000000280001,0.01947220240920374,4.664827801566343e-05,0.013023749673215861,0.014196781716773339,0.019265686249503287,0.4368192309345125,cruxeval_input_cot
10,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,800.0,0.34125,0.35374999999799994,242.33333333180002,-9.999999998400014,0.0194588240479978,0.5629885810243819,0.012970318680039086,0.014499012179084104,0.01945380479060587,0.47328925044956,cruxeval_input_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,800.0,0.34125,0.37541666666525,226.33333333060003,-27.3333333322,0.018805473493881043,0.07225758290098289,0.013261525385500636,0.01327850053244028,0.018766636138112087,0.5581862923789854,cruxeval_input_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,800.0,0.34125,0.43625,257.5,-76.0,0.020058508169851517,1.7983873336145558e-06,0.012747548783981964,0.015118283632740856,0.0197753002505651,0.4633913806598608,cruxeval_input_cot
13,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,800.0,0.34125,0.31,233.75,25.0,0.01911110606427582,0.11569091077686348,0.013757100439409461,0.013219525686460917,0.019079142325455826,0.5212636887595693,cruxeval_input_cot
14,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,800.0,0.34125,0.3575,247.5,-13.0,0.01966516590319034,0.4452053301681267,0.012930100540985751,0.014805443994524449,0.019656771654445192,0.4538555269429173,cruxeval_input_cot
15,deepseek_r1_distill_llama_70b,qwen2.5-coder-3b-instruct,800.0,0.34125,0.389375,260.5,-38.5,0.020175015489461216,0.021573152442740384,0.01453712918701626,0.01388553583657289,0.020103139816176726,0.47977792797018104,cruxeval_input_cot
16,deepseek_r1_distill_llama_70b,qwen3-1.7b,800.0,0.34125,0.3721875,233.25,-24.75,0.01909065543662658,0.11569091077686348,0.013509978950760804,0.013443852967701913,0.019059294684410213,0.5389137755056914,cruxeval_input_cot
17,deepseek_r1_distill_llama_70b,qwen3-14b,800.0,0.34125,0.29666666666562497,168.9999999991,35.66666666750001,0.01624999999995673,0.006751369163205512,0.011203608049667435,0.011664350588610402,0.01617337033473817,0.6732228081151901,cruxeval_input_cot
18,deepseek_r1_distill_llama_70b,qwen3-32b,800.0,0.34125,0.31333333333124996,182.99999999800002,22.333333335000006,0.01690968657299345,0.11931902228044217,0.012140668570119159,0.011728916886056795,0.016880856751051096,0.6589779527300226,cruxeval_input_cot
19,deepseek_r1_distill_llama_70b,qwen3-4b,800.0,0.34125,0.3903125,206.25,-39.25,0.01795175827043134,0.00644253530793472,0.012926323674966522,0.012335593626461092,0.01786775626281004,0.630282757872658,cruxeval_input_cot
20,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,800.0,0.2365625,0.21249999999612498,197.74999999739998,19.2500000031,0.017577951387915982,0.19956415336691122,0.013720375283202975,0.010954995308121534,0.017557352309300278,0.5148532402519777,cruxeval_input_cot
21,deepseek_r1_distill_llama_8b,google_gemma_2b_it,800.0,0.2365625,0.1534375,228.5,66.5,0.01889527057228872,1.4698616867740339e-05,0.013477411658029891,0.012913303913745313,0.018665316578315782,0.20049617399125927,cruxeval_input_cot
22,deepseek_r1_distill_llama_8b,google_gemma_7b_it,800.0,0.2365625,0.275625,235.0,-31.25,0.019162137145944863,0.03662238568827104,0.014767071688388325,0.012133167151127009,0.019112303664581817,0.4279239509108629,cruxeval_input_cot
23,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,800.0,0.2365625,0.27625,210.25,-31.75,0.018125000000000002,0.03217260969957721,0.009667317686411263,0.015267276170937876,0.018070604664196698,0.41005998829761364,cruxeval_input_cot
24,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,800.0,0.2365625,0.2125,211.75,19.25,0.018189540263569063,0.21518592344658014,0.009667317686411263,0.015384361828401838,0.01816963456201548,0.3149783501515886,cruxeval_input_cot
25,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,800.0,0.2365625,0.3215625,223.375,-68.0,0.018682168972043906,4.466899425254818e-06,0.01440214827725364,0.011513918207977683,0.0184388770672186,0.5467386264165909,cruxeval_input_cot
26,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,800.0,0.2365625,0.3215625,214.375,-68.0,0.0183019380804329,3.8935995461321246e-06,0.014570679033593457,0.010659502802663921,0.01805352285566449,0.6046313067877991,cruxeval_input_cot
27,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,800.0,0.2365625,0.1728125,195.75,51.0,0.01748883572454153,0.0003193156634808,0.013792547806696195,0.01051403451939359,0.01734298984820668,0.49789229636440757,cruxeval_input_cot
28,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,800.0,0.2365625,0.2559375,188.75,-15.5,0.01717328958004261,0.2739199868727064,0.01383496476323666,0.010151176617454254,0.017159622277857695,0.6219454915876931,cruxeval_input_cot
29,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.2365625,0.2612499999965,204.08333333085,-19.749999997199993,0.017857217261641106,0.18329354783284546,0.013883896672065457,0.01119623957892856,0.01783587305150372,0.5432277237976841,cruxeval_input_cot
30,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,800.0,0.2365625,0.227499999998,206.41666666524998,7.250000001600014,0.01795901004132614,0.7276586764549059,0.013348380181429734,0.0120101676534347,0.01795615160694505,0.4602906582436288,cruxeval_input_cot
31,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,800.0,0.2365625,0.31,219.625,-58.75,0.018524687919098663,8.105624271900287e-05,0.014574029770451273,0.011136444034887776,0.01834183004752218,0.5591360464653442,cruxeval_input_cot
32,deepseek_r1_distill_llama_8b,qwen2.5-coder-0.5b-instruct,800.0,0.2365625,0.17975000000000002,222.14999999999998,45.449999999999974,0.018630871557713022,0.0038034717856452087,0.014502828387938678,0.011521404799532368,0.01852227847228001,0.3545757655784322,cruxeval_input_cot
33,deepseek_r1_distill_llama_8b,qwen2.5-coder-1.5b-instruct,800.0,0.2365625,0.2396875,220.375,-2.5,0.0185562910491294,0.8397713323897796,0.014763764763772147,0.011240773125935334,0.018555962127271924,0.4671959934440842,cruxeval_input_cot
34,deepseek_r1_distill_llama_8b,qwen3-0.6b,800.0,0.2365625,0.1545,200.25,65.64999999999998,0.017688714622606135,7.086525758599002e-06,0.013777954537956641,0.010707043306496312,0.01744914919465094,0.4494066177581234,cruxeval_input_cot
35,deepseek_r1_distill_llama_8b,qwen3-14b,800.0,0.2365625,0.29666666666562497,202.74999999895002,-48.08333333250002,0.01779878858232659,0.0008978142386493576,0.012192840710046733,0.012791241998124142,0.017671480878385597,0.528380844168247,cruxeval_input_cot
36,deepseek_r1_distill_llama_8b,qwen3-32b,800.0,0.2365625,0.31333333333124996,204.7499999986,-61.41666666499998,0.017886360026506582,1.693017173849509e-05,0.013059110405363727,0.011916975679901555,0.017679215874434145,0.5716280944574802,cruxeval_input_cot
37,deepseek_r1_distill_llama_8b,qwen3-8b,800.0,0.2365625,0.186249999998,191.5833333324,40.2500000016,0.01730170391411999,0.005823379336453223,0.013005824683220195,0.011270904935747226,0.017210019574692845,0.4850891897680191,cruxeval_input_cot
38,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,800.0,0.0178125,0.035,37.5,-13.75,0.007654655446197431,0.020073851919732988,0.005854685623498499,0.004893581873708409,0.007630497185943226,0.23061536022503742,cruxeval_input_cot
39,deepseek_r1_distill_qwen_1.5b,google_gemma_3_1b_it,800.0,0.0178125,0.0009375,14.875,13.5,0.004821015193919222,0.0001220703125,0.003952847075210474,0.0026946670422799924,0.0047839555253733285,0.053252095939929314,cruxeval_input_cot
40,deepseek_r1_distill_qwen_1.5b,llama-3.2-1B-instruct,800.0,0.0178125,0.03625,40.75,-14.75,0.007979465834252315,0.03847730828420026,0.0038400642898264088,0.006964255487285594,0.007952794995609249,0.06497746290888033,cruxeval_input_cot
41,deepseek_r1_distill_qwen_1.5b,qwen1.5-0.5b-chat,800.0,0.0178125,0.00375,16.950000000000003,11.25,0.005146297212559725,0.004180908203125,0.004300708517209694,0.002782281234380791,0.005122224381768872,0.058941865114958095,cruxeval_input_cot
42,deepseek_r1_distill_qwen_1.5b,qwen1.5-1.8b-chat,800.0,0.0178125,0.010416666665624998,21.9166666659,5.9166666674999995,0.005851904960392705,0.38331031799316406,0.004840108398075556,0.003278684099140981,0.005846060102930984,0.05279020520469118,cruxeval_input_cot
43,deepseek_r1_distill_qwen_1.5b,qwen2-0.5b-instruct,800.0,0.0178125,0.019500000000000003,29.25,-1.3500000000000014,0.00676040864149498,0.711071103811264,0.005787580992953793,0.003493346773466313,0.006760145370455246,0.005707996364985804,cruxeval_input_cot
44,deepseek_r1_distill_qwen_1.5b,qwen2-1.5b-instruct,800.0,0.0178125,0.0671875,64.0,-39.5,0.01,4.5666107004454105e-07,0.00822059152372869,0.005419825801513366,0.00984645300190632,0.12085016829865272,cruxeval_input_cot
45,deepseek_r1_distill_qwen_1.5b,qwen2-math-1.5b-instruct,800.0,0.0178125,0.0184375,27.75,-0.5,0.006584783595532962,1.0,0.0055726732812896905,0.0035077342001283394,0.006584746518944371,0.08440883082023337,cruxeval_input_cot
46,deepseek_r1_distill_qwen_1.5b,qwen2-math-7b-instruct,800.0,0.0178125,0.074375,69.125,-45.25,0.010392680717697432,7.555829742748269e-09,0.008285670989726783,0.0059461183340215745,0.01019846395258558,0.12934394981836522,cruxeval_input_cot
47,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_70b,800.0,0.3409375,0.34125,204.0,-0.25,0.017853571071357127,0.9442053244754746,0.01381730685589634,0.011306277423612402,0.01785356765270425,0.6615352992612157,cruxeval_input_cot
48,deepseek_r1_distill_qwen_14b,google_codegemma_1.1_7b_it,800.0,0.3409375,0.40549999999999997,264.75,-51.64999999999998,0.020338925119091224,0.0016454779795564097,0.016123909846870267,0.012185278443358918,0.020210429968018678,0.5392163216470878,cruxeval_input_cot
49,deepseek_r1_distill_qwen_14b,google_gemma_2_9b_it,800.0,0.3409375,0.42708333333200005,247.41666666495001,-68.91666666559998,0.019661854990411877,1.340783911752705e-05,0.014664580225486246,0.01273821995899275,0.019424524728121496,0.5688437253271312,cruxeval_input_cot
50,deepseek_r1_distill_qwen_14b,google_gemma_3_4b_it,800.0,0.3409375,0.43825000000000003,261.55,-77.85000000000002,0.02021563441992361,1.1524995281193037e-06,0.01556375496947957,0.012433995855302811,0.01992071087285008,0.5552004770275735,cruxeval_input_cot
51,deepseek_r1_distill_qwen_14b,google_gemma_7b_it,800.0,0.3409375,0.275625,277.625,52.25,0.02082760337868954,0.0025992007964869865,0.015659337270459435,0.01353669329746698,0.020699200689391063,0.3603327662811303,cruxeval_input_cot
52,deepseek_r1_distill_qwen_14b,llama-3.1-8B-instruct,800.0,0.3409375,0.27625,249.25,51.75,0.019734566754808683,0.001481166133128251,0.010982052119253486,0.0162362885361676,0.01960159519477146,0.36617988055673323,cruxeval_input_cot
53,deepseek_r1_distill_qwen_14b,mistralai_mathstral_7b_v0.1,800.0,0.3409375,0.3215625,240.375,15.5,0.019380039667142065,0.40143649459799285,0.015315688443553558,0.011855226135285231,0.019367929657522768,0.5594272348135191,cruxeval_input_cot
54,deepseek_r1_distill_qwen_14b,mistralai_ministral_8b_instruct_2410,800.0,0.3409375,0.3215625,242.375,15.5,0.019460496846175332,0.40338944420856315,0.015474273003924933,0.011780856259998675,0.019448436935104837,0.5582846881367365,cruxeval_input_cot
55,deepseek_r1_distill_qwen_14b,mistralai_mistral_7b_instruct_v0.3,800.0,0.3409375,0.2559375,233.0,68.0,0.019080421903092185,1.3490429662094225e-05,0.014783595215643588,0.011682318370083912,0.01884227295206181,0.5468601402761325,cruxeval_input_cot
56,deepseek_r1_distill_qwen_14b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.3409375,0.2612499999965,240.5833333316,63.75000000279999,0.019388436201267626,4.329805997186388e-05,0.014829397300652183,0.01216810634236178,0.01918264414150498,0.5110083628072953,cruxeval_input_cot
57,deepseek_r1_distill_qwen_14b,qwen1.5-14b-chat,800.0,0.3409375,0.35374999999799994,250.74999999840003,-10.249999998399986,0.019793859527578245,0.5693014384434674,0.014782494221604514,0.013155589663351496,0.019788675418083233,0.504424080265941,cruxeval_input_cot
58,deepseek_r1_distill_qwen_14b,qwen1.5-32b-chat,800.0,0.3409375,0.37541666666525,238.0833333308,-27.5833333322,0.019287436541162616,0.07987403491087836,0.015038651013314919,0.012014914392607408,0.019248875088221713,0.586759898497919,cruxeval_input_cot
59,deepseek_r1_distill_qwen_14b,qwen1.5-72b-chat,800.0,0.3409375,0.43625,266.0,-76.25,0.020386883037875114,1.997693508590301e-06,0.014587425021229757,0.013837501235038336,0.020106451929161634,0.49541323752847843,cruxeval_input_cot
60,deepseek_r1_distill_qwen_14b,qwen2-7b-instruct,800.0,0.3409375,0.31,242.75,24.75,0.019475545563603605,0.1391137741959632,0.01547742812129974,0.01177071291881624,0.0194448055754535,0.5515864490326763,cruxeval_input_cot
