,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.554375,0.45875,265.5,76.5,0.020367713421000404,2.6000665990152296e-06,0.0152197445773574,0.013106217960142047,0.02008515805809728,0.56979074187489,cruxeval_output_cot
1,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,800.0,0.554375,0.599375,222.5,-36.0,0.018645542362720372,0.018619480178205267,0.011388041973930374,0.014677789343085695,0.0185775402031593,0.5505946718375646,cruxeval_output_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.554375,0.46916666666750007,244.16666666609999,68.166666666,0.019532291638867706,1.5928319966694762e-05,0.01208512917674491,0.015046079036099143,0.019298570972462008,0.5224812223169583,cruxeval_output_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.554375,0.5489999999999999,234.3,4.299999999999997,0.019133576508326925,0.8445721639622709,0.01249312310833444,0.014490669816083383,0.01913263277018482,0.5457962348906453,cruxeval_output_cot
4,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,800.0,0.554375,0.65375,222.5,-79.5,0.018645542362720372,8.380628297169348e-08,0.0085923294280422,0.01617046340457657,0.01831152674461499,0.49727186883721275,cruxeval_output_cot
5,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,800.0,0.554375,0.571875,224.0,-14.0,0.01870828693386971,0.38511100043645985,0.011759304826391738,0.014537397893020608,0.018698053040356905,0.5565973043591725,cruxeval_output_cot
6,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,800.0,0.554375,0.45875,246.0,76.5,0.019605483926697653,1.4464583431114139e-06,0.01223149111923808,0.014944411973000142,0.019311779416168517,0.5243810735065871,cruxeval_output_cot
7,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,800.0,0.554375,0.60375,226.0,-39.5,0.018791620472966133,0.009328368045545963,0.012295197233066253,0.014103395396809592,0.01871036174740483,0.5646886524168556,cruxeval_output_cot
8,deepseek_r1_distill_llama_70b,qwen2.5-coder-7b-instruct,800.0,0.554375,0.50875,243.75,36.5,0.019515618744994995,0.020730463034451512,0.01307281291459493,0.014399961344349156,0.0194488386341897,0.5400337377714743,cruxeval_output_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,800.0,0.554375,0.569375,192.75,-12.0,0.017354304221143525,0.42735458939658755,0.012616643273866468,0.011904240315954646,0.017346199151399132,0.6896219833533619,cruxeval_output_cot
10,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,800.0,0.3928125,0.45875,268.125,-52.75,0.02046815361726602,0.0011655835720364043,0.016785061252494734,0.01147921333834281,0.020334960538864775,0.598061273067953,cruxeval_output_cot
11,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,800.0,0.3928125,0.36150000000000004,247.95,25.05000000000001,0.019683035208016064,0.12656974538898694,0.01515505794281236,0.012510815438239327,0.019651877370360508,0.5617102278811575,cruxeval_output_cot
12,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,800.0,0.3928125,0.46916666666750007,243.9166666662,-61.08333333399999,0.019522289611260703,0.00010988909937604945,0.014005284840681075,0.013329828946313075,0.01933474445671773,0.5772421170484153,cruxeval_output_cot
13,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,800.0,0.3928125,0.34625,242.25,37.25,0.019455478020341727,0.024255776870814007,0.011132195706598047,0.015870720233883136,0.019385704578172742,0.4623062301823445,cruxeval_output_cot
14,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,800.0,0.3928125,0.344375,238.125,38.75,0.019289124202513705,0.01628891977394721,0.015363435691602319,0.011537002079924728,0.019212953267058856,0.6134880034290912,cruxeval_output_cot
15,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,800.0,0.3928125,0.391875,237.875,0.75,0.019278996018983977,1.0,0.0153125,0.011713493612803461,0.01927896752596434,0.6209179334307815,cruxeval_output_cot
16,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,800.0,0.3928125,0.3134375,247.0,63.5,0.01964529205687714,7.345658716257073e-05,0.014980456017758605,0.01239548099989468,0.019443816799145943,0.5517541202849817,cruxeval_output_cot
17,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.3928125,0.4141666666664999,246.58333333165,-17.083333333200017,0.01962871514721998,0.27839016663203725,0.015010485339715685,0.012625442077581199,0.019614190214948393,0.5777561068945949,cruxeval_output_cot
18,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,800.0,0.3928125,0.33708333333299995,241.0833333324,44.583333333600024,0.019408573062744076,0.0066993083806256015,0.014706695494110602,0.012510940850057366,0.019308302186109662,0.5669791481401891,cruxeval_output_cot
19,deepseek_r1_distill_llama_8b,qwen1.5-32b-chat,800.0,0.3928125,0.44875,237.25,-44.75,0.019253652250936705,0.004164825184005576,0.014020771421359098,0.013046449281976591,0.0191518111445677,0.5925002620588764,cruxeval_output_cot
20,deepseek_r1_distill_llama_8b,qwen1.5-72b-chat,800.0,0.3928125,0.45875,249.0,-52.75,0.019724667297574376,0.0009449863971977216,0.014131773818243766,0.013561739429998922,0.019586418958482114,0.5562009832317754,cruxeval_output_cot
21,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,800.0,0.3928125,0.324375,238.125,54.75,0.019289124202513705,0.0005632689081016196,0.01547742812129974,0.01125455094582576,0.01913676300324032,0.6197985059087933,cruxeval_output_cot
22,deepseek_r1_distill_llama_8b,qwen2-math-72b-instruct,800.0,0.3928125,0.331875,260.75,48.75,0.02018469407744393,0.003479016164811835,0.01484621690027463,0.013504443532304006,0.02006938343266149,0.4862117930497675,cruxeval_output_cot
23,deepseek_r1_distill_llama_8b,qwen2.5-coder-3b-instruct,800.0,0.3928125,0.4446875,245.875,-41.5,0.019600502225708402,0.010456442266634424,0.015296547813150521,0.012117406610688197,0.01951450532216356,0.6074728710526713,cruxeval_output_cot
24,deepseek_r1_distill_llama_8b,qwen3-1.7b,800.0,0.3928125,0.3153125,270.375,62.0,0.020553854565506683,0.00019357054249656002,0.01636378432698256,0.012131763577485345,0.02037039825334792,0.5164726644377432,cruxeval_output_cot
25,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_7b,800.0,0.0559375,0.1215625,118.75,-52.5,0.013621559198564604,1.8430439047785736e-06,0.011447911927508877,0.0070077733067465875,0.01342250253189583,0.30955426291776733,cruxeval_output_cot
26,deepseek_r1_distill_qwen_1.5b,google_gemma_2b_it,800.0,0.0559375,0.0959375,106.375,-32.0,0.012892282090460167,0.002440008379349039,0.010145426925467453,0.007828234155925588,0.012814481554085598,0.15866649603379737,cruxeval_output_cot
27,deepseek_r1_distill_qwen_1.5b,llama-3.2-1B-instruct,800.0,0.0559375,0.07625,87.25,-16.25,0.011675963557668378,0.08568897435916664,0.006767627446158661,0.009487444159502995,0.011653856783472478,0.2162402757331391,cruxeval_output_cot
28,deepseek_r1_distill_qwen_1.5b,qwen1.5-0.5b-chat,800.0,0.0559375,0.01725,54.85000000000001,30.950000000000003,0.009257598230642762,5.209447200793526e-05,0.007837460127490283,0.004733544172149184,0.009155993757079976,0.15882856702743559,cruxeval_output_cot
29,deepseek_r1_distill_qwen_1.5b,qwen1.5-1.8b-chat,800.0,0.0559375,0.00374999999975,47.58333333315,41.7500000002,0.008622584202722921,2.4647306418046355e-10,0.006969832065956747,0.004729268480437843,0.008422858148378242,-0.021345735226589883,cruxeval_output_cot
30,deepseek_r1_distill_qwen_1.5b,qwen2-0.5b-instruct,800.0,0.0559375,0.00525,47.85,40.550000000000004,0.00864671180276063,2.4647306418046355e-10,0.007144982942596854,0.004528058682226579,0.00845896546154951,0.09686389398815545,cruxeval_output_cot
31,deepseek_r1_distill_qwen_1.5b,qwen2-1.5b-instruct,800.0,0.0559375,0.0575,79.75,-1.25,0.011162856937182344,1.0,0.009338470498427459,0.00611549605446586,0.011162720243837857,0.19822954505820614,cruxeval_output_cot
