,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,1000.0,0.04825,0.01225,49.5,36.0,0.007035623639735145,3.6245783263666453e-07,0.005396758286230726,0.004367951464931815,0.006942910052708447,0.4211019780733434,ds1000
1,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,1000.0,0.04825,0.1395,138.875,-91.25,0.011784523749392676,6.529423138028675e-16,0.008792752697534488,0.007296296149417182,0.011425779513888757,0.4557773114576476,ds1000
2,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,1000.0,0.04825,0.11775,122.625,-69.5,0.01107361729517505,1.2611644459620753e-10,0.008261355820929153,0.007038803165311558,0.01085332898239061,0.4362354146167739,ds1000
3,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,1000.0,0.04825,0.136999999999,141.91666666555,-88.749999999,0.01191287818562542,1.482381211092684e-14,0.007905254932864453,0.0084585488478905,0.011577569009326938,0.3540666993526205,ds1000
4,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,1000.0,0.04825,0.10499999999819999,129.41666666545,-56.749999998199996,0.011376144631000874,5.432420732076601e-07,0.006720098378826839,0.009002020992229645,0.011233703937956275,0.16868664025785288,ds1000
5,deepseek_r1_distill_llama_8b,google_gemma_2b_it,1000.0,0.04825,0.0045,51.875,43.75,0.007202430145443967,2.4163071543625847e-10,0.00511737237261468,0.004875801216210522,0.007068305136310967,0.041451186836260256,ds1000
6,deepseek_r1_distill_llama_8b,google_gemma_3_1b_it,1000.0,0.04825,0.036,72.0,12.25,0.00848528137423857,0.1945051658673991,0.005717298313014636,0.006257989892928879,0.008476434244421413,0.18322283289172714,ds1000
7,deepseek_r1_distill_llama_8b,google_gemma_7b_it,1000.0,0.04825,0.046,84.5,2.25,0.009192388155425118,0.913202362224597,0.005684408500451037,0.00722374123982857,0.009192112787602206,0.09428946654221218,ds1000
8,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,1000.0,0.04825,0.1389999999999,150.39285714279998,-90.7499999999,0.012263476552054887,1.4617211813693968e-14,0.004852807939539242,0.010890709331570788,0.01192297339772333,0.22406958104275052,ds1000
9,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,1000.0,0.04825,0.0149230769231,60.711538461550006,33.3269230769,0.007791760934573776,1.2146708022957309e-05,0.004796718244502196,0.006049160994934434,0.007720158978918529,0.02785237474157789,ds1000
10,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,1000.0,0.04825,0.0631,88.39999999999999,-14.849999999999994,0.009402127418834528,0.1092954297773143,0.0048422618681768954,0.00804561852811827,0.009390392829908662,0.22969557757738476,ds1000
11,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.1,1000.0,0.04825,0.05825,81.125,-10.0,0.00900694176732591,0.2664123096713203,0.006937218462755804,0.005735852159879994,0.009001388781738071,0.37822541619788824,ds1000
12,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,1000.0,0.04825,0.11725,125.25,-69.0,0.011191514642799697,4.1968202542339164e-10,0.007826237921249264,0.00769668759922085,0.010976748152344574,0.373759204979243,ds1000
13,deepseek_r1_distill_llama_8b,qwen1.5-0.5b-chat,1000.0,0.04825,0.0006000000000000001,48.65,47.65,0.006974955196988723,7.105427357601002e-15,0.00483916315079374,0.004791865763979622,0.006810247976395573,0.0428458674826656,ds1000
