,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,92.0,0.8097826086956522,0.7853260869565217,14.75,2.25,0.04174535732537287,0.79052734375,0.025922260908069174,0.032622230571616964,0.041667415783244253,0.6249839106570558,gmat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,92.0,0.8097826086956522,0.8152173913043478,12.0,-0.5,0.03765327842541037,0.7744140625,0.023689668171416704,0.029261714667151235,0.037649014905221705,0.6902456296653424,gmat_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,92.0,0.8097826086956522,0.782608695652174,19.5,2.5,0.047998700360477424,0.6476058959960938,0.024905302689977392,0.04093378571569971,0.047915017636417666,0.4228938601843267,gmat_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,92.0,0.8097826086956522,0.7228260869565217,23.25,8.0,0.05241114544017911,0.21003961563110352,0.02976753029919381,0.04217383996251926,0.05162110650981446,0.40032471217441157,gmat_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,92.0,0.8097826086956522,0.7880434782608695,22.5,2.0,0.05155887489404966,0.8318119049072266,0.026064301757134346,0.04442783934300017,0.05150903546732738,0.2979853222864335,gmat_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,92.0,0.8097826086956522,0.8333333333326088,20.5,-2.166666666600001,0.0492140496637903,0.8238029479980469,0.02041562983594686,0.04471237058890765,0.04915276213274506,0.2780387434319776,gmat_cot
6,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,92.0,0.8097826086956522,0.7753623188445653,23.1666666665,3.166666666300001,0.05231713434109316,0.6776394844055176,0.03111515224090576,0.041905274849819193,0.05219391496346706,0.32716682752320164,gmat_cot
7,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,92.0,0.8097826086956522,0.8206521739130435,20.0,-1.0,0.04861017342390847,0.8238029479980469,0.025491389999040378,0.04137455479914936,0.048596962342424124,0.35015177821950816,gmat_cot
8,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,92.0,0.8097826086956522,0.7608695652217392,21.4999999998,4.4999999996,0.05040010051876397,0.6636238098144531,0.030690352075664597,0.03965182393157524,0.050141448439678056,0.42129873564581033,gmat_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,92.0,0.8097826086956522,0.8586956521739131,16.0,-4.5,0.043478260869565216,0.210113525390625,0.02104882253373596,0.03770014532475987,0.04317816447655833,0.44778493372505707,gmat_cot
10,deepseek_r1_distill_llama_70b,qwen3-14b,92.0,0.8097826086956522,0.9021739130456522,14.5,-8.5000000002,0.04139007122752124,0.012939453125,0.022843333718710432,0.033144167326951,0.04025361751670649,0.521031247724162,gmat_cot
11,deepseek_r1_distill_llama_70b,qwen3-4b,92.0,0.8097826086956522,0.8125,20.0,-0.25,0.04861017342390847,0.8238029479980469,0.027844974907498907,0.039843770774002384,0.048609347836506625,0.3828881764882246,gmat_cot
12,deepseek_r1_distill_llama_70b,qwen3-8b,92.0,0.8097826086956522,0.8623188405815216,18.166666666399998,-4.833333333499999,0.0463286661320673,0.237884521484375,0.025555681122146495,0.03825247525260816,0.04600374659273129,0.3811394973180672,gmat_cot
13,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,92.0,0.592391304347826,0.6168478260869565,33.5,-2.25,0.06291215708038166,0.7283324808813632,0.04287971151646603,0.0459648618903827,0.0628604660206819,0.3703660816056212,gmat_cot
14,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,92.0,0.592391304347826,0.6413043478260869,28.799999999999997,-4.5,0.058332208108690164,0.5715881884098053,0.04366129949651072,0.03834491033284977,0.05810887386757979,0.543254436027594,gmat_cot
15,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,92.0,0.592391304347826,0.5869565217391305,37.5,0.5,0.06656222127128202,1.0,0.03145607854019083,0.0586576795534275,0.06655980955290693,0.19982830366709775,gmat_cot
16,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,92.0,0.592391304347826,0.5054347826086957,32.0,8.0,0.061487546190134565,0.21532714972272515,0.04906377740561899,0.03593430887218794,0.06081553097219438,0.5636595188725858,gmat_cot
17,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,92.0,0.592391304347826,0.5054347826086957,28.375,8.0,0.0579002058496264,0.1849333420395851,0.04675176775566645,0.032931998422436194,0.057186049945551515,0.6567889426187097,gmat_cot
18,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,92.0,0.592391304347826,0.547101449272826,35.16666666655,4.166666666900003,0.0644581408501003,0.735878800856881,0.046026615999069764,0.04487880574241705,0.06428496391218891,0.3705709839043263,gmat_cot
19,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,92.0,0.592391304347826,0.5326086956521737,36.6666666665,5.5,0.06581848595849153,0.4050322461407632,0.04574051149560237,0.046915150083921574,0.06552271132421353,0.32031703638794995,gmat_cot
20,deepseek_r1_distill_llama_8b,qwen1.5-32b-chat,92.0,0.592391304347826,0.6630434782608695,32.0,-6.5,0.06148754619013457,0.21532714972272515,0.04338380440103649,0.04294538299848989,0.06104474101177249,0.41856997099318816,gmat_cot
21,deepseek_r1_distill_llama_8b,qwen1.5-72b-chat,92.0,0.592391304347826,0.6684782608695652,37.25,-7.0,0.06633997617246579,0.3240086000878364,0.04156809386081075,0.05108972159994794,0.06586399684487239,0.21038496767418632,gmat_cot
22,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,92.0,0.592391304347826,0.5081521739130435,34.125,7.75,0.0634963122040648,0.39152830513194203,0.048988468416630286,0.039430681949578224,0.06288599778023703,0.4743903732306614,gmat_cot
23,deepseek_r1_distill_llama_8b,qwen2-math-72b-instruct,92.0,0.592391304347826,0.6467391304347826,35.75,-5.0,0.06499054751685542,0.4995598332025112,0.0449808297751273,0.046565984736661,0.06474307670904994,0.29758309594664445,gmat_cot
24,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,92.0,0.592391304347826,0.5434782608695652,37.25,4.5,0.06633997617246579,0.7428293587290682,0.043308090898122896,0.04999396384210808,0.06614368569928716,0.2750243161285163,gmat_cot
