,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,448.0,0.20424107142857142,0.19754464285714285,68.0,3.0,0.018406721542935982,0.9035973456835127,0.013110870674632511,0.01291558647583981,0.018404002387030785,0.6993591427460989,gpqa_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,448.0,0.20424107142857142,0.23214285714285715,59.0,-12.5,0.017145414615778145,0.11747735024505848,0.012798376050423789,0.011332654943711969,0.017094662839649704,0.7851322402815513,gpqa_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,448.0,0.20424107142857142,0.26339285714285715,60.0,-26.5,0.017290104224140252,0.00039404324272610154,0.011652127800123382,0.012464569861267902,0.017062754293983025,0.7665424250264199,gpqa_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,448.0,0.20424107142857142,0.19698660714285715,63.5,3.25,0.017787251618871906,0.8013064925040663,0.012979579631264516,0.012157276060200301,0.017783949184819892,0.7353719831437274,gpqa_cot
4,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,448.0,0.20424107142857142,0.24553571428571427,147.0,-18.5,0.027063293868263706,0.13737776624912437,0.014932018036004075,0.022486670635770048,0.02699287904076099,0.08666117507343603,gpqa_cot
5,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,448.0,0.20424107142857142,0.2714285714285714,155.9,-30.1,0.02787051819465823,0.015693618723720132,0.017942041485811234,0.02108963445419175,0.027689159143787723,0.08082462310303735,gpqa_cot
6,deepseek_r1_distill_llama_70b,google_gemma_2b_it,448.0,0.20424107142857142,0.12332589285714286,120.75,36.25,0.02452819305338829,0.0012993330972502712,0.01425996912854982,0.019587524131606693,0.02422845065524142,0.05033282443891145,gpqa_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,448.0,0.20424107142857142,0.24386160714285715,149.25,-17.75,0.027269624381407627,0.14005540740614844,0.017081727527917374,0.0211741117891624,0.027205301420825247,0.07372595059509372,gpqa_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,448.0,0.20424107142857142,0.3,147.1,-42.900000000000006,0.02707249750528143,0.0004896357481684591,0.01604194965074192,0.021333254102683972,0.026691794229811924,0.2078765479134828,gpqa_cot
9,deepseek_r1_distill_llama_70b,google_gemma_7b_it,448.0,0.20424107142857142,0.26060267857142855,138.75,-25.25,0.026292899529887826,0.032947508495640404,0.014879789761131008,0.021513198941422316,0.026157711521244995,0.19066222610140474,gpqa_cot
