,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,75.0,0.16666666666666666,0.07,14.0,7.25,0.049888765156985884,0.1795654296875,0.032829526005987014,0.03586807101752921,0.048624030029361984,0.28823511126959606,gre_physics_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,75.0,0.16666666666666666,0.08666666666666667,14.25,6.0,0.050332229568471665,0.1795654296875,0.035276684147527874,0.03469229821668717,0.04947726750741193,0.3591968590773878,gre_physics_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,75.0,0.16666666666666666,0.12666666666666668,18.0,3.0,0.0565685424949238,0.8145294189453125,0.0339934634239519,0.04497900744915467,0.05637966536497594,0.07057305370839795,gre_physics_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,75.0,0.16666666666666666,0.07333333333333333,12.5,7.0,0.04714045207910317,0.14599609375,0.03197221015541813,0.032921905349658186,0.045891982677523036,0.4572707781996193,gre_physics_cot
4,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,75.0,0.16666666666666666,0.2613333333333333,22.900000000000002,-7.100000000000001,0.06380525927469546,0.13380050659179688,0.04371625682868001,0.04517200050506541,0.06286191804853508,0.18919926442193447,gre_physics_cot
5,deepseek_r1_distill_llama_70b,google_gemma_2b_it,75.0,0.16666666666666666,0.17666666666666667,20.75,-0.75,0.060736223860961995,1.0,0.0360555127546399,0.04886261920482319,0.060725246442938016,0.04181293593199594,gre_physics_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,75.0,0.16666666666666666,0.16,20.75,0.5,0.060736223860961995,1.0,0.03590109871423003,0.04898374635945486,0.06073134525347102,-0.019111273288648728,gre_physics_cot
7,deepseek_r1_distill_llama_70b,google_gemma_7b_it,75.0,0.16666666666666666,0.23666666666666666,19.0,-5.25,0.058118652580542315,0.1670684814453125,0.03448026810929534,0.04608205242342789,0.05755383952825775,0.3106462326628111,gre_physics_cot
8,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,75.0,0.16666666666666666,0.18666666666666668,19.5,-1.5,0.058878405775518984,1.0,0.02211083193570267,0.05452012880069566,0.05883309726109389,0.12486628628727636,gre_physics_cot
9,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,75.0,0.16666666666666666,0.2,21.75,-2.5,0.0621825270205921,0.6636238098144531,0.04268749491621899,0.045051410961585096,0.062063289083417524,0.06384423980690616,gre_physics_cot
10,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,75.0,0.16666666666666666,0.23333333333333334,21.25,-5.0,0.06146362971528592,0.38331031799316406,0.038586123009300755,0.04721895413527951,0.060979656595609964,0.1886854142170164,gre_physics_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-0.5b-chat,75.0,0.16666666666666666,0.17333333333333334,21.3,-0.5,0.06153589738247641,1.0,0.04371625682868001,0.043300842520243917,0.061531082178636134,-0.01452788762292355,gre_physics_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-1.8b-chat,75.0,0.16666666666666666,0.13777777776933334,19.4999999996,2.1666666672999995,0.058878405774915106,1.0,0.03842581436778095,0.04448590658563035,0.05878383361582153,-0.010955643191419517,gre_physics_cot
13,deepseek_r1_distill_llama_70b,qwen2-0.5b-instruct,75.0,0.16666666666666666,0.16000000000000003,19.5,0.5,0.058878405775518984,1.0,0.04355328792282954,0.039612942142501675,0.05887337321806926,0.12286829679574747,gre_physics_cot
14,deepseek_r1_distill_llama_70b,qwen2-1.5b-instruct,75.0,0.16666666666666666,0.21666666666666667,21.25,-3.75,0.06146362971528592,0.38331031799316406,0.04358898943540673,0.04294699575575042,0.0611918658356194,0.17186291631349895,gre_physics_cot
15,deepseek_r1_distill_llama_70b,qwen2.5-coder-0.5b-instruct,75.0,0.16666666666666666,0.16266666666666668,21.5,0.3000000000000007,0.061824123303304696,1.0,0.04404038550643665,0.043387248510747184,0.06182239795485847,-0.10916001528523511,gre_physics_cot
16,deepseek_r1_distill_llama_70b,qwen2.5-coder-1.5b-instruct,75.0,0.16666666666666666,0.25,23.75,-6.25,0.0649786289653931,0.21003961563110352,0.04887626099538394,0.04172218523448575,0.06426219440409446,0.12286829679574766,gre_physics_cot
17,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,75.0,0.07,0.16666666666666666,14.0,-7.25,0.049888765156985884,0.057373046875,0.032829526005987014,0.03586807101752921,0.048624030029361984,0.28823511126959606,gre_physics_cot
18,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,75.0,0.07,0.04666666666666667,7.25,1.75,0.03590109871423003,1.0,0.031446603773522014,0.01710966804881792,0.03579985516213201,0.38662806797231314,gre_physics_cot
