,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,1319.0,0.9059893858984079,0.8125473843821076,209.75,123.25,0.010980097314602153,3.022600904269893e-18,0.007967342515914974,0.007103820983908175,0.010674400186301825,0.5748158421395934,gsm8k_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,1319.0,0.9059893858984079,0.8191811978771797,219.5,114.5,0.011232397566360162,2.928672996730995e-15,0.008147909499698514,0.007352901688761315,0.010975135190960803,0.5142008495156918,gsm8k_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,1319.0,0.9059893858984079,0.8976497346474602,155.0,11.0,0.009438892796049076,0.4219388330129736,0.005225189064476961,0.007857312980904875,0.009436099196141688,0.42425488469634365,gsm8k_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,1319.0,0.9059893858984079,0.867576446804094,185.6666666656,50.666666665400015,0.01033051980586858,0.00021785347986380465,0.006146265608712917,0.008235555061876045,0.010276232194245092,0.40876358425923986,gsm8k_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,1319.0,0.9059893858984079,0.9234268385140257,136.0,-23.0,0.008841473684374981,0.04818269594614997,0.005259452966456258,0.0070907887204116095,0.008828427390191417,0.44589309941447575,gsm8k_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,1319.0,0.9059893858984079,0.9436441748802881,116.66666666639999,-49.66666666709999,0.008188957162497415,3.865427244352972e-06,0.004642702317602062,0.0066655357129503335,0.008123056761495875,0.4737978541199885,gsm8k_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,1319.0,0.9059893858984079,0.8326004548900683,221.8,96.80000000000001,0.01129109276186897,5.229521647906213e-11,0.0064571961637202675,0.009039360933169907,0.011108799592074834,0.3754465552658986,gsm8k_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,1319.0,0.9059893858984079,0.9287338893100834,129.0,-30.0,0.008610930016376457,0.008007673208090866,0.003975772737566913,0.007612433671592219,0.00858812641180667,0.4143822352953806,gsm8k_cot
8,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,1319.0,0.9059893858984079,0.8165276724791509,243.5,118.0,0.011830543240581678,3.123266401729253e-14,0.006927849462659994,0.009268164756780465,0.011571256463154976,0.35124969400270195,gsm8k_cot
9,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,1319.0,0.9059893858984079,0.8267626990144048,232.5,104.5,0.011560235543576122,6.004820264459224e-12,0.006641931564797283,0.00920679003715318,0.011352543226064963,0.35384966283842856,gsm8k_cot
10,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,1319.0,0.9059893858984079,0.8949962092494314,163.5,14.5,0.00969424704514361,0.2727839165101232,0.0059817035019179305,0.007622730914645729,0.009689520286472025,0.4193171527722015,gsm8k_cot
11,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,1319.0,0.9059893858984079,0.8438210765731615,215.5,82.0,0.011129581695150265,3.38871735274724e-08,0.007212394840955439,0.008301733312393865,0.010997154874418682,0.3906820197746571,gsm8k_cot
12,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,1319.0,0.9059893858984079,0.8099570381640635,246.33333332750001,126.66666666160003,0.01189917348178335,3.4442147466540156e-16,0.00845563054030621,0.007943602506536545,0.011601659735400482,0.427851363453129,gsm8k_cot
13,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,1319.0,0.9059893858984079,0.9128127369219106,138.5,-9.0,0.008922367169021849,0.44371500352667137,0.005519416140470445,0.007007808739099172,0.008920388884767321,0.48029182268649134,gsm8k_cot
14,deepseek_r1_distill_llama_70b,qwen3-14b,1319.0,0.9059893858984079,0.9347990902202424,119.99999999980002,-38.0000000005,0.008305118385211672,0.00044531067691715805,0.004857817231888405,0.006689345203370909,0.008267147483158467,0.4902162295369378,gsm8k_cot
15,deepseek_r1_distill_llama_70b,qwen3-32b,1319.0,0.9059893858984079,0.9336618650492797,116.0,-36.5,0.008165526621887041,0.0005340946135287203,0.005014691643412795,0.006399072360635271,0.008129899098707212,0.5304138645296156,gsm8k_cot
16,deepseek_r1_distill_llama_70b,qwen3-4b,1319.0,0.9059893858984079,0.8946171341925702,163.5,15.0,0.00969424704514361,0.2727839165101232,0.0051559782064956195,0.008203430037854738,0.009689188596153711,0.38753987612754104,gsm8k_cot
17,deepseek_r1_distill_llama_70b,qwen3-8b,1319.0,0.9059893858984079,0.9196360879460196,130.66666666609999,-18.000000000799986,0.008666377659562834,0.13565556515200167,0.005151331086791372,0.006959073041647129,0.008658227853592389,0.48550800645918424,gsm8k_cot
18,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,1319.0,0.7302880970432145,0.8125473843821076,336.75,-108.5,0.013912622671343874,3.931222048108554e-09,0.011045339108668284,0.008150549817263422,0.013727016367338165,0.535501390320411,gsm8k_cot
19,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,1319.0,0.7302880970432145,0.8032600454890069,369.5,-96.25,0.014573451695785508,5.026322842037743e-07,0.010763662520470571,0.009617275391003351,0.014434279226929954,0.3967016077640762,gsm8k_cot
20,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,1319.0,0.7302880970432145,0.8191811978771797,320.375,-117.25,0.013570145807178732,3.706886580761181e-11,0.01117628732964789,0.007297161719339074,0.013347582838590498,0.6134345429881953,gsm8k_cot
21,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,1319.0,0.7302880970432145,0.7831690674753601,326.25,-69.75,0.013694004448967735,0.00012553065732449304,0.008621353612997845,0.01053935154545923,0.013616375035931,0.4715270471518935,gsm8k_cot
22,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,1319.0,0.7302880970432145,0.6755117513267627,407.25,72.25,0.015299799901903385,0.000505738559548433,0.008621353612997845,0.012549157297905275,0.015225277895917707,0.37487628639513704,gsm8k_cot
23,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,1319.0,0.7302880970432145,0.6336239575435937,442.75,127.5,0.015952710699394097,1.1835789229382335e-09,0.012888551933282791,0.009016101514502491,0.01572910860337424,0.49025798019794037,gsm8k_cot
24,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,1319.0,0.7302880970432145,0.7386277482941622,369.625,-11.0,0.01457591655021257,0.6027199804841074,0.011975412432851641,0.008306269389201253,0.01457410766060411,0.5470062875445639,gsm8k_cot
25,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x22b_instruct_v0.1,1319.0,0.7302880970432145,0.7831690674753601,356.5,-69.75,0.014314789680439125,0.00024471253459072223,0.010770335591490047,0.009316275334738984,0.014240544753132982,0.4657861009893855,gsm8k_cot
26,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,1319.0,0.7302880970432145,0.7035633055365428,380.2499999979,35.24999999730002,0.01478392721754826,0.09034934864990325,0.011352051528420417,0.009442136849241412,0.014765602669167112,0.5073076977754785,gsm8k_cot
27,deepseek_r1_distill_llama_8b,qwen1.5-32b-chat,1319.0,0.7302880970432145,0.8165276724791509,342.75,-113.75,0.014036018636522834,6.973036442438215e-10,0.010320662160774815,0.009211687624915872,0.013833700023344345,0.457806803170774,gsm8k_cot
28,deepseek_r1_distill_llama_8b,qwen1.5-72b-chat,1319.0,0.7302880970432145,0.8267626990144048,348.25,-127.25,0.014148186206612222,5.752187186830233e-12,0.010130953764134016,0.009512022981229783,0.013896575310718275,0.41756661417521374,gsm8k_cot
29,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,1319.0,0.7302880970432145,0.7168309325246399,385.125,17.75,0.014878394167392239,0.4148572810310497,0.012232147687841206,0.008461907499989069,0.014873779465742063,0.5339689194332411,gsm8k_cot
30,deepseek_r1_distill_llama_8b,qwen2-math-1.5b-instruct,1319.0,0.7302880970432145,0.7517058377558756,351.5,-28.25,0.014214050992610064,0.13492305690334824,0.011452521865065044,0.008398286147825217,0.014201812112915234,0.5593087172236221,gsm8k_cot
31,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,1319.0,0.7302880970432145,0.7975739196360879,343.5,-88.75,0.014051366939234752,1.7786311754062638e-06,0.011173072519476494,0.008316906168552662,0.0139286926070608,0.5292363956035371,gsm8k_cot
32,deepseek_r1_distill_llama_8b,qwen2.5-coder-14b-instruct,1319.0,0.7302880970432145,0.8099570381640635,366.24999999645,-105.0833333384,0.014509218505619323,3.276876036712075e-08,0.011402572389322059,0.008699809164649203,0.014342431334855474,0.44589470532852166,gsm8k_cot
33,deepseek_r1_distill_llama_8b,qwen2.5-coder-7b-instruct,1319.0,0.7302880970432145,0.653904473085671,431.25,100.75,0.01574416956580378,1.3120411715428974e-06,0.012715976586595533,0.009042091559091235,0.015603059966360277,0.48729768011719254,gsm8k_cot
