,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,10552.0,0.7616565579984838,0.7099128127402957,2187.9999999608003,545.9999999644002,0.00443290961464054,1.3769315215005702e-31,0.002601110544569658,0.0035540366147849287,0.004404197125958757,0.5848205995762046,gsm8k_plus_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,10552.0,0.7616565579984838,0.7005307050796058,2357.0,645.0,0.004600923462448202,1.1955726817646752e-40,0.0,0.00456228073990413,0.00456228073990413,0.43988914756359837,gsm8k_plus_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,10552.0,0.7616565579984838,0.6860942633339461,2329.3333332934003,797.3333333002003,0.004573840737321993,2.5095629055749334e-62,0.0026225066439219606,0.003674422476409902,0.00451430189869498,0.564782904288748,gsm8k_plus_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,10552.0,0.7616565579984838,0.7399545109931767,1981.0,229.0,0.004218008545160706,2.92695014774806e-07,0.0,0.004212714327367855,0.004212714327367854,0.49944391594106013,gsm8k_plus_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,10552.0,0.7616565579984838,0.7011309072534022,2268.6666666551,638.6666666621002,0.00451388574932284,2.487404333325079e-41,0.002069057732297631,0.003968248113357714,0.004475264571927302,0.5202768003697893,gsm8k_plus_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,10552.0,0.7616565579984838,0.7422289613347327,1772.3333333270998,204.9999999959001,0.003989678682675928,1.3827023541298332e-06,0.001571244644318299,0.0036623704810845354,0.003985193505090852,0.5925507988920979,gsm8k_plus_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,10552.0,0.7616565579984838,0.7506002021734078,1707.3333333324,116.66666666620006,0.003915834940014449,0.005777953018039526,0.0013009388603398547,0.0036918473073327632,0.003914355433401844,0.5904664111771711,gsm8k_plus_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,10552.0,0.7616565579984838,0.7728392721758909,1784.0,-118.0,0.004002788491649522,0.005589814942456796,0.0,0.0040013078588728,0.004001307858872798,0.5269710868942729,gsm8k_plus_cot
8,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,10552.0,0.7616565579984838,0.7437452615617892,2002.0,189.0,0.0042403065430623756,2.886615344164569e-05,0.0018846836430393614,0.0037944385549505584,0.004236720002742144,0.5479891450819121,gsm8k_plus_cot
9,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,10552.0,0.7616565579984838,0.6629548900682335,2463.5,1041.5,0.0047037204259773955,1.4600409257722833e-100,0.002349711195643942,0.003959874242615341,0.00460453545108113,0.5233654980045452,gsm8k_plus_cot
10,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,10552.0,0.7616565579984838,0.6676459438985785,2438.6666666372003,991.9999999822003,0.004679952428372718,3.490518523387637e-92,0.002591886719263736,0.003787678979091047,0.0045895957135834884,0.5470784840783253,gsm8k_plus_cot
11,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,10552.0,0.7616565579984838,0.7347422289613343,1865.0,284.0,0.004092650280835706,6.062097723058683e-11,0.0016207952403797452,0.0037488878894421955,0.004084254842543986,0.5752101037980093,gsm8k_plus_cot
12,deepseek_r1_distill_llama_70b,qwen3-14b,10552.0,0.7616565579984838,0.8105888299219388,1685.6666666634999,-516.3333333363,0.003890908939165987,8.508500993877975e-37,0.0013498774714864386,0.003618023211763652,0.0038616396969276138,0.5690711011155599,gsm8k_plus_cot
13,deepseek_r1_distill_llama_70b,qwen3-32b,10552.0,0.7616565579984838,0.8139215314632298,1659.5,-551.5,0.0038605914617264366,2.6041375195679692e-42,0.0013692364742987006,0.00357358153033502,0.0038269169675473123,0.5771202075154199,gsm8k_plus_cot
14,deepseek_r1_distill_llama_70b,qwen3-4b,10552.0,0.7616565579984838,0.736827141774365,2025.9999999933002,261.9999999969001,0.004265647245984948,7.228682385522967e-09,0.001603930032154254,0.003945216083374925,0.004258793431544493,0.5289347301897322,gsm8k_plus_cot
15,deepseek_r1_distill_llama_70b,qwen3-8b,10552.0,0.7616565579984838,0.787212534749185,1821.6666666615997,-269.66666667339985,0.004044824410540813,2.319344314861902e-10,0.0016181764562225856,0.0036986774981785974,0.004037166119817932,0.5555659588368763,gsm8k_plus_cot
16,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,10552.0,0.6200009476876421,0.7099128127402957,2963.41666663995,-948.7500000355999,0.005158953067668873,4.2127156909337855e-69,0.004074391037887944,0.0030410541162088065,0.005084158973451963,0.6336765292169033,gsm8k_plus_cot
17,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,10552.0,0.6200009476876421,0.7005307050796058,3077.25,-849.75,0.00525710447204738,1.143025391383875e-53,0.0031360622226847047,0.0041458029096633235,0.005198323578839914,0.48180456591329157,gsm8k_plus_cot
18,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,10552.0,0.6200009476876421,0.6860942633339461,2875.7499999735,-697.4166666997999,0.005082071626570864,6.798826102539749e-39,0.0040880835805992225,0.0029497531699384173,0.005041177553461761,0.666202274228296,gsm8k_plus_cot
19,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,10552.0,0.6200009476876421,0.7011309072534022,3032.9166666599003,-856.0833333378998,0.005219098054474226,4.337688090485216e-55,0.0037571114122595226,0.0035354382565768493,0.005158993102359985,0.5580902121989473,gsm8k_plus_cot
20,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,10552.0,0.6200009476876421,0.6408500758150114,3064.625,-220.0,0.005246309255734023,7.558771933606351e-05,0.003741716366601825,0.0036718012977348387,0.005242381723810583,0.5609331904639548,gsm8k_plus_cot
21,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,10552.0,0.6200009476876421,0.6056671721000758,3175.25,151.25,0.005340158898363283,0.007756369146003708,0.0031360622226847047,0.004320062485382693,0.005338335521692227,0.4895422787745706,gsm8k_plus_cot
22,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,10552.0,0.6200009476876421,0.596664139501213,3294.5833333092505,246.24999998320004,0.005439581223551382,1.9490521176469177e-05,0.00421073479074011,0.003436152603370591,0.005434835065721833,0.5713732332355435,gsm8k_plus_cot
23,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x22b_instruct_v0.1,10552.0,0.6200009476876421,0.6317285822592873,3334.5,-123.75,0.0054724345777824555,0.033138774599137485,0.004008463873125623,0.003723804953985363,0.005471243547629663,0.5136885570815078,gsm8k_plus_cot
24,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,10552.0,0.6200009476876421,0.5363280262827709,3499.0833333144,882.9166666642004,0.005605861455285674,1.407659784613589e-50,0.004163066976178912,0.003664841734257822,0.005546367422494592,0.5339888384767982,gsm8k_plus_cot
25,deepseek_r1_distill_llama_8b,qwen1.5-32b-chat,10552.0,0.6200009476876421,0.6477918877937832,3233.5,-293.25,0.005388918928908502,2.7644515454871473e-07,0.003884146676859369,0.0037256755700617135,0.005382123545656711,0.5238360327756794,gsm8k_plus_cot
26,deepseek_r1_distill_llama_8b,qwen1.5-72b-chat,10552.0,0.6200009476876421,0.6572687642153147,3255.0,-393.25,0.005406805089308533,4.7049073023973686e-12,0.003804127860417046,0.00382498746303103,0.005394619344378779,0.5043196083418825,gsm8k_plus_cot
27,deepseek_r1_distill_llama_8b,qwen2-7b-instruct,10552.0,0.6200009476876421,0.5918941117020754,3342.0833333076002,296.58333331970016,0.005478653760228472,3.288487140216951e-07,0.004227999666606578,0.0034734419624933067,0.005471816905529158,0.5608576547561214,gsm8k_plus_cot
28,deepseek_r1_distill_llama_8b,qwen2-math-1.5b-instruct,10552.0,0.6200009476876421,0.5678860247668593,3355.58333331585,549.9166666601002,0.005489707836178242,2.4959436499306334e-21,0.004111693126245787,0.003601872165606846,0.00546621472884026,0.5521932836296304,gsm8k_plus_cot
29,deepseek_r1_distill_llama_8b,qwen2-math-72b-instruct,10552.0,0.6200009476876421,0.6629548900682335,3331.0,-453.25,0.005469561800799119,3.3179690323774508e-15,0.0039186769409437945,0.003792785922517214,0.005453554255852725,0.49204216202758105,gsm8k_plus_cot
30,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,10552.0,0.6200009476876421,0.6202299722022934,3300.74999998165,-2.416666678599995,0.005444669636699865,0.9861116647796646,0.004090523854404817,0.003593332308389212,0.005444669180213668,0.5404807916025257,gsm8k_plus_cot
31,deepseek_r1_distill_llama_8b,qwen2.5-coder-14b-instruct,10552.0,0.6200009476876421,0.6676459438985785,3240.91666664985,-502.7500000177997,0.005395095660474719,1.153475444612281e-18,0.004068508698533882,0.0035127147241618335,0.005375121185925877,0.5408883295229936,gsm8k_plus_cot
32,deepseek_r1_distill_llama_8b,qwen3-1.7b,10552.0,0.6200009476876421,0.5864607025523597,3171.4166666582,353.91666666750007,0.0053369344607293746,3.9192251617601587e-10,0.003785687917964385,0.0037476427911405904,0.0053269371595889466,0.5571764014030689,gsm8k_plus_cot
33,deepseek_r1_distill_qwen_1.5b,deepseek_v2_lite_chat,10552.0,0.4960434040940106,0.4670204700530705,3740.75,306.25,0.005796215978391533,6.039724595591532e-07,0.004191375602376053,0.0039935777929615696,0.005789325783597692,0.47095340382305134,gsm8k_plus_cot
34,deepseek_r1_distill_qwen_1.5b,llama-3.2-3B-instruct,10552.0,0.4960434040940106,0.49649355572403336,3661.25,-4.75,0.0057342933944667445,0.9472922946952586,0.003393280927952774,0.004622525940890667,0.005734291720013484,0.4268511419132085,gsm8k_plus_cot
35,deepseek_r1_distill_qwen_1.5b,mistralai_mathstral_7b_v0.1,10552.0,0.4960434040940106,0.47507581501110685,3894.7499999765505,221.25000000280056,0.005914322610685774,0.0004475035312762496,0.00460326123202941,0.0037077666934667197,0.005910799254202942,0.47506491292184794,gsm8k_plus_cot
36,deepseek_r1_distill_qwen_1.5b,mistralai_mixtral_8x7b_instruct_v0.1,10552.0,0.4960434040940106,0.4478140005048995,3886.91666664655,508.9166666723004,0.0059083720132574215,3.8072323348569433e-16,0.0045441336958686645,0.003746901321462145,0.005889687645257919,0.47124653831623375,gsm8k_plus_cot
37,deepseek_r1_distill_qwen_1.5b,qwen1.5-14b-chat,10552.0,0.4960434040940106,0.5363280262827709,3693.9166666520005,-425.0833333357998,0.005759818047786684,2.8554086448594516e-12,0.004360114200294454,0.00374314206791699,0.005746451807874075,0.5088423322678773,gsm8k_plus_cot
38,deepseek_r1_distill_qwen_1.5b,qwen1.5-7b-chat,10552.0,0.4960434040940106,0.4018511498595432,3845.58333331955,993.9166666820997,0.005876873341783877,3.0720173421222603e-58,0.004475093312037701,0.0036973469566185736,0.005804897472743269,0.4845518234316541,gsm8k_plus_cot
39,deepseek_r1_distill_qwen_1.5b,qwen2-7b-instruct,10552.0,0.4960434040940106,0.5918941117020754,3722.7499999814,-1011.4166666802996,0.00578225384533731,1.9637483372582083e-62,0.004422154494393342,0.003606706888763459,0.0057064686938365855,0.5212525202748778,gsm8k_plus_cot
40,deepseek_r1_distill_qwen_1.5b,qwen2-math-1.5b-instruct,10552.0,0.4960434040940106,0.5678860247668593,3629.5833333176497,-758.0833333398996,0.005709441184777979,1.4623358412230154e-36,0.004311089138010807,0.003677375854383303,0.005666443569848383,0.528478254619939,gsm8k_plus_cot
