,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,403.0,0.7196029776674938,0.640818858560794,76.75,31.75,0.021738728868405995,0.0003129786008370502,0.015080950100673968,0.015157026325775919,0.021381545851020277,0.7290159410433049,lsat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,403.0,0.7196029776674938,0.6873449131513648,63.5,13.0,0.01977342115447795,0.12991792302255253,0.012028982276467317,0.015611203618314213,0.019708021032565186,0.7259356636766799,lsat_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,403.0,0.7196029776674938,0.6823821339950372,92.0,15.0,0.023800652721154936,0.1749838984629618,0.0117702642438029,0.020603258341572093,0.023728324312064373,0.5283426786571596,lsat_cot
3,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,403.0,0.7196029776674938,0.739454094292804,80.0,-8.0,0.022194223101734887,0.43404225534547874,0.007444168734491315,0.020885163576419192,0.02217218315280128,0.5279258101629482,lsat_cot
4,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,403.0,0.7196029776674938,0.6377171215880894,88.0,33.0,0.023277497567361933,0.000846496085616675,0.012156276639122473,0.019427516208877928,0.022917317639136767,0.5929338763995678,lsat_cot
5,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,403.0,0.7196029776674938,0.7468982630272953,100.0,-11.0,0.02481389578163772,0.2712530240738354,0.007444168734491315,0.023631865342757834,0.024776616147606123,0.3893542944584311,lsat_cot
6,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,403.0,0.7196029776674938,0.6861042183622829,86.0,13.5,0.023011460286589833,0.2353798622110552,0.012219426553096904,0.019427516208877928,0.022950877354313587,0.5739071536502813,lsat_cot
7,deepseek_r1_distill_llama_70b,qwen3-14b,403.0,0.7196029776674938,0.751861042183871,67.66666666590001,-13.000000000099995,0.020411848931651225,0.1420713794263756,0.012240404124661384,0.016255275837129303,0.020348500821342763,0.6783293541675455,lsat_cot
8,deepseek_r1_distill_llama_70b,qwen3-32b,403.0,0.7196029776674938,0.7853598014888338,71.0,-26.5,0.020908560231206845,0.0018204049356112858,0.012092796953857276,0.01673925696661773,0.020650386484559552,0.6449250966497689,lsat_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,403.0,0.7196029776674938,0.6991315136476427,98.25,8.25,0.02459581588287718,0.4796924995674869,0.013801858226604832,0.020332805158425712,0.02457466695843105,0.5044254192684855,lsat_cot
