,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.789,0.7626666666675999,91.49999999900001,13.166666666200001,0.01913112646960445,0.20817442238117578,0.014153915830167518,0.012817167307160456,0.019094845144886866,0.6679162174569897,math500_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,500.0,0.789,0.811,77.5,-11.0,0.01760681686165901,0.2543046661477,0.012727922061357855,0.012125675238929996,0.017579306015881285,0.692852627395263,math500_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,500.0,0.789,0.7273333333349999,96.16666666590001,30.83333333250002,0.01961292091106269,0.002878610081200932,0.014918296000166299,0.012430026370039518,0.019418061466285854,0.6953489568636265,math500_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.789,0.7833333333339999,98.83333333210001,2.833333333000006,0.019882991055884928,0.9196068309220428,0.012905640454908768,0.015123278598069107,0.019881375986238802,0.5478977727472032,math500_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,500.0,0.789,0.8546666666668,86.49999999959999,-32.83333333339999,0.018601075237695264,0.00031699928227764087,0.012197449642219839,0.013733098703557543,0.018367791859016228,0.5709939578800577,math500_cot
5,deepseek_r1_distill_llama_70b,qwen2-math-7b-instruct,500.0,0.789,0.707,105.5,41.0,0.020542638584174138,7.808423662658282e-05,0.012961481396815721,0.015509738875945011,0.020212669294281744,0.5902890867182593,math500_cot
6,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,500.0,0.789,0.744,103.5,22.5,0.020346989949375803,0.029682214631626732,0.012688577540449521,0.015778149447891538,0.020247222031676348,0.5522667778414124,math500_cot
7,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.789,0.8066666666664001,92.1666666664,-8.833333333199988,0.01920069443185845,0.3481412903192059,0.01262713128309919,0.014442922142100413,0.019184432346134105,0.5705315809859812,math500_cot
8,deepseek_r1_distill_llama_70b,qwen3-32b,500.0,0.789,0.815,87.5,-13.0,0.01870828693386971,0.1979791406725175,0.012727922061357855,0.013661917874149297,0.018672118251553575,0.6060048136156398,math500_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.789,0.771,95.75,9.0,0.01957038579078093,0.41191007368097665,0.013546217184144066,0.014101489283050921,0.019553823155587756,0.6043429336083751,math500_cot
