,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,5000.0,0.7094,0.65573333333802,1534.3333333099001,268.3333333099001,0.007834113436273181,8.251581897364826e-12,0.004600483066307953,0.006295463975505552,0.007797263052525187,0.40675596129634645,math_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,5000.0,0.7094,0.68386666667272,1460.3333333084001,127.66666663640024,0.007642861593168884,0.0010633122968803008,0.004558752265827033,0.0061237832170148295,0.007634326631090368,0.4302894887650814,math_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,5000.0,0.7094,0.80166666666766,1350.6666666621,-461.33333333829995,0.007350283441234359,8.305642724898771e-37,0.0026649994787742667,0.0067247168631121325,0.007233535726799985,0.3244353522360017,math_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,5000.0,0.7094,0.71515,1532.25,-28.75,0.007828793010419933,0.4587557898157339,0.0031356817440550307,0.007172927400998842,0.007828370679777498,0.2897711897427284,math_cot
4,deepseek_r1_distill_llama_70b,qwen3-1.7b,5000.0,0.7094,0.6298000000009201,1750.666666663,397.9999999954001,0.008368193751731612,1.5558269889262552e-21,0.00357024742364298,0.007484167822845767,0.00829213088817038,0.2555221924792169,math_cot
5,deepseek_r1_distill_llama_70b,qwen3-32b,5000.0,0.7094,0.7517,1539.5,-211.5,0.00784729252672538,8.271482412911737e-08,0.0033,0.007094514923516618,0.007824457936496304,0.2625577309610963,math_cot
6,deepseek_r1_distill_llama_70b,qwen3-4b,5000.0,0.7094,0.78133333333392,1398.9999999958,-359.6666666696001,0.007480641683694789,4.681058759994696e-22,0.0028284271246754793,0.006850191173341531,0.007411148299077967,0.31166792291542217,math_cot
7,deepseek_r1_distill_llama_70b,qwen3-8b,5000.0,0.7094,0.7777,1450.5,-341.5,0.007617086057016818,2.3262239762082823e-19,0.0026739483914241875,0.00706661319162157,0.007555595410025606,0.2783417801105768,math_cot
8,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,5000.0,0.65573333333802,0.7094,1534.3333333099001,-268.3333333099001,0.007834113436273181,8.251581897364826e-12,0.004600483066307953,0.006295463975505552,0.007797263052525187,0.40675596129634645,math_cot
9,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,5000.0,0.65573333333802,0.59033333333722,1774.7777777446224,327.0000000040002,0.008425622298072998,1.012036572353991e-14,0.006613118275907871,0.005138321299667557,0.008374704717765514,0.4699749014899012,math_cot
10,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,5000.0,0.65573333333802,0.599000000003,1808.9999999669003,283.6666666750999,0.008506468127176873,2.5755047871689648e-11,0.00660437565373116,0.005300800694312003,0.00846854567068133,0.4333981655204302,math_cot
11,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,5000.0,0.65573333333802,0.5784,1863.9999999861,386.6666666900999,0.008634813257936967,2.8324131359946985e-19,0.004600483066307953,0.007224919838103667,0.008565273557243232,0.3005133443311403,math_cot
12,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,5000.0,0.65573333333802,0.68386666667272,1621.7777777352558,-140.6666666735,0.008054260432181853,0.0005028325546420909,0.006476624635145173,0.0047713884306286175,0.00804442752596516,0.5100636945848485,math_cot
13,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,5000.0,0.65573333333802,0.71515,1529.7499999767501,-297.08333330990024,0.007822403722582338,3.115928866138587e-14,0.005567489958983872,0.005430192215772809,0.007777141630678062,0.4665703241111788,math_cot
14,deepseek_r1_distill_llama_8b,llama-3.1-70B-instruct,5000.0,0.65573333333802,0.5854666666669599,1821.5555555383446,351.3333333552998,0.008535937102716596,1.918249605996479e-16,0.004642796092278637,0.007093601749326194,0.008477897223517245,0.32095348519201106,math_cot
15,deepseek_r1_distill_llama_8b,qwen3-1.7b,5000.0,0.65573333333802,0.6298000000009201,1692.9999999751667,129.6666666855,0.008229216244516039,0.0017041573820693438,0.005823324747033739,0.005802963151183753,0.008221039620596171,0.42434418167033094,math_cot
16,deepseek_r1_distill_llama_8b,qwen3-32b,5000.0,0.65573333333802,0.7517,1586.4999999774002,-479.8333333099001,0.007966178506605033,8.110689266984996e-34,0.005661664458742343,0.00543724519712579,0.007849718452088181,0.41419478522425573,math_cot
17,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_8b,5000.0,0.59033333333722,0.65573333333802,1774.7777777446224,-327.0000000040002,0.008425622298072998,6.936868223518634e-15,0.006613118275907871,0.005138321299667557,0.008374704717765514,0.4699749014899011,math_cot
18,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_14b,5000.0,0.59033333333722,0.599000000003,2003.1111110914558,-43.333333328899926,0.008951225862621178,0.3255427514759414,0.006709860074544857,0.0059234449437356946,0.008950386707927154,0.3171804781528473,math_cot
19,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,5000.0,0.59033333333722,0.5784,2013.6666666553,59.66666668610003,0.008974779477302604,0.19609381210653357,0.004750672466899865,0.007612443555754232,0.008973192618979298,0.23427823360351785,math_cot
20,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_7b,5000.0,0.59033333333722,0.68386666667272,1787.2222221911445,-467.6666666775002,0.008455110223270054,8.447852157237879e-29,0.00658415606656947,0.005136933023675925,0.008350999461063078,0.45424999730683446,math_cot
21,deepseek_r1_distill_qwen_1.5b,llama-3.1-70B-instruct,5000.0,0.59033333333722,0.5854666666669599,1690.7777777587223,24.33333335129987,0.008223813659753538,0.5758471967953718,0.004791659420164584,0.0066832906732088955,0.008223525656399024,0.4153939302330319,math_cot
22,deepseek_r1_distill_qwen_1.5b,qwen2-72b-instruct,5000.0,0.59033333333722,0.5408,1752.9999999843,247.66666668609992,0.008373768566145832,3.4082160995382848e-09,0.004750672466899865,0.0068600583736082256,0.008344416682852839,0.3967710294584918,math_cot
23,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-32b-instruct,5000.0,0.59033333333722,0.5438,1817.9999999845,232.6666666860997,0.008527602242094786,5.0415582719548664e-08,0.004750672466899865,0.007051102104587976,0.008502172062307693,0.35912371801159876,math_cot
24,deepseek_r1_distill_qwen_1.5b,qwen3-1.7b,5000.0,0.59033333333722,0.6298000000009201,1570.4444444168557,-197.33333331850008,0.00792576669961173,6.420259834912118e-07,0.005942689252669181,0.005214470123356325,0.007906089692203442,0.5494779036790058,math_cot
25,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_8b,5000.0,0.599000000003,0.65573333333802,1808.9999999669003,-283.6666666750999,0.008506468127176873,2.5755047871689648e-11,0.00660437565373116,0.005300800694312003,0.00846854567068133,0.4333981655204302,math_cot
