,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.641,0.6945,89.5,-26.75,0.0189208879284245,0.005544959035344681,0.011280514172678478,0.015000849975918032,0.018769003702914015,0.7028852126814698,mbpp
1,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.641,0.6032000000000001,105.69999999999999,18.9,0.0205621010599598,0.07848502733901798,0.011944873377311288,0.016651195752858113,0.02049249423569517,0.6523805317616237,mbpp
2,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,500.0,0.641,0.6013333333358001,105.8333333324,19.833333332100004,0.020575065815923894,0.07848502733901798,0.014232201359922427,0.014752318085362882,0.02049844980580489,0.705181843759962,mbpp
3,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.641,0.6813333333336,130.8333333328,-20.16666666679999,0.02287647991565136,0.095253411432518,0.013884443732900821,0.018091489712113606,0.022805257678342537,0.5355691538839689,mbpp
4,deepseek_r1_distill_llama_70b,qwen2.5-coder-7b-instruct,500.0,0.641,0.573,151.25,34.0,0.024596747752497684,0.008986616457699267,0.016837458240482737,0.01767065363816517,0.024408031465073133,0.5368612984481965,mbpp
5,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.641,0.7293333333334001,90.16666666680001,-44.1666666667,0.01899122604433953,3.7950491781678e-06,0.010989894347794654,0.014976092058208375,0.018575820603990035,0.6950632536670315,mbpp
6,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.641,0.6405,96.75,0.25,0.019672315572906003,1.0,0.011821590417536889,0.01572416929443333,0.019672302864687703,0.683614840014691,mbpp
7,deepseek_r1_distill_llama_70b,qwen3-8b,500.0,0.641,0.6533333333332,103.5000000001,-6.166666666599994,0.020346989949385632,0.5546010666648732,0.012106013198083743,0.016344424805602876,0.02033951272224053,0.651563006964143,mbpp
8,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,500.0,0.3425,0.323,133.875,9.75,0.023140872930812267,0.48802234383086557,0.018728320800328043,0.013564272925593913,0.023124435128236108,0.6587069741945626,mbpp
9,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,500.0,0.3425,0.4033333333336,136.58333333230001,-30.416666666799998,0.023373774477589194,0.012604512869782388,0.017418859510878813,0.01534650702213741,0.023214907805982045,0.6277333008494732,mbpp
10,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,500.0,0.3425,0.262,128.75,40.25,0.022693611435820434,0.0005157836706414046,0.012835497652993437,0.01836544309293952,0.02240623797070807,0.5040703499347369,mbpp
11,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,500.0,0.3425,0.411,127.75,-34.25,0.022605309110914632,0.0024175519250980984,0.018296174463531985,0.012917642973855562,0.022396774321316898,0.722613402625772,mbpp
12,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,500.0,0.3425,0.3405,125.25,1.0,0.022383029285599394,1.0,0.01736375535418534,0.01412416369205625,0.02238285057806534,0.6670720652525658,mbpp
13,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,500.0,0.3425,0.368,122.125,-12.75,0.022102036105300343,0.23908881247691446,0.017284386017443604,0.01372769099302574,0.022072596131855447,0.6963656396716305,mbpp
14,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,500.0,0.3425,0.372,125.08333333265,-14.75,0.022368132093015726,0.21032725479608821,0.016582286398947255,0.014953949682738969,0.022329192402113427,0.6560908778527794,mbpp
15,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,500.0,0.3425,0.3193333333322,122.91666666540002,11.583333333900015,0.022173557825969203,0.3193082974752452,0.01671576102547932,0.014531916979933265,0.022149340346218127,0.6523993264882959,mbpp
16,deepseek_r1_distill_llama_8b,qwen2.5-coder-0.5b-instruct,500.0,0.3425,0.25,133.75,46.25,0.023130067012440754,5.6329665711642105e-05,0.018372533848111425,0.013428979857010734,0.022757141736167132,0.6397597851484358,mbpp
17,deepseek_r1_distill_llama_8b,qwen2.5-coder-1.5b-instruct,500.0,0.3425,0.328,134.75,7.25,0.023216373532487802,0.5455343664798736,0.018953891421024865,0.013391396491777847,0.023207315656921634,0.6647120457645697,mbpp
18,deepseek_r1_distill_qwen_1.5b,qwen1.5-1.8b-chat,500.0,0.112,0.07133333333179999,64.9999999996,20.333333334100008,0.016124515496547483,0.01685819004428113,0.012103718436794537,0.010497258901513054,0.016021624276040022,0.4102083416218771,mbpp
19,deepseek_r1_distill_qwen_1.5b,qwen2-0.5b-instruct,500.0,0.112,0.06720000000000001,62.5,22.400000000000002,0.015811388300841896,0.007148733833163066,0.012760094043540587,0.009119535075868726,0.015683938280929316,0.5162097571124729,mbpp
20,deepseek_r1_distill_qwen_1.5b,qwen2-1.5b-instruct,500.0,0.112,0.1245,73.375,-6.25,0.017131841699011812,0.48278855684402133,0.013883443376914821,0.010021851126413722,0.017122718826167765,0.5522372740105094,mbpp
21,deepseek_r1_distill_qwen_14b,google_gemma_3_4b_it,500.0,0.533,0.6032000000000001,118.4,-35.1,0.021762352813976708,0.0011783931030854508,0.014532033581023684,0.01589225975121222,0.021534714300403428,0.6724052288628594,mbpp
22,deepseek_r1_distill_qwen_14b,llama-3.1-8B-instruct,500.0,0.533,0.522,128.5,5.5,0.022671568097509268,0.6587012845406401,0.01214495780149112,0.019137868219841,0.022666230387958203,0.5777042233227366,mbpp
