,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,2750.0,0.858,0.7935454545454546,450.5,177.25,0.0077181764642876806,6.375044572006417e-17,0.004831884460333931,0.005891727572973801,0.007619682488933267,0.5771807715216246,mgsm_cot
1,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,2750.0,0.858,0.8247272727272728,448.5,91.5,0.007701024939835407,1.6065999872289415e-05,0.0032878438763682045,0.00693493296771618,0.007674842840220811,0.45240345591586895,mgsm_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,2750.0,0.858,0.7784242424251272,525.3333333292,218.8333333309,0.008334600454595617,4.515103613795682e-22,0.005207538506766901,0.006328068619949461,0.008195298027420915,0.5055014260266043,mgsm_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,2750.0,0.858,0.8623896103902546,368.47619047399996,-12.071428573199995,0.006980266782881464,0.5664233288181031,0.004493623266638621,0.00534083022621214,0.006979764864785715,0.5759466546588137,mgsm_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,2750.0,0.858,0.8915151515155637,330.9999999987,-92.16666666780002,0.006615783781318009,4.6374698109712616e-07,0.004191468881699503,0.005078555258762993,0.006584841296687758,0.5853427353025173,mgsm_cot
5,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,2750.0,0.858,0.7701818181818182,551.0,241.5,0.008535777886767638,2.570141961216897e-25,0.0032878438763682045,0.007697091081665792,0.008369894173454701,0.4158137012235856,mgsm_cot
6,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,2750.0,0.858,0.7937272727272727,462.375,176.75,0.007819238829180791,1.6798926283559657e-16,0.004710635057466042,0.006119496500160539,0.007722585063313008,0.5503016788019987,mgsm_cot
7,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,2750.0,0.858,0.773,513.375,233.75,0.00823919277117978,1.8049486814500307e-25,0.0048370129434265555,0.006469955995098606,0.008078182022793768,0.517320981284795,mgsm_cot
8,deepseek_r1_distill_llama_70b,qwen3-14b,2750.0,0.858,0.8442424242430909,375.83333333135,37.83333333150003,0.007049607768997324,0.06287860992344103,0.004525207431179341,0.005399133414083019,0.007044724545237272,0.5943723602201775,mgsm_cot
9,deepseek_r1_distill_llama_70b,qwen3-32b,2750.0,0.858,0.8898545454545455,331.9,-87.6,0.006624771943681165,2.0038993665417267e-06,0.004188611083631107,0.005096484503067532,0.0065968641868637,0.5853366143180428,mgsm_cot
10,deepseek_r1_distill_llama_70b,qwen3-8b,2750.0,0.858,0.8009696969700728,448.8333333313001,156.83333333230007,0.007703886178980339,1.382032622225961e-13,0.004851135638943346,0.005885034765704811,0.007626739223349682,0.5664994598596942,mgsm_cot
11,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,2750.0,0.4041818181818182,0.3716,828.9,89.60000000000002,0.010469317626772431,0.001963876740790008,0.007755136927245745,0.0070056003013495545,0.0104508652437298,0.5634374487129088,mgsm_cot
12,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,2750.0,0.4041818181818182,0.3836363636363636,889.25,56.5,0.010843743673635232,0.0700651470677977,0.008249217343291392,0.007027353233156935,0.010836663704315122,0.5321736360181929,mgsm_cot
13,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,2750.0,0.4041818181818182,0.44,875.0,-98.5,0.010756508696544756,0.0009126141757441061,0.005765385452984701,0.009055180036842136,0.010734801112322107,0.4438393265630189,mgsm_cot
14,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,2750.0,0.4041818181818182,0.35163636363636364,894.0,144.5,0.010872666463800766,1.6473367534013527e-06,0.005765385452984701,0.00916357995522452,0.010826396769806668,0.3968207440954237,mgsm_cot
15,deepseek_r1_distill_llama_8b,mistralai_mixtral_8x7b_instruct_v0.1,2750.0,0.4041818181818182,0.4444848484848727,891.6666666607501,-110.83333333339999,0.010858468404308772,0.00022469648715074176,0.008097092178251632,0.007193939626079932,0.010831235806074339,0.537289690585225,mgsm_cot
16,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,2750.0,0.4041818181818182,0.4347878787882909,793.6666666598501,-84.16666666779997,0.010244396439093056,0.0028319564278190996,0.007913559633786952,0.006479398343129299,0.010227757768272035,0.6334998005468684,mgsm_cot
