,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,12032.0,0.32360926418350233,0.3151041666654006,3114.777777727689,102.33333333780001,0.004638480236845843,0.07028935637583827,0.0034401953847268026,0.003110392675788319,0.004637832131793173,0.6017682528656277,mmlu_pro_cot
1,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,12032.0,0.32360926418350233,0.2613447473404255,3474.1666666449,749.1666666558997,0.00489877509538617,4.399373708731862e-37,0.0032967932849590786,0.0035786782758444697,0.004865776830656377,0.45231768762156294,mmlu_pro_cot
2,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,12032.0,0.32360926418350233,0.27002992021276595,3649.9999999797,644.6666666558997,0.005021212588747079,1.1489064244563246e-26,0.00245457185646974,0.004353051833833787,0.004997397649438857,0.3400012402243305,mmlu_pro_cot
3,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,12032.0,0.32360926418350233,0.4152468417553192,3508.9166666457004,-1102.5833333441005,0.004923213886527087,2.0528496016959584e-78,0.003312014075133703,0.0035455143123865993,0.0048518150184463935,0.5447024413625517,mmlu_pro_cot
4,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,12032.0,0.32360926418350233,0.37466755319148937,3534.9999999787,-614.3333333441001,0.004941478223454111,4.767162051017344e-25,0.00245457185646974,0.00426340428247411,0.004919505978692565,0.4373251435187268,mmlu_pro_cot
5,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,12032.0,0.32360926418350233,0.2921376329787234,3517.9999999775,378.66666665590014,0.004929581990122839,1.7718610203395442e-10,0.00245457185646974,0.004265388198688917,0.004921225404722689,0.38588750892257323,mmlu_pro_cot
6,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,12032.0,0.32360926418350233,0.2973459663085439,3530.222222157411,316.0000000315001,0.004938137732956309,1.1254886412953807e-07,0.0036938765143154136,0.0032685093500276143,0.004932329781576747,0.5156104662838589,mmlu_pro_cot
7,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,12032.0,0.32360926418350233,0.3283466312028341,3399.666666598067,-56.999999976600066,0.004845965805190518,0.33678777986947966,0.0036468268332209603,0.0031909517995487077,0.004845773347830411,0.5621691246035792,mmlu_pro_cot
8,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,12032.0,0.32360926418350233,0.27878435283426695,3532.2222221741117,539.3333333539999,0.004939536352718071,1.389894472983579e-19,0.003407016653204543,0.003553063865503602,0.004922603509075302,0.45852614411221376,mmlu_pro_cot
9,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,12032.0,0.32360926418350233,0.31274933510407243,3567.9999999496335,130.66666668370044,0.0049644895355594005,0.029491299996790964,0.0035145758501200376,0.003504869599507516,0.004963502222805885,0.48193163918486903,mmlu_pro_cot
