,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,aime2024_cot,30,51,1532,116,11,0,"{'count': 51.0, 'mean': 0.0322860335, 'std': 0.0298462294, 'min': 0.0, '25%': 0.0, '50%': 0.0233729822, '75%': 0.060336871, 'max': 0.0887672779}","{'count': 51.0, 'mean': 0.0264416989, 'std': 0.0263455902, 'min': 0.0, '25%': 0.0, '50%': 0.0163865347, '75%': 0.0479659754, 'max': 0.0750925355}","{'count': 51.0, 'mean': 0.0163104796, 'std': 0.0165965031, 'min': 0.0, '25%': 0.0, '50%': 0.0144337567, '75%': 0.0290468174, 'max': 0.05}","{'count': 116.0, 'mean': 0.0737720596, 'std': 0.0074258421, 'min': 0.0591412308, '25%': 0.0683130051, '50%': 0.0733372059, '75%': 0.0801939521, 'max': 0.0879814795}","{'count': 116.0, 'mean': 0.0507839029, 'std': 0.0107293731, 'min': 0.0269124476, '25%': 0.04197111, '50%': 0.0497327776, '75%': 0.0593171014, 'max': 0.0761334112}","{'count': 116.0, 'mean': 0.052163893, 'std': 0.0091378776, 'min': 0.0314269681, '25%': 0.0463980364, '50%': 0.0535758376, '75%': 0.0587944736, 'max': 0.0669553933}","{'count': 116.0, 'mean': 0.0745387044, 'std': 0.0074941428, 'min': 0.0600925213, '25%': 0.0687184271, '50%': 0.0745355992, '75%': 0.0816496581, 'max': 0.0881917104}","{'count': 116.0, 'mean': 0.6527192039, 'std': 0.1457151574, 'min': 0.191942974, '25%': 0.5435596616, '50%': 0.6626918382, '75%': 0.7680527202, 'max': 0.9244338492}","{'count': 116.0, 'mean': 5.0505268199, 'std': 1.0053223175, 'min': 3.25, '25%': 4.25, '50%': 5.0, '75%': 6.0, 'max': 7.0}",
1,ds1000,1000,39,706,224,324,3,"{'count': 39.0, 'mean': 0.00921206, 'std': 0.0040987609, 'min': 0.0007743643, '25%': 0.006257755, '50%': 0.0101923961, '75%': 0.0121887797, 'max': 0.0153973988}","{'count': 39.0, 'mean': 0.0075168085, 'std': 0.0037064143, 'min': 0.0003458902, '25%': 0.0048948033, '50%': 0.0081033789, '75%': 0.0101073031, 'max': 0.0136264408}","{'count': 39.0, 'mean': 0.0050708653, 'std': 0.0024037323, 'min': 0.0002664694, '25%': 0.0030921806, '50%': 0.0057825168, '75%': 0.007056466, 'max': 0.0085403454}","{'count': 224.0, 'mean': 0.0129015223, 'std': 0.0007885829, 'min': 0.010846766, '25%': 0.0124697133, '50%': 0.0128873096, '75%': 0.0132303604, 'max': 0.0154657415}","{'count': 224.0, 'mean': 0.008876992, 'std': 0.0011491101, 'min': 0.0067875622, '25%': 0.0079324116, '50%': 0.0087235721, '75%': 0.009777314, 'max': 0.0117258116}","{'count': 224.0, 'mean': 0.0092332962, 'std': 0.0013063991, 'min': 0.0047785424, '25%': 0.0086182536, '50%': 0.0094934188, '75%': 0.010137595, 'max': 0.0112666543}","{'count': 224.0, 'mean': 0.0129468505, 'std': 0.0007930078, 'min': 0.0109239797, '25%': 0.012504999, '50%': 0.012920084, '75%': 0.0132900339, 'max': 0.0154730949}","{'count': 224.0, 'mean': 0.5756840172, 'std': 0.0879889862, 'min': 0.3234701046, '25%': 0.5163743837, '50%': 0.5949383316, '75%': 0.6493888124, 'max': 0.7249709874}","{'count': 224.0, 'mean': 168.2469908585, 'std': 20.9813497937, 'min': 119.3333333329, '25%': 156.375, '50%': 166.9285714286, '75%': 176.625, 'max': 239.4166666664}",
2,gpqa_cot,448,51,1314,1262,0,93,"{'count': 51.0, 'mean': 0.0199596741, 'std': 0.003356742, 'min': 0.0064084273, '25%': 0.0191980549, '50%': 0.0208386636, '75%': 0.0219968093, 'max': 0.0236225442}","{'count': 51.0, 'mean': 0.0151167504, 'std': 0.0045533914, 'min': 0.0030298821, '25%': 0.0129921007, '50%': 0.0157031006, '75%': 0.0182202246, 'max': 0.0235888577}","{'count': 51.0, 'mean': 0.0118287801, 'std': 0.0045919279, 'min': 0.0, '25%': 0.0110449455, '50%': 0.0127740214, '75%': 0.0147689235, 'max': 0.0172720843}","{'count': 1262.0, 'mean': 0.0271284195, 'std': 0.0016887441, 'min': 0.0170627543, '25%': 0.0265976471, '50%': 0.0273512904, '75%': 0.0280824008, 'max': 0.0296860539}","{'count': 1262.0, 'mean': 0.0193366014, 'std': 0.0029041974, 'min': 0.0107360709, '25%': 0.0175526053, '50%': 0.0193613206, '75%': 0.0210192525, 'max': 0.02830681}","{'count': 1262.0, 'mean': 0.0186149807, 'std': 0.003155835, 'min': 0.0, '25%': 0.0170177726, '50%': 0.019161032, '75%': 0.0209043783, 'max': 0.0240538639}","{'count': 1262.0, 'mean': 0.0272510089, 'std': 0.0016871946, 'min': 0.0171454146, '25%': 0.0267411116, '50%': 0.0274857374, '75%': 0.0282318641, 'max': 0.0298222974}","{'count': 1262.0, 'mean': 0.2379278434, 'std': 0.1363078349, 'min': -0.0798957394, '25%': 0.1435201086, '50%': 0.2223483212, '75%': 0.3279950164, 'max': 0.8244510273}","{'count': 1262.0, 'mean': 149.6171764392, 'std': 16.9063468132, 'min': 59.0, '25%': 143.5208333331, '50%': 151.625, '75%': 159.9687499987, 'max': 178.5}",
3,mbpp,500,35,304,290,19,11,"{'count': 35.0, 'mean': 0.01987046, 'std': 0.0039399518, 'min': 0.0047062852, '25%': 0.0197674411, '50%': 0.0212832746, '75%': 0.0220623333, 'max': 0.0223573205}","{'count': 35.0, 'mean': 0.0168539294, 'std': 0.0042535691, 'min': 0.0026662933, '25%': 0.0157743683, '50%': 0.0181975823, '75%': 0.019459172, 'max': 0.0223390242}","{'count': 35.0, 'mean': 0.0096902823, 'std': 0.0038477881, 'min': 0.0, '25%': 0.0080995968, '50%': 0.0106666667, '75%': 0.0122216658, 'max': 0.0143003496}","{'count': 290.0, 'mean': 0.0220421464, 'std': 0.0014640478, 'min': 0.0171227188, '25%': 0.021278934, '50%': 0.0221493403, '75%': 0.0229235141, 'max': 0.0249389254}","{'count': 290.0, 'mean': 0.0155791226, 'std': 0.0022347395, 'min': 0.0100218511, '25%': 0.0138162766, '50%': 0.0152637024, '75%': 0.0175723647, 'max': 0.021601574}","{'count': 290.0, 'mean': 0.0151925078, 'std': 0.0030865706, 'min': 0.0, '25%': 0.0128354977, '50%': 0.0161090037, '75%': 0.0175567651, 'max': 0.0200561711}","{'count': 290.0, 'mean': 0.022192682, 'std': 0.0014719082, 'min': 0.0171318417, '25%': 0.0213775583, '50%': 0.0222530897, '75%': 0.023130067, 'max': 0.0252982213}","{'count': 290.0, 'mean': 0.640211987, 'std': 0.0691441259, 'min': 0.4610791175, '25%': 0.5976111564, '50%': 0.6524927148, '75%': 0.6866292725, 'max': 0.8057305003}","{'count': 290.0, 'mean': 123.6685440609, 'std': 16.0191083357, 'min': 73.375, '25%': 114.2499999993, '50%': 123.8, '75%': 133.75, 'max': 160.0}",
4,gmat_cot,92,51,540,526,0,1,"{'count': 51.0, 'mean': 0.0449717256, 'std': 0.0075280992, 'min': 0.0240757482, '25%': 0.0408054872, '50%': 0.0480914177, '75%': 0.0508146732, 'max': 0.052125524}","{'count': 51.0, 'mean': 0.0346046459, 'std': 0.0081551497, 'min': 0.010793686, '25%': 0.0325683615, '50%': 0.0366464741, '75%': 0.0389984724, 'max': 0.0513342164}","{'count': 51.0, 'mean': 0.0268602004, 'std': 0.0097846878, 'min': 0.0, '25%': 0.0210877299, '50%': 0.029877577, '75%': 0.0336122741, 'max': 0.038812111}","{'count': 526.0, 'mean': 0.0581388309, 'std': 0.0094615948, 'min': 0.0313208367, '25%': 0.0506438011, '50%': 0.0623354042, '75%': 0.0654417578, 'max': 0.0747024788}","{'count': 526.0, 'mean': 0.041959793, 'std': 0.0083146664, 'min': 0.0201549435, '25%': 0.0373568798, '50%': 0.0421687646, '75%': 0.045923349, 'max': 0.0667133822}","{'count': 526.0, 'mean': 0.0394173427, 'std': 0.0092890208, 'min': 0.0195953874, '25%': 0.0311678452, '50%': 0.0406847115, '75%': 0.0479409736, 'max': 0.0548213071}","{'count': 526.0, 'mean': 0.058437892, 'std': 0.0094269965, 'min': 0.031377732, '25%': 0.0507649031, '50%': 0.0626769706, '75%': 0.0657249193, 'max': 0.0747159081}","{'count': 526.0, 'mean': 0.3474377874, 'std': 0.1640400049, 'min': -0.1091881406, '25%': 0.2487098383, '50%': 0.3392275465, '75%': 0.4467792112, 'max': 0.7303456789}","{'count': 526.0, 'mean': 29.6552027883, 'std': 8.7747535765, 'min': 8.3333333331, '25%': 21.8124999998, '50%': 33.25, '75%': 36.5624999999, 'max': 47.25}",
5,math_cot,5000,48,476,148,97,36,"{'count': 48.0, 'mean': 0.0057147544, 'std': 0.0014579603, 'min': 0.000930707, '25%': 0.0052452784, '50%': 0.0063860947, '75%': 0.006729647, 'max': 0.0070474869}","{'count': 48.0, 'mean': 0.0048208136, 'std': 0.0015355709, 'min': 0.0005086408, '25%': 0.0041569533, '50%': 0.0050687935, '75%': 0.0057224433, 'max': 0.0070474869}","{'count': 48.0, 'mean': 0.0026749361, 'std': 0.0014417726, 'min': 0.0, '25%': 0.0020743416, '50%': 0.0030465791, '75%': 0.0036291756, 'max': 0.0047506725}","{'count': 148.0, 'mean': 0.0072935787, 'std': 0.0008326945, 'min': 0.0052977613, '25%': 0.0070558686, '50%': 0.0073262788, '75%': 0.0076393647, 'max': 0.0089731926}","{'count': 148.0, 'mean': 0.0055010572, 'std': 0.0011555697, 'min': 0.0035608437, '25%': 0.0046604816, '50%': 0.0051444512, '75%': 0.0062097844, 'max': 0.0089292908}","{'count': 148.0, 'mean': 0.0044895923, 'std': 0.001468046, 'min': 0.0, '25%': 0.0038861578, '50%': 0.0048194977, '75%': 0.0054572073, 'max': 0.0067098601}","{'count': 148.0, 'mean': 0.0072994469, 'std': 0.0008330264, 'min': 0.0052977983, '25%': 0.0070558993, '50%': 0.0073388602, '75%': 0.0076428616, 'max': 0.0089747795}","{'count': 148.0, 'mean': 0.5002629202, 'std': 0.1147670054, 'min': 0.1773320594, '25%': 0.4497384122, '50%': 0.5289230483, '75%': 0.5771916673, 'max': 0.7116084047}","{'count': 148.0, 'mean': 1349.2792363666, 'std': 300.3629257291, 'min': 701.6666666482, '25%': 1244.6428571425, '50%': 1346.4722222049, '75%': 1460.3333333084, 'max': 2013.6666666553}",
6,cruxeval_input_cot,800,52,742,605,19,11,"{'count': 52.0, 'mean': 0.0138646264, 'std': 0.0046470301, 'min': 0.0010820242, '25%': 0.0127693836, '50%': 0.0158033174, '75%': 0.0171028886, 'max': 0.0176692645}","{'count': 52.0, 'mean': 0.0108325591, 'std': 0.0043351305, 'min': 0.0005402501, '25%': 0.0082034477, '50%': 0.0124506031, '75%': 0.0138657291, 'max': 0.017643109}","{'count': 52.0, 'mean': 0.0081164939, 'std': 0.0034618169, 'min': 0.0, '25%': 0.0073237068, '50%': 0.0095810469, '75%': 0.010441923, 'max': 0.011875}","{'count': 605.0, 'mean': 0.0187884006, 'std': 0.001101046, 'min': 0.0147667043, '25%': 0.0180490653, '50%': 0.0190440934, '75%': 0.0195927158, 'max': 0.0209735373}","{'count': 605.0, 'mean': 0.0126912917, 'std': 0.0019548559, 'min': 0.0088243449, '25%': 0.0112407731, '50%': 0.012593401, '75%': 0.0138999942, 'max': 0.0189468314}","{'count': 605.0, 'mean': 0.0136164668, 'std': 0.0019820677, 'min': 0.0, '25%': 0.013027465, '50%': 0.0140079962, '75%': 0.0148088955, 'max': 0.0167448686}","{'count': 605.0, 'mean': 0.0188948812, 'std': 0.0011187023, 'min': 0.0147784565, '25%': 0.0181228447, '50%': 0.0191394735, '75%': 0.0196850197, 'max': 0.0210931713}","{'count': 605.0, 'mean': 0.4915944716, 'std': 0.1161730985, 'min': 0.1557361397, '25%': 0.4216355861, '50%': 0.5053004109, '75%': 0.5750226237, 'max': 0.7846963812}","{'count': 605.0, 'mean': 229.2902148751, 'std': 26.537798664, 'min': 139.7777777741, '25%': 210.1999999988, '50%': 234.4444444397, '75%': 248.0, 'max': 284.75}",
7,human_eval_plus,164,51,596,540,11,1,"{'count': 51.0, 'mean': 0.0324043802, 'std': 0.0086451275, 'min': 0.0052685542, '25%': 0.0315685955, '50%': 0.0358800606, '75%': 0.03781731, 'max': 0.0390418073}","{'count': 51.0, 'mean': 0.0262012257, 'std': 0.0086532363, 'min': 0.0026160606, '25%': 0.0224889965, '50%': 0.0291976165, '75%': 0.0320582746, 'max': 0.0390405371}","{'count': 51.0, 'mean': 0.0175755432, 'std': 0.0074560337, 'min': 0.0, '25%': 0.0130460169, '50%': 0.0192821809, '75%': 0.023385004, 'max': 0.0295196901}","{'count': 540.0, 'mean': 0.0423597712, 'std': 0.0049280464, 'min': 0.0275575387, '25%': 0.0386537248, '50%': 0.0426821306, '75%': 0.045969593, 'max': 0.0522751536}","{'count': 540.0, 'mean': 0.0303840301, 'std': 0.0051730563, 'min': 0.0169732218, '25%': 0.026827705, '50%': 0.0305600655, '75%': 0.0338518195, 'max': 0.0433051444}","{'count': 540.0, 'mean': 0.0288932146, 'std': 0.0058254299, 'min': 0.0108863238, '25%': 0.0244378347, '50%': 0.0297635712, '75%': 0.0337744093, 'max': 0.040732894}","{'count': 540.0, 'mean': 0.0425979969, 'std': 0.0049210693, 'min': 0.0276078815, '25%': 0.0391622944, '50%': 0.0430803069, '75%': 0.0461699866, 'max': 0.0522756957}","{'count': 540.0, 'mean': 0.4494523262, 'std': 0.1260172567, 'min': 0.1400094973, '25%': 0.3660839127, '50%': 0.4582397432, '75%': 0.5450094588, 'max': 0.7435690598}","{'count': 540.0, 'mean': 49.4553271604, 'std': 11.094120525, 'min': 20.4999999999, '25%': 41.2499999995, '50%': 49.9166666663, '75%': 57.3333333334, 'max': 73.5}",
8,cruxeval_output_cot,800,52,618,474,35,4,"{'count': 52.0, 'mean': 0.0145290417, 'std': 0.0039276372, 'min': 0.0021610002, '25%': 0.0136828304, '50%': 0.016053548, '75%': 0.0172732456, 'max': 0.0176749624}","{'count': 52.0, 'mean': 0.0117107674, 'std': 0.0039821754, 'min': 0.0011305074, '25%': 0.0095812501, '50%': 0.0130090724, '75%': 0.0143974637, 'max': 0.0168211525}","{'count': 52.0, 'mean': 0.0079992704, 'std': 0.0031187512, 'min': 0.0, '25%': 0.0073383311, '50%': 0.0089318541, '75%': 0.0098449891, 'max': 0.0125623445}","{'count': 474.0, 'mean': 0.0183502667, 'std': 0.0013006082, 'min': 0.0132714711, '25%': 0.0176342645, '50%': 0.0182206995, '75%': 0.0193857046, 'max': 0.0207771113}","{'count': 474.0, 'mean': 0.0124918733, 'std': 0.0017884602, 'min': 0.0088686773, '25%': 0.0110052715, '50%': 0.0125678211, '75%': 0.0135729602, 'max': 0.017584603}","{'count': 474.0, 'mean': 0.0132440246, 'std': 0.0019456002, 'min': 0.0069315853, '25%': 0.0124447949, '50%': 0.0136677896, '75%': 0.0145639752, 'max': 0.0167850613}","{'count': 474.0, 'mean': 0.0184537094, 'std': 0.0013068918, 'min': 0.0134047566, '25%': 0.0177493372, '50%': 0.0183420907, '75%': 0.0195156187, 'max': 0.0209314357}","{'count': 474.0, 'mean': 0.538987559, 'std': 0.1070692325, 'min': 0.2700508086, '25%': 0.4736992002, '50%': 0.5441053792, '75%': 0.6181657367, 'max': 0.748424844}","{'count': 474.0, 'mean': 219.0360032812, 'std': 30.3763347343, 'min': 114.9999999986, '25%': 201.6249999996, '50%': 215.316666666, '75%': 243.75, 'max': 280.4}",
9,jeebench_chat_cot,515,49,1692,112,97,31,"{'count': 49.0, 'mean': 0.0112781432, 'std': 0.0039482429, 'min': 0.0048248229, '25%': 0.008910949, '50%': 0.0101579551, '75%': 0.0140758372, 'max': 0.0195163849}","{'count': 49.0, 'mean': 0.008312487, 'std': 0.0036744652, 'min': 0.002903968, '25%': 0.0057714232, '50%': 0.0073636929, '75%': 0.0109421119, 'max': 0.0155396351}","{'count': 49.0, 'mean': 0.0072375715, 'std': 0.0028147214, 'min': 0.0, '25%': 0.0056611183, '50%': 0.0074889556, '75%': 0.0087647913, 'max': 0.0123147557}","{'count': 112.0, 'mean': 0.0207824329, 'std': 0.0011807814, 'min': 0.0187800616, '25%': 0.019642905, '50%': 0.0209029606, '75%': 0.0215926563, 'max': 0.023265023}","{'count': 112.0, 'mean': 0.0148550848, 'std': 0.0014577003, 'min': 0.0119772856, '25%': 0.0136937994, '50%': 0.0149859386, '75%': 0.0160487647, 'max': 0.017284381}","{'count': 112.0, 'mean': 0.01445014, 'std': 0.0013117424, 'min': 0.0116504854, '25%': 0.013417604, '50%': 0.0144280808, '75%': 0.0154577279, 'max': 0.0170287744}","{'count': 112.0, 'mean': 0.0209111317, 'std': 0.001204899, 'min': 0.0187925322, '25%': 0.019700603, '50%': 0.0210629434, '75%': 0.0218067637, 'max': 0.023354846}","{'count': 112.0, 'mean': 0.3709141761, 'std': 0.143193455, 'min': 0.1269189331, '25%': 0.2469298509, '50%': 0.3609552006, '75%': 0.4504009169, 'max': 0.6501720027}","{'count': 112.0, 'mean': 116.3579861104, 'std': 13.3650981844, 'min': 93.6666666656, '25%': 102.9374999992, '50%': 117.6666666663, '75%': 126.124999999, 'max': 144.6666666656}",
