,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,HumanEval/0,0.3170731707317073,39,"['claude-3-haiku-20240307' 'code-millenials-34b' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'deepseek-coder-33b'
 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'octocoder' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",0.7959183673469388,0.7959183673469388,0.32708556839752895,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/0.html"">HumanEval/0</a>"
1,HumanEval/1,0.5060975609756098,22,"['claude-3-haiku-20240307' 'code-millenials-34b' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'Qwen--Qwen1.5-72B-Chat'
 'mistral-large-latest' 'deepseek-coder-6.7b-instruct'
 'open-hermes-2.5-code-290k-13b' 'speechless-coder-ds-6.7b'
 'xwincoder-34b' 'code-13b' 'deepseek-coder-33b-instruct'
 'white-rabbit-neo-33b-v1' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'gpt-3.5-turbo'
 'deepseek-coder-1.3b-instruct' 'claude-3-sonnet-20240229'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.4489795918367347,0.4489795918367347,0.5794591956987618,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/1.html"">HumanEval/1</a>"
2,HumanEval/10,0.4329268292682927,18,"['code-millenials-34b' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'Qwen--Qwen1.5-72B-Chat'
 'mistral-large-latest' 'HuggingFaceH4--starchat2-15b-v0.1'
 'speechless-coder-ds-6.7b' 'deepseek-coder-33b' 'mistral-7b-codealpaca'
 'deepseek-coder-33b-instruct' 'speechless-codellama-34b' 'openchat'
 'deepseek-coder-7b-instruct-v1.5' 'codebooga-34b'
 'deepseek-coder-1.3b-instruct' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.3673469387755102,0.3673469387755102,0.3654275080316907,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/10.html"">HumanEval/10</a>"
3,HumanEval/100,0.5975609756097561,7,"['claude-3-haiku-20240307' 'mixtral-8x22b-instruct-v0.1'
 'deepseek-coder-6.7b-instruct' 'speechless-coder-ds-6.7b'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'opencodeinterpreter-ds-6.7b']",0.14285714285714285,0.14285714285714285,0.30993877703162326,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/100.html"">HumanEval/100</a>"
4,HumanEval/101,0.42073170731707316,16,"['claude-3-haiku-20240307' 'speechless-coding-7b-16k-tora'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'Qwen--Qwen1.5-72B-Chat' 'codegemma-7b' 'xwincoder-34b'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct'
 'code-llama-70b-instruct' 'openchat' 'gpt-3.5-turbo' 'codebooga-34b'
 'code-33b']",0.32653061224489793,0.32653061224489793,0.3104990800040888,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/101.html"">HumanEval/101</a>"
5,HumanEval/102,0.3170731707317073,24,"['claude-3-haiku-20240307' 'speechless-coding-7b-16k-tora'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'HuggingFaceH4--starchat2-15b-v0.1' 'deepseek-coder-6.7b-instruct'
 'open-hermes-2.5-code-290k-13b' 'codegemma-7b-it' 'wizardcoder-15b'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'deepseek-coder-7b-instruct-v1.5'
 'wizardcoder-7b' 'gpt-3.5-turbo' 'codebooga-34b' 'code-33b'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",0.4897959183673469,0.4897959183673469,0.28887663914494394,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/102.html"">HumanEval/102</a>"
6,HumanEval/103,0.3475609756097561,26,"['claude-3-haiku-20240307' 'code-millenials-34b' 'claude-3-opus-20240229'
 'HuggingFaceH4--starchat2-15b-v0.1' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'deepseek-coder-33b'
 'wizardcoder-15b' 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'opencodeinterpreter-ds-33b' 'openchat'
 'deepseek-coder-7b-instruct-v1.5' 'wizardcoder-7b'
 'deepseek-coder-1.3b-instruct' 'speechless-mistral-7b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.5306122448979592,0.5306122448979592,0.31817517183514105,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/103.html"">HumanEval/103</a>"
7,HumanEval/104,0.3170731707317073,38,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'deepseek-coder-33b' 'xwincoder-34b'
 'code-13b' 'wizardcoder-15b' 'mistral-7b-codealpaca'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct'
 'code-llama-70b-instruct' 'opencodeinterpreter-ds-33b'
 'deepseek-coder-7b-instruct-v1.5' 'wizardcoder-7b' 'octocoder'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'solar-10.7b-instruct' 'claude-3-sonnet-20240229' 'code-33b'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",0.7755102040816326,0.7755102040816326,0.3417903694625073,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/104.html"">HumanEval/104</a>"
8,HumanEval/105,0.42073170731707316,30,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'Qwen--Qwen1.5-72B-Chat'
 'mistral-large-latest' 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'deepseek-coder-33b'
 'xwincoder-34b' 'code-13b' 'wizardcoder-15b'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'speechless-starcoder2-7b'
 'gpt-3.5-turbo' 'codebooga-34b' 'claude-3-sonnet-20240229'
 'opencodeinterpreter-ds-6.7b']",0.6122448979591837,0.6122448979591837,0.5521790415163338,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/105.html"">HumanEval/105</a>"
9,HumanEval/106,0.3170731707317073,36,"['claude-3-haiku-20240307' 'code-millenials-34b' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'code-llama-multi-34b'
 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'xwincoder-34b' 'code-13b'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct'
 'code-llama-70b-instruct' 'opencodeinterpreter-ds-33b' 'openchat'
 'deepseek-coder-7b-instruct-v1.5' 'speechless-starcoder2-7b'
 'wizardcoder-7b' 'gpt-3.5-turbo' 'codebooga-34b'
 'deepseek-coder-1.3b-instruct' 'solar-10.7b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'speechless-starcoder2-15b'
 'python-code-13b' 'opencodeinterpreter-ds-6.7b']",0.7346938775510204,0.7346938775510204,0.5306703660748382,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/106.html"">HumanEval/106</a>"
10,HumanEval/107,0.3170731707317073,42,"['claude-3-haiku-20240307' 'speechless-coding-7b-16k-tora'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it'
 'mistralai--Mistral-7B-Instruct-v0.2' 'code-13b' 'wizardcoder-15b'
 'mistral-7b-codealpaca' 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'speechless-mistral-7b' 'xdan-l1-chat' 'solar-10.7b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'speechless-starcoder2-15b'
 'python-code-13b' 'opencodeinterpreter-ds-6.7b']",0.8571428571428571,0.8571428571428571,0.19007295166027724,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/107.html"">HumanEval/107</a>"
11,HumanEval/108,0.6463414634146342,1,['claude-3-sonnet-20240229'],0.02040816326530612,0.02040816326530612,0.04237896897630065,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/108.html"">HumanEval/108</a>"
12,HumanEval/109,0.42073170731707316,15,"['claude-3-haiku-20240307' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'xwincoder-34b'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'meta-llama-3-70b-instruct' 'opencodeinterpreter-ds-33b'
 'deepseek-coder-7b-instruct-v1.5' 'gpt-3.5-turbo'
 'claude-3-sonnet-20240229' 'code-33b' 'speechless-starcoder2-15b']",0.30612244897959184,0.30612244897959184,0.3575350401509863,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/109.html"">HumanEval/109</a>"
