,benchmark_id,model,example_id,pass1,count,date,hyperparams
2420341,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_A,0.6,10.0,1692576000000.0,
2420342,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_B,0.0,10.0,1692576000000.0,
2420343,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_D,0.0,10.0,1692576000000.0,
2420344,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_B,0.1,10.0,1695340800000.0,
2420345,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_C,0.0,10.0,1695340800000.0,
2420346,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_A,0.0,10.0,1697500800000.0,
2420347,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_B,0.0,10.0,1697500800000.0,
2420348,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_C,0.0,10.0,1697500800000.0,
2420349,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_D,0.0,10.0,1697500800000.0,
2420350,lcb_codegen_v5,AzeroGPT-64b,leetcode.2727,1.0,10.0,1683936000000.0,
2420351,lcb_codegen_v5,AzeroGPT-64b,leetcode.2728,0.3,10.0,1683936000000.0,
2420352,lcb_codegen_v5,AzeroGPT-64b,leetcode.2730,0.1,10.0,1683936000000.0,
2420353,lcb_codegen_v5,AzeroGPT-64b,leetcode.2754,0.1,10.0,1685145600000.0,
2420354,lcb_codegen_v5,AzeroGPT-64b,leetcode.2755,0.7,10.0,1685145600000.0,
2420355,lcb_codegen_v5,AzeroGPT-64b,leetcode.2756,0.9,10.0,1685145600000.0,
2420356,lcb_codegen_v5,AzeroGPT-64b,leetcode.2757,0.1,10.0,1685836800000.0,
2420357,lcb_codegen_v5,AzeroGPT-64b,leetcode.2777,0.3,10.0,1683417600000.0,
2420358,lcb_codegen_v5,AzeroGPT-64b,leetcode.2779,0.3,10.0,1683417600000.0,
2420359,lcb_codegen_v5,AzeroGPT-64b,leetcode.2784,0.0,10.0,1683936000000.0,
2420360,lcb_codegen_v5,AzeroGPT-64b,leetcode.2785,0.4,10.0,1685836800000.0,
2420361,lcb_codegen_v5,AzeroGPT-64b,leetcode.2786,0.4,10.0,1686355200000.0,
2420362,lcb_codegen_v5,AzeroGPT-64b,leetcode.2791,0.8,10.0,1684022400000.0,
2420363,lcb_codegen_v5,AzeroGPT-64b,leetcode.2792,0.7,10.0,1684022400000.0,
2420364,lcb_codegen_v5,AzeroGPT-64b,leetcode.2800,1.0,10.0,1684627200000.0,
2420365,lcb_codegen_v5,AzeroGPT-64b,leetcode.2802,0.7,10.0,1684627200000.0,
2420366,lcb_codegen_v5,AzeroGPT-64b,leetcode.2808,0.4,10.0,1687046400000.0,
2420367,lcb_codegen_v5,AzeroGPT-64b,leetcode.2810,0.3,10.0,1686441600000.0,
2420368,lcb_codegen_v5,AzeroGPT-64b,leetcode.2811,0.1,10.0,1692489600000.0,
2420369,lcb_codegen_v5,AzeroGPT-64b,leetcode.2812,0.9,10.0,1688860800000.0,
2420370,lcb_codegen_v5,AzeroGPT-64b,leetcode.2816,0.9,10.0,1684627200000.0,
2420371,lcb_codegen_v5,AzeroGPT-64b,leetcode.2817,0.1,10.0,1685232000000.0,
2420372,lcb_codegen_v5,AzeroGPT-64b,leetcode.2819,1.0,10.0,1685232000000.0,
2420373,lcb_codegen_v5,AzeroGPT-64b,leetcode.2824,0.9,10.0,1686355200000.0,
2420374,lcb_codegen_v5,AzeroGPT-64b,leetcode.2825,0.9,10.0,1685836800000.0,
