,benchmark_id,model,example_id,pass1,count,date,hyperparams
2476276,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3485,0.0,10.0,1725737400000.0,
2476277,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3487,0.0,10.0,1728718200000.0,
2476278,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3495,0.0,10.0,1725132600000.0,
2476279,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3496,0.0,10.0,1726947000000.0,
2476280,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3502,0.0,10.0,1729366200000.0,
2476281,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3510,0.0,10.0,1727508600000.0,
2476282,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3517,0.0,10.0,1722643200000.0,
2476283,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3518,0.0,10.0,1726342200000.0,
2476284,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3519,0.1,10.0,1722643200000.0,
2476285,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3522,1.0,10.0,1723879800000.0,
2476286,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3525,0.0,10.0,1723923000000.0,
2476287,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3526,0.0,10.0,1722643200000.0,
2476288,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3527,0.0,10.0,1722643200000.0,
2476289,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3528,0.0,10.0,1725737400000.0,
2476290,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3531,0.0,10.0,1725089400000.0,
2476291,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3532,0.0,10.0,1722643200000.0,
2476292,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3533,0.3,10.0,1723248000000.0,
2476293,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3534,0.0,10.0,1724527800000.0,
2476294,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3535,0.0,10.0,1723248000000.0,
2476295,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3540,1.0,10.0,1725089400000.0,
2476296,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3541,1.0,10.0,1726947000000.0,
2476297,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3543,1.0,10.0,1723923000000.0,
2476298,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3548,0.0,10.0,1725089400000.0,
2476299,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3550,0.0,10.0,1723879800000.0,
2476300,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3551,0.0,10.0,1725132600000.0,
2476301,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3552,0.0,10.0,1723923000000.0,
