,benchmark_id,model,example_id,pass1,count,date,hyperparams
16072,mbpp+,code-llama-multi-7b,Mbpp/2,1.0,,,
16073,mbpp+,code-llama-multi-7b,Mbpp/3,1.0,,,
16074,mbpp+,code-llama-multi-7b,Mbpp/4,0.0,,,
16075,mbpp+,code-llama-multi-7b,Mbpp/6,0.0,,,
16076,mbpp+,code-llama-multi-7b,Mbpp/7,0.0,,,
16077,mbpp+,code-llama-multi-7b,Mbpp/8,1.0,,,
16078,mbpp+,code-llama-multi-7b,Mbpp/9,0.0,,,
16079,mbpp+,code-llama-multi-7b,Mbpp/11,0.0,,,
16080,mbpp+,code-llama-multi-7b,Mbpp/12,1.0,,,
16081,mbpp+,code-llama-multi-7b,Mbpp/14,0.0,,,
16082,mbpp+,code-llama-multi-7b,Mbpp/16,0.0,,,
16083,mbpp+,code-llama-multi-7b,Mbpp/17,1.0,,,
16084,mbpp+,code-llama-multi-7b,Mbpp/18,1.0,,,
16085,mbpp+,code-llama-multi-7b,Mbpp/19,1.0,,,
16086,mbpp+,code-llama-multi-7b,Mbpp/20,0.0,,,
16087,mbpp+,code-llama-multi-7b,Mbpp/56,0.0,,,
16088,mbpp+,code-llama-multi-7b,Mbpp/57,1.0,,,
16089,mbpp+,code-llama-multi-7b,Mbpp/58,1.0,,,
16090,mbpp+,code-llama-multi-7b,Mbpp/59,0.0,,,
16091,mbpp+,code-llama-multi-7b,Mbpp/61,1.0,,,
16092,mbpp+,code-llama-multi-7b,Mbpp/62,1.0,,,
16093,mbpp+,code-llama-multi-7b,Mbpp/63,0.0,,,
16094,mbpp+,code-llama-multi-7b,Mbpp/64,0.0,,,
16095,mbpp+,code-llama-multi-7b,Mbpp/65,1.0,,,
16096,mbpp+,code-llama-multi-7b,Mbpp/66,0.0,,,
16097,mbpp+,code-llama-multi-7b,Mbpp/67,0.0,,,
16098,mbpp+,code-llama-multi-7b,Mbpp/68,0.0,,,
16099,mbpp+,code-llama-multi-7b,Mbpp/69,0.0,,,
16100,mbpp+,code-llama-multi-7b,Mbpp/70,1.0,,,
16101,mbpp+,code-llama-multi-7b,Mbpp/71,1.0,,,
16102,mbpp+,code-llama-multi-7b,Mbpp/72,0.0,,,
